"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[hopeessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",9.298324584960938e-06,2.586841583251953e-05,0,0,0,403,"Failed"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest [[efforts]] can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest [[efflrts]] can redeem it from hopeless sentimentality . ",7.033348083496094e-05,0.0034977197647094727,0,0,0,521,"Failed"
"bennett 's naturalistic performance speaks volumes more [[truth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance speaks volumes more [[truath]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",2.3245811462402344e-05,0.9998970627784729,1,0,1,604,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.6871927380561829,0.6871927380561829,1,1,0,1,"Skipped"
"anchored by friel and williams 's exceptional performances , the film 's [[power]] lies in its complexity . ","anchored by friel and williams 's exceptional performances , the film 's [[pkwer]] lies in its complexity . ",2.5987625122070312e-05,0.00399017333984375,1,1,1,357,"Failed"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[resoance]] by ilya chaiken . ",1.3709068298339844e-05,0.9804264307022095,1,0,1,176,"Successful"
"the best [[film]] about baseball to hit theaters since field of dreams . ","the best [[fixlm]] about baseball to hit theaters since field of dreams . ",4.0531158447265625e-06,6.99758529663086e-05,1,1,1,200,"Failed"
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[defies]] an easy categorization . ","too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[dwfies]] an easy categorization . ",3.993511199951172e-05,0.013055801391601562,0,0,0,530,"Failed"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[sacry]] . ",0.00754779577255249,0.9999789595603943,0,1,0,99,"Successful"
"schaeffer has to find some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently useless movies , and it [[migut]] as well be the resuscitation of the middle-aged character . ",1.1444091796875e-05,0.0017608404159545898,0,0,0,505,"Failed"
