"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[irrevocably]] [[pesky]] film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",6.794929504394531e-06,0.678473711013794,0,1,0,67,"Successful"
"as a rumor of angels reveals itself to be a sudsy [[tub]] of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy [[hydrotherapy]] of supernatural hokum , not even [[franziska]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",9.775161743164062e-06,0.662218451499939,0,1,0,109,"Successful"
"bennett 's naturalistic performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic [[life]] [[changes]] should watch some body first . ","bennett 's naturalistic performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic [[sustenance]] [[modification]] should watch some body first . ",0.0008596181869506836,0.7396512031555176,1,0,1,110,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.9322148561477661,0.9322148561477661,1,1,0,1,"Skipped"
"[[anchored]] by friel and williams 's [[exceptional]] [[performances]] , the film 's [[power]] lies in its complexity . ","[[reasoned]] by friel and williams 's [[unpaid]] [[executions]] , the film 's [[wattage]] lies in its complexity . ",5.364418029785156e-06,0.6731330156326294,1,0,1,124,"Successful"
"a [[woman]] 's [[pic]] [[directed]] with [[resonance]] by [[ilya]] chaiken . ","a [[chick]] 's [[pico]] [[governed]] with [[harmonics]] by [[elijah]] chaiken . ",9.894371032714844e-06,0.9899196624755859,1,0,1,106,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[happiest]] film about baseball to hit theaters since field of dreams . ",6.318092346191406e-06,0.8454607725143433,1,0,1,49,"Successful"
"too restrained to be a freak [[show]] , too mercenary and [[obvious]] to be cerebral , too [[dull]] and pretentious to be engaging ... the isle defies an easy categorization . ","too restrained to be a freak [[illustrating]] , too mercenary and [[unequivocal]] to be cerebral , too [[forgettable]] and pretentious to be engaging ... the isle defies an easy categorization . ",2.193450927734375e-05,0.5702508687973022,0,1,0,152,"Successful"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[afraid]] . ",6.079673767089844e-06,0.9999914765357971,0,1,0,38,"Successful"
"schaeffer [[has]] to find some hook on which to hang his persistently [[useless]] movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer [[enjoys]] to find some hook on which to hang his persistently [[unimportant]] movies , and it might as well be the resuscitation of the middle-aged character . ",6.4373016357421875e-06,0.9704827070236206,0,1,0,89,"Successful"
"aside from minor tinkering , this is the same movie you probably [[loved]] in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably [[love]] in 1994 , except that it looks even better . ",0.13917678594589233,0.7136695981025696,1,0,1,52,"Successful"
"[[very]] psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","[[too]] psychoanalytical -- provocatively so -- and also [[thankfully]] literary . ",4.410743713378906e-06,0.9999819397926331,1,0,1,107,"Successful"
"so unassuming and [[pure]] of [[heart]] , you ca n't help but warmly extend your arms and yell ` [[safe]] ! ' ","so unassuming and [[straightforward]] of [[centre]] , you ca n't help but warmly extend your arms and yell ` [[inoffensive]] ! ' ",4.553794860839844e-05,0.5495231747627258,1,0,1,48,"Successful"
"an [[entertaining]] , [[colorful]] , action-filled crime story with an [[intimate]] [[heart]] . ","an [[funnier]] , [[smeared]] , action-filled crime story with an [[squeamish]] [[crux]] . ",4.291534423828125e-06,0.9250754117965698,1,0,1,96,"Successful"
"due to some [[script]] [[weaknesses]] and the [[casting]] of the [[director]] 's [[brother]] , the [[film]] [[trails]] off into inconsequentiality . ","due to some [[dashes]] [[frailties]] and the [[cast]] of the [[directors]] 's [[bro]] , the [[cinema]] [[traces]] off into inconsequentiality . ",5.9604644775390625e-06,0.00042575597763061523,0,0,0,207,"Failed"
