"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[hopelesly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",0.0010308027267456055,0.7297902703285217,0,1,0,27,"Successful"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not [[even]] ms. redgrave 's noblest [[efforts]] can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not [[eve]] ms. redgrave 's noblest [[efkforts]] can redeem it from hopeless sentimentality . ",0.0013249516487121582,0.8089399337768555,0,1,0,37,"Successful"
"bennett 's naturalistic performance [[speaks]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance [[supeaks]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.0008171200752258301,0.9308890104293823,1,0,1,31,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confused]] when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[ocnfused]] when it came time to get to the heart of the movie . ",0.1401282548904419,0.9984545707702637,0,1,0,36,"Successful"
"[[anchored]] by friel and williams 's [[exceptional]] performances , the film 's [[power]] lies in its [[complexity]] . ","[[anchroed]] by friel and williams 's [[exceptioVnal]] performances , the film 's [[powre]] lies in its [[compleity]] . ",0.0007852315902709961,0.6869833469390869,1,0,1,37,"Successful"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[resohnance]] by ilya chaiken . ",0.0008725523948669434,0.7466038465499878,1,0,1,15,"Successful"
"the [[best]] film about baseball to hit theaters [[since]] field of dreams . ","the [[beqt]] film about baseball to hit theaters [[zsince]] field of dreams . ",0.0008063912391662598,0.9970437288284302,1,0,1,21,"Successful"
"too restrained to be a [[freak]] show , too mercenary and [[obvious]] to be cerebral , too [[dull]] and [[pretentious]] to be engaging ... the [[isle]] [[defies]] an easy [[categorization]] . ","too restrained to be a [[ferak]] show , too mercenary and [[bovious]] to be cerebral , too [[duOll]] and [[pretentiuous]] to be engaging ... the [[isel]] [[Tefies]] an easy [[categorizaiton]] . ",0.0013451576232910156,0.6728752851486206,0,1,0,80,"Successful"
"it 's [[dumb]] , but more importantly , it 's just not [[scary]] . ","it 's [[dubm]] , but more importantly , it 's just not [[scay]] . ",0.0009781122207641602,0.9366005659103394,0,1,0,20,"Successful"
"schaeffer has to [[find]] some [[hook]] on which to hang his persistently [[useless]] [[movies]] , and it [[might]] as well be the [[resuscitation]] of the middle-aged character . ","schaeffer has to [[ind]] some [[hqook]] on which to hang his persistently [[usleess]] [[moXies]] , and it [[miZht]] as well be the [[reouscitation]] of the middle-aged character . ",0.0009773969650268555,0.171888530254364,0,0,0,73,"Failed"
