"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the year , noteworthy only for the [[gimmick]] of being [[filmed]] as a single unbroken 87-minute [[take]] . ","the most [[irrevocably]] [[bummer]] film of the year , noteworthy only for the [[contraption]] of being [[filming]] as a single unbroken 87-minute [[takes]] . ",3.898143768310547e-05,0.5117127895355225,0,1,0,110,"Successful"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[mme]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.1488472819328308,0.9998858571052551,0,1,0,68,"Successful"
"bennett 's naturalistic performance speaks [[volumes]] more truth than any ` reality ' show , and anybody contemplating their own drastic [[life]] [[changes]] [[should]] watch some body first . ","bennett 's naturalistic performance speaks [[quantum]] more truth than any ` reality ' show , and anybody contemplating their own drastic [[lifetime]] [[edits]] [[envisioned]] watch some body first . ",8.082389831542969e-05,0.5010664463043213,1,0,1,151,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.7723355293273926,0.7723355293273926,1,1,0,1,"Skipped"
"[[anchored]] by friel and williams 's [[exceptional]] performances , the film 's [[power]] lies in its complexity . ","[[moored]] by friel and williams 's [[unpaid]] performances , the film 's [[jurisdiction]] lies in its complexity . ",2.6464462280273438e-05,0.7823419570922852,1,0,1,113,"Successful"
"a [[woman]] 's pic [[directed]] with [[resonance]] by ilya chaiken . ","a [[girlfriend]] 's pic [[fated]] with [[harmonics]] by ilya chaiken . ",1.0251998901367188e-05,0.9787645936012268,1,0,1,92,"Successful"
"the [[best]] film about [[baseball]] to hit theaters since field of dreams . ","the [[strictest]] film about [[dingbat]] to hit theaters since field of dreams . ",1.0013580322265625e-05,0.8066937923431396,1,0,1,67,"Successful"
"too restrained to be a [[freak]] [[show]] , too [[mercenary]] and [[obvious]] to be cerebral , too [[dull]] and pretentious to be engaging ... the isle defies an easy categorization . ","too restrained to be a [[schmuck]] [[expos]] , too [[henchman]] and [[discernible]] to be cerebral , too [[ghoulish]] and pretentious to be engaging ... the isle defies an easy categorization . ",0.00016021728515625,0.8471745848655701,0,1,0,184,"Successful"
"it 's [[dumb]] , but more importantly , it 's just not [[scary]] . ","it 's [[silent]] , but more importantly , it 's just not [[afraid]] . ",0.0004706382751464844,0.9999718070030212,0,1,0,56,"Successful"
"schaeffer has to find some hook on which to hang his persistently [[useless]] movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently [[dispensable]] movies , and it might as well be the resuscitation of the middle-aged character . ",0.0002556443214416504,0.5940372347831726,0,1,0,70,"Successful"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[better]] . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[fatter]] . ",0.038149356842041016,0.9687530994415283,1,0,1,25,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[mercifully]] literary . ",2.3484230041503906e-05,0.9025005102157593,1,0,1,58,"Successful"
"so unassuming and pure of [[heart]] , you ca n't [[help]] but [[warmly]] [[extend]] your arms and yell ` safe ! ' ","so unassuming and pure of [[cardiovascular]] , you ca n't [[helping]] but [[sincerest]] [[prolonging]] your arms and yell ` safe ! ' ",1.609325408935547e-05,0.7841252684593201,1,0,1,132,"Successful"
"an [[entertaining]] , [[colorful]] , action-filled crime story with an [[intimate]] [[heart]] . ","an [[anecdote]] , [[smeared]] , action-filled crime story with an [[squeamish]] [[crux]] . ",7.987022399902344e-06,0.9992731213569641,1,0,1,96,"Successful"
"due to some [[script]] weaknesses and the casting of the [[director]] 's [[brother]] , the [[film]] trails off into inconsequentiality . ","due to some [[dashes]] weaknesses and the casting of the [[master]] 's [[brah]] , the [[productions]] trails off into inconsequentiality . ",9.083747863769531e-05,0.0003451108932495117,0,0,0,200,"Failed"
"works [[hard]] to [[establish]] rounded [[characters]] , but then [[has]] nothing [[fresh]] or particularly interesting to [[say]] about them . ","works [[intensely]] to [[established]] rounded [[idiosyncrasies]] , but then [[possesses]] nothing [[soft]] or particularly interesting to [[affirming]] about them . ",0.00032508373260498047,0.7091028690338135,0,1,0,167,"Successful"
"one of the most [[significant]] moviegoing pleasures of the year . ","one of the most [[cannot]] moviegoing pleasures of the year . ",9.298324584960938e-06,0.6390930414199829,1,0,1,58,"Successful"
"the son 's room is a [[triumph]] of gentility that [[earns]] its moments of [[pathos]] . ","the son 's room is a [[earn]] of gentility that [[getting]] its moments of [[melodrama]] . ",1.0013580322265625e-05,0.5582739114761353,1,0,1,87,"Successful"
