"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] [[film]] of the [[year]] , noteworthy only for the [[gimmick]] of being [[filmed]] as a [[single]] [[unbroken]] 87-minute [[take]] . ","the most [[mortally]] [[pomp]] [[cinematographer]] of the [[enjoyment]] , noteworthy only for the [[gimmicks]] of being [[videos]] as a [[singular]] [[unshakable]] 87-minute [[shoulder]] . ",8.094310760498047e-05,0.5024447441101074,0,1,0,202,"Successful"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[sclerosis]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",7.331371307373047e-05,0.5785536766052246,0,1,0,68,"Successful"
"bennett 's [[naturalistic]] performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's [[anecdotal]] performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.06592327356338501,0.5653986930847168,1,0,1,35,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.8499660491943359,0.8499660491943359,1,1,0,1,"Skipped"
"[[anchored]] by friel and williams 's [[exceptional]] performances , the film 's [[power]] lies in its [[complexity]] . ","[[recessed]] by friel and williams 's [[unpaid]] performances , the film 's [[wattage]] lies in its [[knotty]] . ",1.0609626770019531e-05,0.9177682399749756,1,0,1,129,"Successful"
"a [[woman]] 's pic [[directed]] with [[resonance]] by [[ilya]] chaiken . ","a [[mesdames]] 's pic [[meant]] with [[harmonics]] by [[elia]] chaiken . ",5.125999450683594e-06,0.8451046943664551,1,0,1,97,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[strictest]] film about baseball to hit theaters since field of dreams . ",4.887580871582031e-06,0.9403948783874512,1,0,1,49,"Successful"
"too restrained to [[be]] a [[freak]] [[show]] , too mercenary and [[obvious]] to be cerebral , too [[dull]] and [[pretentious]] to be [[engaging]] ... the isle [[defies]] an easy categorization . ","too restrained to [[was]] a [[psycho]] [[reflecting]] , too mercenary and [[lucid]] to be cerebral , too [[forgettable]] and [[presumptuous]] to be [[entailed]] ... the isle [[provocative]] an easy categorization . ",0.00011527538299560547,0.5208203792572021,0,1,0,308,"Successful"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[afraid]] . ",0.0004845857620239258,0.999946653842926,0,1,0,38,"Successful"
"schaeffer has to find some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently useless movies , and it [[perils]] as well be the resuscitation of the middle-aged character . ",0.00032806396484375,0.623009204864502,0,1,0,41,"Successful"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",0.8431929349899292,0.8431929349899292,0,0,1,1,"Skipped"
