"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the [[year]] , [[noteworthy]] only for the [[gimmick]] of being [[filmed]] as a single [[unbroken]] 87-minute take . ","the most [[hopeHlessly]] [[montonous]] film of the [[eyar]] , [[noteowrthy]] only for the [[gimmcik]] of being [[ilmed]] as a single [[ubroken]] 87-minute take . ",9.21487808227539e-05,0.4431823492050171,0,0,0,67,"Failed"
"as a [[rumor]] of angels [[reveals]] itself to be a sudsy [[tub]] of supernatural hokum , not [[even]] [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a [[urmor]] of angels [[revealOs]] itself to be a sudsy [[utb]] of supernatural hokum , not [[eveVn]] [[sms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.00012385845184326172,0.744003176689148,0,1,0,49,"Successful"
"bennett 's naturalistic performance speaks volumes more [[truth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance speaks volumes more [[turth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.014541149139404297,0.7176024913787842,1,0,1,31,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confused]] when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[cojfused]] when it came time to get to the heart of the movie . ",0.0026332736015319824,0.9795628190040588,0,1,0,36,"Successful"
"[[anchored]] by [[friel]] and [[williams]] 's [[exceptional]] performances , the film 's [[power]] [[lies]] in its [[complexity]] . ","[[tnchored]] by [[riel]] and [[willitms]] 's [[excpetional]] performances , the film 's [[poewr]] [[lieT]] in its [[coZplexity]] . ",1.52587890625e-05,0.9640480279922485,1,0,1,45,"Successful"
"a [[woman]] 's [[pic]] [[directed]] with [[resonance]] by [[ilya]] chaiken . ","a [[woma]] 's [[ic]] [[direccted]] with [[reonance]] by [[ilyi]] chaiken . ",1.9073486328125e-05,0.6815416812896729,1,0,1,35,"Successful"
"the [[best]] [[film]] about baseball to hit [[theaters]] since field of [[dreams]] . ","the [[ebst]] [[fim]] about baseball to hit [[theaterFs]] since field of [[dreasm]] . ",1.633167266845703e-05,0.9541131258010864,1,0,1,37,"Successful"
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too [[dull]] and pretentious to be engaging ... the [[isle]] [[defies]] an easy categorization . ","too restrained to be a freak show , too mercenary and obvious to be cerebral , too [[duell]] and pretentious to be engaging ... the [[sile]] [[efies]] an easy categorization . ",0.0013088583946228027,0.7627041339874268,0,1,0,40,"Successful"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[sacry]] . ",0.00012028217315673828,0.9982179999351501,0,1,0,16,"Successful"
"schaeffer has to [[find]] some hook on which to hang his persistently [[useless]] movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to [[fidn]] some hook on which to hang his persistently [[useleBs]] movies , and it [[Tight]] as well be the resuscitation of the middle-aged character . ",0.00014340877532958984,0.5213288068771362,0,1,0,41,"Successful"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[better]] . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[beter]] . ",0.3107720613479614,0.8074445724487305,1,0,1,24,"Successful"
"very [[psychoanalytical]] -- provocatively so -- and [[also]] [[refreshingly]] literary . ","very [[psychoNanalytical]] -- provocatively so -- and [[lso]] [[refaeshingly]] literary . ",1.33514404296875e-05,0.9846205711364746,1,0,1,21,"Successful"
"so unassuming and pure of [[heart]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ","so unassuming and pure of [[haert]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ",0.4383236765861511,0.9659422636032104,1,0,1,24,"Successful"
"an [[entertaining]] , [[colorful]] , [[action-filled]] crime story with an intimate [[heart]] . ","an [[enertaining]] , [[colorflu]] , [[action-filed]] crime story with an intimate [[hear]] . ",1.537799835205078e-05,0.9938343167304993,1,0,1,27,"Successful"
"due to some [[script]] [[weaknesses]] and the casting of the [[director]] 's brother , the film [[trails]] off into [[inconsequentiality]] . ","due to some [[cript]] [[weaknesXes]] and the casting of the [[direVctor]] 's brother , the film [[trais]] off into [[iconsequentiality]] . ",0.00010216236114501953,0.12807291746139526,0,0,0,55,"Failed"
"works [[hard]] to establish rounded characters , but then has [[nothing]] [[fresh]] or particularly interesting to say about them . ","works [[ard]] to establish rounded characters , but then has [[nothqng]] [[freh]] or particularly interesting to say about them . ",0.0001233816146850586,0.7761257290840149,0,1,0,43,"Successful"
"[[one]] of the most [[significant]] [[moviegoing]] [[pleasures]] of the [[year]] . ","[[Mne]] of the most [[significanVt]] [[movnegoing]] [[plealures]] of the [[yar]] . ",1.2159347534179688e-05,0.7246838808059692,1,0,1,31,"Successful"
"the son 's room is a [[triumph]] of gentility that [[earns]] its moments of [[pathos]] . ","the son 's room is a [[triuph]] of gentility that [[earfs]] its moments of [[pathog]] . ",1.8477439880371094e-05,0.7560766935348511,1,0,1,32,"Successful"
"what the film lacks in general focus it makes up for in [[compassion]] , as [[corcuera]] [[manages]] to find the seeds of hope in the form of collective action . ","what the film lacks in general focus it makes up for in [[copmassion]] , as [[ocrcuera]] [[mnages]] to find the seeds of hope in the form of collective action . ",3.349781036376953e-05,0.9145254492759705,1,0,1,41,"Successful"
"[[one]] of those [[energetic]] surprises , an [[original]] that [[pleases]] almost [[everyone]] who sees it . ","[[oen]] of those [[enegetic]] surprises , an [[orginal]] that [[jpleases]] almost [[everxyone]] who sees it . ",1.3828277587890625e-05,0.6708567142486572,1,0,1,39,"Successful"
