"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single [[unbroken]] 87-minute take . ","the most [[dramatically]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single [[whole]] 87-minute take . ",0.001406848430633545,0.04015761613845825,0,0,0,37,"Failed"
"as a rumor of angels [[reveals]] itself to be a sudsy tub of supernatural hokum , not [[even]] ms. redgrave 's noblest efforts can redeem it from [[hopeless]] sentimentality . ","as a rumor of angels [[offers]] itself to be a sudsy tub of supernatural hokum , not [[always]] ms. redgrave 's noblest efforts can redeem it from [[true]] sentimentality . ",0.002852022647857666,0.48017650842666626,0,0,0,104,"Failed"
"bennett 's naturalistic performance [[speaks]] [[volumes]] more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance [[had]] [[just]] more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.022280454635620117,0.5302325487136841,1,0,1,59,"Successful"
"by [[getting]] myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by [[making]] myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.010919630527496338,0.5485788583755493,0,1,0,68,"Successful"
"anchored by friel and williams 's [[exceptional]] performances , the film 's power lies in its complexity . ","anchored by friel and williams 's [[own]] performances , the film 's power lies in its complexity . ",0.0010082125663757324,0.0010197758674621582,1,1,1,38,"Failed"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[dialogue]] by ilya chaiken . ",0.017397046089172363,0.9823644161224365,1,0,1,59,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[worst]] film about baseball to hit theaters since field of dreams . ",0.001034855842590332,0.9994180202484131,1,0,1,42,"Successful"
"too restrained to be a freak show , too mercenary and [[obvious]] to be cerebral , too [[dull]] and pretentious to be engaging ... the isle defies an easy categorization . ","too restrained to be a freak show , too mercenary and [[desperate]] to be cerebral , too [[imaginative]] and pretentious to be engaging ... the isle defies an easy categorization . ",0.0014142990112304688,0.0014497637748718262,0,0,0,57,"Failed"
"it 's [[dumb]] , but more importantly , it 's just not scary . ","it 's [[perfect]] , but more importantly , it 's just not scary . ",0.0014120936393737793,0.9994556307792664,0,1,0,51,"Successful"
"schaeffer has to find some hook on which to hang his [[persistently]] useless movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his [[newly]] useless movies , and it might as well be the resuscitation of the middle-aged character . ",0.0014066100120544434,0.0014105439186096191,0,0,0,53,"Failed"
