"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[hopeessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",2.205371856689453e-05,0.12812840938568115,0,0,0,403,"Failed"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from [[hopeless]] sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from [[hopless]] sentimentality . ",5.793571472167969e-05,0.0011916160583496094,0,0,0,521,"Failed"
"bennett 's naturalistic performance speaks volumes more [[truth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance speaks volumes more [[truuth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",3.361701965332031e-05,0.15038079023361206,1,1,1,604,"Failed"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.9380720853805542,0.9380720853805542,1,1,0,1,"Skipped"
"anchored by friel and williams 's exceptional performances , the film 's [[power]] lies in its complexity . ","anchored by friel and williams 's exceptional performances , the film 's [[piwer]] lies in its complexity . ",5.841255187988281e-06,0.0001722574234008789,1,1,1,357,"Failed"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[resobance]] by ilya chaiken . ",2.6226043701171875e-06,0.9994159936904907,1,0,1,176,"Successful"
"the best film about baseball to hit theaters since field of [[dreams]] . ","the best film about baseball to hit theaters since field of [[drearms]] . ",3.6954879760742188e-06,2.0384788513183594e-05,1,1,1,200,"Failed"
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[defies]] an easy categorization . ","too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[ddfies]] an easy categorization . ",0.02800649404525757,0.9777892231941223,0,1,0,530,"Successful"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[sacry]] . ",3.6716461181640625e-05,0.11665284633636475,0,0,0,99,"Failed"
"schaeffer has to find some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently useless movies , and it [[mivht]] as well be the resuscitation of the middle-aged character . ",1.0967254638671875e-05,0.00015473365783691406,0,0,0,505,"Failed"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",0.8982458114624023,0.8982458114624023,0,0,1,1,"Skipped"
