"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the year , noteworthy only for the gimmick of being [[filmed]] as a [[single]] unbroken 87-minute [[take]] . ","the most [[irrevocably]] [[ghoulish]] film of the year , noteworthy only for the gimmick of being [[photographed]] as a [[unique]] unbroken 87-minute [[shoulder]] . ",0.00016641616821289062,0.6626490354537964,0,1,0,135,"Successful"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[mme]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.0004399418830871582,0.6753315925598145,0,1,0,68,"Successful"
"bennett 's [[naturalistic]] performance [[speaks]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's [[anecdotal]] performance [[schmooze]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.0013597607612609863,0.9563161134719849,1,0,1,83,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confused]] when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confusion]] when it came time to get to the heart of the movie . ",0.0015081167221069336,0.9507026672363281,0,1,0,59,"Successful"
"anchored by friel and williams 's [[exceptional]] performances , the film 's [[power]] lies in its [[complexity]] . ","anchored by friel and williams 's [[unpaid]] performances , the film 's [[jurisdiction]] lies in its [[complicate]] . ",6.67572021484375e-06,0.9675735235214233,1,0,1,101,"Successful"
"a [[woman]] 's [[pic]] [[directed]] with [[resonance]] by [[ilya]] chaiken . ","a [[mujer]] 's [[crest]] [[targeted]] with [[harmonics]] by [[elijah]] chaiken . ",1.0371208190917969e-05,0.6693923473358154,1,0,1,106,"Successful"
"the best [[film]] about [[baseball]] to [[hit]] [[theaters]] since field of [[dreams]] . ","the best [[photographed]] about [[basketball]] to [[socked]] [[rooms]] since field of [[slept]] . ",7.748603820800781e-06,0.9607812166213989,1,0,1,166,"Successful"
"too restrained to be a freak [[show]] , too mercenary and [[obvious]] to be cerebral , too [[dull]] and [[pretentious]] to be [[engaging]] ... the isle defies an easy categorization . ","too restrained to be a freak [[illustrating]] , too mercenary and [[lucid]] to be cerebral , too [[irksome]] and [[boastful]] to be [[initiated]] ... the isle defies an easy categorization . ",0.00017327070236206055,0.538472056388855,0,1,0,218,"Successful"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[awful]] . ",8.308887481689453e-05,0.99788898229599,0,1,0,38,"Successful"
"schaeffer [[has]] to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer [[enjoys]] to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",0.00022214651107788086,0.8968878984451294,0,1,0,46,"Successful"
"aside from minor tinkering , this is the same movie you probably [[loved]] in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably [[liked]] in 1994 , except that it looks even better . ",0.47901469469070435,0.6997023820877075,1,0,1,52,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[thankfully]] literary . ",1.5020370483398438e-05,0.9828965663909912,1,0,1,58,"Successful"
"so unassuming and [[pure]] of [[heart]] , you ca n't help but [[warmly]] extend your arms and yell ` safe ! ' ","so unassuming and [[plain]] of [[cardiology]] , you ca n't help but [[keenly]] extend your arms and yell ` safe ! ' ",0.00010752677917480469,0.7337479591369629,1,0,1,52,"Successful"
"an [[entertaining]] , [[colorful]] , action-filled crime story with an intimate [[heart]] . ","an [[distract]] , [[smeared]] , action-filled crime story with an intimate [[crux]] . ",4.76837158203125e-06,0.9997193813323975,1,0,1,89,"Successful"
"due to some [[script]] [[weaknesses]] and the [[casting]] of the [[director]] 's [[brother]] , the [[film]] [[trails]] off into inconsequentiality . ","due to some [[scripted]] [[vulnerabilities]] and the [[molten]] of the [[jefe]] 's [[boy]] , the [[theaters]] [[track]] off into inconsequentiality . ",1.3113021850585938e-05,0.0005334019660949707,0,0,0,224,"Failed"
"works [[hard]] to [[establish]] rounded characters , but then [[has]] nothing [[fresh]] or particularly interesting to say about them . ","works [[intensely]] to [[create]] rounded characters , but then [[enjoy]] nothing [[soft]] or particularly interesting to say about them . ",2.5987625122070312e-05,0.5046793222427368,0,1,0,120,"Successful"
"one of the most [[significant]] moviegoing [[pleasures]] of the year . ","one of the most [[cannot]] moviegoing [[satisfaction]] of the year . ",5.125999450683594e-06,0.9925978779792786,1,0,1,102,"Successful"
"the son 's room is a [[triumph]] of gentility that [[earns]] its moments of pathos . ","the son 's room is a [[triomphe]] of gentility that [[deserve]] its moments of pathos . ",7.867813110351562e-06,0.6283901333808899,1,0,1,85,"Successful"
