"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[hopeessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",1.2755393981933594e-05,0.002960503101348877,0,0,0,403,"Failed"
"as a [[rumor]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a [[ruor]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",2.5033950805664062e-05,0.20477014780044556,0,0,0,521,"Failed"
"bennett 's naturalistic performance speaks volumes more [[truth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance speaks volumes more [[truhh]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.0001430511474609375,0.9998716711997986,1,0,1,603,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confused]] when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[cinfused]] when it came time to get to the heart of the movie . ",0.1604098677635193,0.9999374747276306,0,1,0,415,"Successful"
"anchored by friel and williams 's exceptional performances , the film 's [[power]] lies in its complexity . ","anchored by friel and williams 's exceptional performances , the film 's [[pojwer]] lies in its complexity . ",7.867813110351562e-06,4.3392181396484375e-05,1,1,1,357,"Failed"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[resinance]] by ilya chaiken . ",7.510185241699219e-06,0.7641798853874207,1,0,1,176,"Successful"
"the best [[film]] about baseball to hit theaters since field of dreams . ","the best [[flim]] about baseball to hit theaters since field of dreams . ",6.556510925292969e-06,3.314018249511719e-05,1,1,1,200,"Failed"
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[defies]] an easy categorization . ","too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[defjes]] an easy categorization . ",7.68899917602539e-05,0.08647847175598145,0,0,0,530,"Failed"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[scwry]] . ",6.389617919921875e-05,0.9999709129333496,0,1,0,99,"Successful"
"schaeffer has to find some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently useless movies , and it [[migjt]] as well be the resuscitation of the middle-aged character . ",1.1801719665527344e-05,0.49549365043640137,0,0,0,505,"Failed"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[better]] . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[bwtter]] . ",0.38678252696990967,0.999976396560669,1,0,1,280,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[refrewhingly]] literary . ",7.748603820800781e-06,0.061664879322052,1,1,1,340,"Failed"
"so unassuming and pure of heart , you ca n't help but [[warmly]] extend your arms and yell ` safe ! ' ","so unassuming and pure of heart , you ca n't help but [[wamly]] extend your arms and yell ` safe ! ' ",1.7881393432617188e-05,0.0028824806213378906,1,1,1,215,"Failed"
"an entertaining , [[colorful]] , action-filled crime story with an intimate heart . ","an entertaining , [[colorfjl]] , action-filled crime story with an intimate heart . ",8.463859558105469e-06,9.775161743164062e-06,1,1,1,310,"Failed"
"due to some script weaknesses and the casting of the director 's brother , the film [[trails]] off into inconsequentiality . ","due to some script weaknesses and the casting of the director 's brother , the film [[tralls]] off into inconsequentiality . ",1.3709068298339844e-05,0.00011360645294189453,0,0,0,383,"Failed"
"works hard to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has [[ntohing]] fresh or particularly interesting to say about them . ",8.094310760498047e-05,0.9987460970878601,0,1,0,410,"Successful"
"one of the most significant moviegoing [[pleasures]] of the year . ","one of the most significant moviegoing [[pkeasures]] of the year . ",6.318092346191406e-06,0.16196012496948242,1,1,1,205,"Failed"
