"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the [[year]] , [[noteworthy]] only for the [[gimmick]] of being [[filmed]] as a single [[unbroken]] [[87-minute]] take . ","the most [[hoelessly]] [[umonotonous]] film of the [[Jyear]] , [[noteowrthy]] only for the [[gemmick]] of being [[filmFd]] as a single [[unbrokon]] [[87-minuet]] take . ",9.298324584960938e-06,0.06534814834594727,0,0,0,66,"Failed"
"as a [[rumor]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's [[noblest]] efforts can redeem it from hopeless sentimentality . ","as a [[rmuor]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[qs]]. redgrave 's [[noblet]] efforts can redeem it from hopeless sentimentality . ",7.033348083496094e-05,0.8836013674736023,0,1,0,41,"Successful"
"bennett 's naturalistic performance speaks volumes more [[truth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance speaks volumes more [[Vtruth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",2.3245811462402344e-05,0.9821465611457825,1,0,1,31,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.6871927380561829,0.6871927380561829,1,1,0,1,"Skipped"
"anchored by friel and [[williams]] 's exceptional performances , the film 's [[power]] [[lies]] in its complexity . ","anchored by friel and [[william]] 's exceptional performances , the film 's [[pwer]] [[lzies]] in its complexity . ",2.5987625122070312e-05,0.8825624585151672,1,0,1,29,"Successful"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[resoance]] by ilya chaiken . ",1.3709068298339844e-05,0.9804264903068542,1,0,1,15,"Successful"
"the [[best]] film about baseball to hit [[theaters]] since field of [[dreams]] . ","the [[jbest]] film about baseball to hit [[theatePs]] since field of [[reams]] . ",4.0531158447265625e-06,0.9541159272193909,1,0,1,25,"Successful"
"too restrained to be a freak show , too mercenary and [[obvious]] to be cerebral , too dull and pretentious to be engaging ... the [[isle]] [[defies]] an easy categorization . ","too restrained to be a freak show , too mercenary and [[obUvious]] to be cerebral , too dull and pretentious to be engaging ... the [[sile]] [[edfies]] an easy categorization . ",3.993511199951172e-05,0.8816076517105103,0,1,0,40,"Successful"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[scray]] . ",0.00754779577255249,0.9994428157806396,0,1,0,16,"Successful"
"schaeffer has to find some hook on which to hang his [[persistently]] [[useless]] [[movies]] , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his [[peristently]] [[useles]] [[movise]] , and it [[miiht]] as well be the resuscitation of the middle-aged character . ",1.1444091796875e-05,0.5050097107887268,0,1,0,46,"Successful"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[better]] . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[bettr]] . ",0.13368570804595947,0.9996026754379272,1,0,1,25,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] [[literary]] . ","very psychoanalytical -- provocatively so -- and also [[refrEeshingly]] [[lietrary]] . ",3.5762786865234375e-06,0.9423167109489441,1,0,1,17,"Successful"
"so unassuming and pure of [[heart]] , you [[ca]] n't help but [[warmly]] extend your [[arms]] and yell ` safe ! ' ","so unassuming and pure of [[hart]] , you [[ac]] n't help but [[waqrmly]] extend your [[rams]] and yell ` safe ! ' ",5.0067901611328125e-06,0.6815415620803833,1,0,1,36,"Successful"
"an [[entertaining]] , [[colorful]] , [[action-filled]] [[crime]] [[story]] with an [[intimate]] heart . ","an [[rntertaining]] , [[colobful]] , [[actionfilled]] [[crBme]] [[Xtory]] with an [[itimate]] heart . ",4.291534423828125e-06,0.9090087413787842,1,0,1,35,"Successful"
