"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[hopeessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",0.00014019012451171875,0.0002911686897277832,0,0,0,403,"Failed"
"as a [[rumor]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a [[rumir]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.0017306804656982422,0.09242594242095947,0,0,0,521,"Failed"
"bennett 's naturalistic performance [[speaks]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance [[spreaks]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.00045567750930786133,0.9983783960342407,1,0,1,603,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.9921170473098755,0.9921170473098755,1,1,0,1,"Skipped"
"anchored by friel and williams 's [[exceptional]] performances , the film 's power lies in its complexity . ","anchored by friel and williams 's [[excepttional]] performances , the film 's power lies in its complexity . ",0.0001710653305053711,0.010427653789520264,1,1,1,357,"Failed"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[rexonance]] by ilya chaiken . ",0.0008338689804077148,0.9996860027313232,1,0,1,176,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[bewt]] film about baseball to hit theaters since field of dreams . ",0.00014317035675048828,0.9859065413475037,1,0,1,200,"Successful"
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[defies]] an easy categorization . ","too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[deHfies]] an easy categorization . ",0.0004628896713256836,0.011660933494567871,0,0,0,530,"Failed"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[sfary]] . ",0.0006309151649475098,0.5471689701080322,0,1,0,99,"Successful"
"schaeffer has to find some hook on which to hang his persistently [[useless]] movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently [[ueeless]] movies , and it might as well be the resuscitation of the middle-aged character . ",0.0008580684661865234,0.28225892782211304,0,0,0,505,"Failed"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",0.7422021627426147,0.7422021627426147,0,0,1,1,"Skipped"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[refreahingly]] literary . ",0.00019937753677368164,0.5445009469985962,1,0,1,340,"Successful"
"so unassuming and pure of heart , you ca n't help but [[warmly]] extend your arms and yell ` safe ! ' ","so unassuming and pure of heart , you ca n't help but [[warnly]] extend your arms and yell ` safe ! ' ",0.0008521080017089844,0.03522682189941406,1,1,1,215,"Failed"
"an entertaining , colorful , [[action-filled]] crime story with an intimate heart . ","an entertaining , colorful , [[actionf-illed]] crime story with an intimate heart . ",0.0001569986343383789,0.00024014711380004883,1,1,1,310,"Failed"
"due to some script weaknesses and the casting of the director 's brother , the film trails off into [[inconsequentiality]] . ","due to some script weaknesses and the casting of the director 's brother , the film trails off into [[incinsequentiality]] . ",0.017059385776519775,0.9183158874511719,0,1,0,383,"Successful"
"works hard to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has [[nPothing]] fresh or particularly interesting to say about them . ",0.0006202459335327148,0.9890385270118713,0,1,0,410,"Successful"
"one of the most [[significant]] moviegoing pleasures of the year . ","one of the most [[sinificant]] moviegoing pleasures of the year . ",0.00016880035400390625,0.9780263304710388,1,0,1,205,"Successful"
"the son 's room is a [[triumph]] of gentility that earns its moments of pathos . ","the son 's room is a [[triUumph]] of gentility that earns its moments of pathos . ",0.0001952052116394043,0.03507816791534424,1,1,1,188,"Failed"
"what the film lacks in general focus it makes up for in compassion , as corcuera manages to find the seeds of [[hope]] in the form of collective action . ","what the film lacks in general focus it makes up for in compassion , as corcuera manages to find the seeds of [[hole]] in the form of collective action . ",0.00020772218704223633,0.012103915214538574,1,1,1,411,"Failed"
"one of those energetic surprises , an original that [[pleases]] almost everyone who sees it . ","one of those energetic surprises , an original that [[plesses]] almost everyone who sees it . ",0.0001558065414428711,0.004316926002502441,1,1,1,285,"Failed"
"this is wild surreal stuff , but [[brilliant]] and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but [[brilliaht]] and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.0019312500953674316,0.954999566078186,1,0,1,331,"Successful"
"or doing last year 's [[taxes]] with your ex-wife . ","or doing last year 's [[tLaxes]] with your ex-wife . ",0.013214409351348877,0.45191484689712524,0,0,0,90,"Failed"
"a [[rewarding]] work of art for only the most patient and challenge-hungry moviegoers . ","a [[rewarxing]] work of art for only the most patient and challenge-hungry moviegoers . ",0.00018161535263061523,0.3603563904762268,1,1,1,279,"Failed"
"a [[good]] piece of work more often than not . ","a [[goid]] piece of work more often than not . ",0.00017529726028442383,0.16789507865905762,1,1,1,73,"Failed"
"a [[beguiling]] splash of pastel colors and prankish comedy from disney . ","a [[begulling]] splash of pastel colors and prankish comedy from disney . ",0.0019826889038085938,0.9806472063064575,1,0,1,257,"Successful"
"it 's one [[heck]] of a character study -- not of hearst or davies but of the unique relationship between them . ","it 's one [[hwck]] of a character study -- not of hearst or davies but of the unique relationship between them . ",0.0016222000122070312,0.9967184066772461,1,0,1,267,"Successful"
"puts a human [[face]] on a land most westerners are unfamiliar with . ","puts a human [[fade]] on a land most westerners are unfamiliar with . ",0.4558202028274536,0.9996582865715027,1,0,1,190,"Successful"
"montias ... pumps a lot of [[energy]] into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ","montias ... pumps a lot of [[enerry]] into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ",0.00038677453994750977,0.005600392818450928,1,1,1,468,"Failed"
"atom egoyan has conjured up a [[multilayered]] work that tackles any number of fascinating issues ","atom egoyan has conjured up a [[mlutilayered]] work that tackles any number of fascinating issues ",0.00020748376846313477,0.008997619152069092,1,1,1,354,"Failed"
"a [[compelling]] spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ","a [[conpelling]] spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ",0.0001646280288696289,0.9981024265289307,1,0,1,548,"Successful"
"at the very [[least]] , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave . ","at the very [[lfast]] , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave . ",0.1521611213684082,0.9930316805839539,0,1,0,229,"Successful"
"do n't be fooled by the impressive cast list - eye see you is pure [[junk]] . ","do n't be fooled by the impressive cast list - eye see you is pure [[jnk]] . ",0.0018762946128845215,0.9997450709342957,0,1,0,149,"Successful"
