"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] [[film]] of the [[year]] , [[noteworthy]] only for the gimmick of being [[filmed]] as a [[single]] unbroken [[87-minute]] [[take]] . ","the most [[hopeleesly]] [[monotoous]] [[fhilm]] of the [[ear]] , [[noteworhy]] only for the gimmick of being [[filmde]] as a [[Oingle]] unbroken [[87-minuet]] [[tako]] . ",6.794929504394531e-06,0.35277998447418213,0,0,0,67,"Failed"
"as a [[rumor]] of angels [[reveals]] itself to be a sudsy [[tub]] of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a [[rumoOr]] of angels [[reveaSls]] itself to be a sudsy [[tui]] of supernatural hokum , not even [[sms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",9.775161743164062e-06,0.8945441842079163,0,1,0,49,"Successful"
"bennett 's naturalistic performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic [[life]] [[changes]] should watch some body first . ","bennett 's naturalistic performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic [[lfie]] [[chnges]] should watch some body first . ",0.0008596181869506836,0.991828203201294,1,0,1,35,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.9322148561477661,0.9322148561477661,1,1,0,1,"Skipped"
"[[anchored]] by [[friel]] and [[williams]] 's [[exceptional]] performances , the film 's [[power]] lies in its [[complexity]] . ","[[anchofed]] by [[rfiel]] and [[wiUlliams]] 's [[txceptional]] performances , the film 's [[poewr]] lies in its [[coumplexity]] . ",5.364418029785156e-06,0.9998866319656372,1,0,1,44,"Successful"
"a [[woman]] 's [[pic]] [[directed]] with [[resonance]] by [[ilya]] [[chaiken]] . ","a [[wmoan]] 's [[ic]] [[direoted]] with [[resnance]] by [[liya]] [[chaikei]] . ",9.894371032714844e-06,0.9992493391036987,1,0,1,35,"Successful"
"the [[best]] film about [[baseball]] to hit [[theaters]] since field of [[dreams]] . ","the [[bEest]] film about [[basebalMl]] to hit [[theaFters]] since field of [[drams]] . ",6.318092346191406e-06,0.6064035892486572,1,0,1,29,"Successful"
"too restrained to be a [[freak]] [[show]] , too mercenary and [[obvious]] to be cerebral , too [[dull]] and pretentious to be engaging ... the [[isle]] defies an easy [[categorization]] . ","too restrained to be a [[fremak]] [[hsow]] , too mercenary and [[obious]] to be cerebral , too [[duXl]] and pretentious to be engaging ... the [[isDe]] defies an easy [[catgeorization]] . ",2.193450927734375e-05,0.9265782833099365,0,1,0,52,"Successful"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[sacry]] . ",6.079673767089844e-06,0.9998748302459717,0,1,0,16,"Successful"
"schaeffer has to find some hook on which to [[hang]] his persistently [[useless]] [[movies]] , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to [[Xhang]] his persistently [[uselUess]] [[moves]] , and it [[miht]] as well be the resuscitation of the middle-aged character . ",6.4373016357421875e-06,0.5703784227371216,0,1,0,42,"Successful"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[better]] . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[betaer]] . ",0.13917678594589233,0.8825162649154663,1,0,1,24,"Successful"
"very [[psychoanalytical]] -- provocatively so -- and [[also]] [[refreshingly]] literary . ","very [[pscyhoanalytical]] -- provocatively so -- and [[albo]] [[refresXingly]] literary . ",4.410743713378906e-06,0.8336130380630493,1,0,1,21,"Successful"
"so unassuming and [[pure]] of [[heart]] , you ca n't help but [[warmly]] extend your arms and yell ` [[safe]] ! ' ","so unassuming and [[puQre]] of [[heat]] , you ca n't help but [[wamly]] extend your arms and yell ` [[sTafe]] ! ' ",4.553794860839844e-05,0.9990559816360474,1,0,1,36,"Successful"
"an [[entertaining]] , [[colorful]] , [[action-filled]] crime story with an [[intimate]] [[heart]] . ","an [[entertaizning]] , [[colofrul]] , [[action-filld]] crime story with an [[intimaIte]] [[hevart]] . ",4.291534423828125e-06,0.9912199974060059,1,0,1,31,"Successful"
"due to some [[script]] [[weaknesses]] and the [[casting]] of the director 's [[brother]] , the film trails off into [[inconsequentiality]] . ","due to some [[sRcript]] [[weakZnesses]] and the [[castig]] of the director 's [[broXher]] , the film trails off into [[icnonsequentiality]] . ",5.9604644775390625e-06,2.7298927307128906e-05,0,0,0,56,"Failed"
"works hard to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has [[nthing]] fresh or particularly interesting to say about them . ",1.2755393981933594e-05,0.7136725187301636,0,1,0,23,"Successful"
"[[one]] of the most [[significant]] [[moviegoing]] [[pleasures]] of the [[year]] . ","[[Vone]] of the most [[signifiVcant]] [[movoiegoing]] [[leasures]] of the [[ynar]] . ",4.0531158447265625e-06,0.04728609323501587,1,1,1,31,"Failed"
"the son 's room is a [[triumph]] of gentility that [[earns]] its moments of pathos . ","the son 's room is a [[triummph]] of gentility that [[ears]] its moments of pathos . ",4.649162292480469e-06,0.5705983638763428,1,0,1,24,"Successful"
"what the film lacks in general focus it [[makes]] up for in [[compassion]] , as corcuera [[manages]] to find the seeds of hope in the form of collective action . ","what the film lacks in general focus it [[maeks]] up for in [[compssion]] , as corcuera [[managxes]] to find the seeds of hope in the form of collective action . ",6.9141387939453125e-06,0.5380784273147583,1,0,1,40,"Successful"
"[[one]] of those [[energetic]] surprises , an [[original]] that [[pleases]] almost everyone who sees it . ","[[noe]] of those [[energRetic]] surprises , an [[mriginal]] that [[pleses]] almost everyone who sees it . ",4.291534423828125e-06,0.9789591431617737,1,0,1,31,"Successful"
"this is wild surreal stuff , but [[brilliant]] and the camera just kind of sits there and [[lets]] you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but [[brillniant]] and the camera just kind of sits there and [[elts]] you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.01658022403717041,0.5381947159767151,1,0,1,51,"Successful"
"or doing last [[year]] 's [[taxes]] with your ex-wife . ","or doing last [[Uear]] 's [[taes]] with your ex-wife . ",0.004130542278289795,0.7806563377380371,0,1,0,18,"Successful"
"a [[rewarding]] [[work]] of [[art]] for only the most patient and [[challenge-hungry]] moviegoers . ","a [[rearding]] [[wok]] of [[trt]] for only the most patient and [[challene-hungry]] moviegoers . ",5.0067901611328125e-06,0.9743028879165649,1,0,1,30,"Successful"
"a [[good]] piece of work more often than not . ","a [[gogd]] piece of work more often than not . ",5.7220458984375e-06,0.9842869639396667,1,0,1,14,"Successful"
"a [[beguiling]] [[splash]] of pastel colors and prankish [[comedy]] from [[disney]] . ","a [[bGguiling]] [[spvlash]] of pastel colors and prankish [[comdey]] from [[disnty]] . ",5.125999450683594e-06,0.9957675933837891,1,0,1,28,"Successful"
"it 's one heck of a character study -- not of hearst or davies but of the [[unique]] relationship between them . ","it 's one heck of a character study -- not of hearst or davies but of the [[unizque]] relationship between them . ",0.0011494159698486328,0.982437252998352,1,0,1,25,"Successful"
"puts a [[human]] [[face]] on a land most westerners are unfamiliar with . ","puts a [[Ohuman]] [[fBace]] on a land most westerners are unfamiliar with . ",9.5367431640625e-06,0.999825656414032,1,0,1,21,"Successful"
"[[montias]] ... [[pumps]] a [[lot]] of [[energy]] into his [[nicely]] [[nuanced]] narrative and surrounds himself with a [[cast]] of quirky -- but not stereotyped -- street characters . ","[[montas]] ... [[pumgs]] a [[olt]] of [[enerty]] into his [[nciely]] [[naunced]] narrative and surrounds himself with a [[csat]] of quirky -- but not stereotyped -- street characters . ",5.9604644775390625e-06,0.9900185465812683,1,0,1,53,"Successful"
"atom egoyan has conjured up a multilayered [[work]] that [[tackles]] any number of [[fascinating]] issues ","atom egoyan has conjured up a multilayered [[wokr]] that [[tackes]] any number of [[fasciAating]] issues ",6.67572021484375e-06,0.9989654421806335,1,0,1,28,"Successful"
"a [[compelling]] spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ","a [[compellng]] spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ",8.940696716308594e-06,0.8654663562774658,1,0,1,31,"Successful"
"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know [[much]] more when you leave . ","at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know [[Jmuch]] more when you leave . ",0.013953864574432373,0.9874361753463745,0,1,0,32,"Successful"
"do n't be fooled by the impressive cast list - eye see you is pure junk . ","do n't be fooled by the impressive cast list - eye see you is pure junk . ",0.6533708572387695,0.6533708572387695,1,1,0,1,"Skipped"
"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've [[lost]] weight ! ","/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've [[lqost]] weight ! ",0.0009883642196655273,0.9872271418571472,0,1,0,23,"Successful"
"[[director]] andrew niccol ... [[demonstrates]] a [[wry]] [[understanding]] of the quirks of [[fame]] . ","[[direcVor]] andrew niccol ... [[demonWtrates]] a [[wNry]] [[understnding]] of the quirks of [[ftame]] . ",5.0067901611328125e-06,0.995908796787262,1,0,1,33,"Successful"
"... takes the [[beauty]] of [[baseball]] and [[melds]] it with a story that could [[touch]] [[anyone]] regardless of their familiarity with the [[sport]] ","... takes the [[baeuty]] of [[basbeall]] and [[medls]] it with a story that could [[touKch]] [[anyonDe]] regardless of their familiarity with the [[sprot]] ",5.841255187988281e-06,0.8316730856895447,1,0,1,47,"Successful"
"there [[ought]] to be a directing [[license]] , so that ed [[burns]] can have his [[revoked]] . ","there [[ouhgt]] to be a directing [[licensO]] , so that ed [[purns]] can have his [[reooked]] . ",1.1324882507324219e-05,0.5446482300758362,0,1,0,40,"Successful"
"there is no [[pleasure]] in [[watching]] a child suffer . ","there is no [[pleastre]] in [[atching]] a child suffer . ",0.0013833045959472656,0.9973932504653931,0,1,0,18,"Successful"
"at a time when half the so-called real movies are little more than live-action cartoons , it 's [[refreshing]] to [[see]] a cartoon that knows what it is , and [[knows]] the form 's [[history]] . ","at a time when half the so-called real movies are little more than live-action cartoons , it 's [[refrerhing]] to [[se]] a cartoon that knows what it is , and [[knosw]] the form 's [[higstory]] . ",6.9141387939453125e-06,0.8911195993423462,1,0,1,50,"Successful"
"there are simply too [[many]] ideas floating around -- [[part]] [[farce]] , [[part]] sliding [[doors]] , part pop [[video]] -- and yet [[failing]] to [[exploit]] them . ","there are simply too [[may]] ideas floating around -- [[art]] [[face]] , [[art]] sliding [[dours]] , part pop [[videjo]] -- and yet [[fawiling]] to [[epxloit]] them . ",8.702278137207031e-06,0.9691356420516968,0,1,0,81,"Successful"
