"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the [[year]] , [[noteworthy]] only for the [[gimmick]] of being [[filmed]] as a [[single]] unbroken [[87-minute]] take . ","the most [[hoplessly]] [[monotoous]] film of the [[eyar]] , [[noYeworthy]] only for the [[gimick]] of being [[Hilmed]] as a [[singe]] unbroken [[87minute]] take . ",3.898143768310547e-05,0.04298955202102661,0,0,0,67,"Failed"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[sms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.1488472819328308,0.9983084797859192,0,1,0,33,"Successful"
"bennett 's naturalistic performance speaks [[volumes]] more [[truth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should [[watch]] some body first . ","bennett 's naturalistic performance speaks [[volumVes]] more [[trutK]] than any ` reality ' show , and anybody contemplating their own drastic life changes should [[watcOh]] some body first . ",8.082389831542969e-05,0.8438674211502075,1,0,1,39,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.7723355293273926,0.7723355293273926,1,1,0,1,"Skipped"
"[[anchored]] by [[friel]] and [[williams]] 's [[exceptional]] [[performances]] , the film 's [[power]] lies in its complexity . ","[[anchofed]] by [[frie]] and [[Pilliams]] 's [[excpetional]] [[performacnes]] , the film 's [[pwoer]] lies in its complexity . ",2.6464462280273438e-05,0.7435287237167358,1,0,1,48,"Successful"
"a woman 's pic [[directed]] with [[resonance]] by [[ilya]] [[chaiken]] . ","a woman 's pic [[direced]] with [[resonaZce]] by [[iclya]] [[chiaken]] . ",1.0251998901367188e-05,0.8303022384643555,1,0,1,27,"Successful"
"the [[best]] film about [[baseball]] to hit [[theaters]] since field of [[dreams]] . ","the [[vbest]] film about [[basebaol]] to hit [[thetaers]] since field of [[dreDams]] . ",1.0013580322265625e-05,0.845737874507904,1,0,1,33,"Successful"
"too restrained to be a freak show , too mercenary and obvious to be [[cerebral]] , too [[dull]] and pretentious to be engaging ... the [[isle]] [[defies]] an easy [[categorization]] . ","too restrained to be a freak show , too mercenary and obvious to be [[cereMbral]] , too [[duFll]] and pretentious to be engaging ... the [[islqe]] [[efies]] an easy [[ctaegorization]] . ",0.00016021728515625,0.9992892742156982,0,1,0,47,"Successful"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[rcary]] . ",0.0004706382751464844,0.014073014259338379,0,0,0,24,"Failed"
"schaeffer has to find some hook on which to hang his persistently [[useless]] movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently [[useelss]] movies , and it [[mgiht]] as well be the resuscitation of the middle-aged character . ",0.0002556443214416504,0.999589741230011,0,1,0,35,"Successful"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[better]] . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[bBtter]] . ",0.038149356842041016,0.9990563988685608,1,0,1,25,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] [[literary]] . ","very psychoanalytical -- provocatively so -- and also [[refresihngly]] [[litreary]] . ",2.3484230041503906e-05,0.9997955560684204,1,0,1,17,"Successful"
"so unassuming and pure of [[heart]] , you ca [[n't]] help but [[warmly]] extend your arms and yell ` [[safe]] ! ' ","so unassuming and pure of [[hleart]] , you ca '[[nt]] help but [[wacmly]] extend your arms and yell ` [[sNafe]] ! ' ",1.609325408935547e-05,0.9117668867111206,1,0,1,36,"Successful"
"an [[entertaining]] , [[colorful]] , [[action-filled]] crime story with an [[intimate]] [[heart]] . ","an [[entertaiuning]] , [[colorflu]] , [[action-Tfilled]] crime story with an [[qntimate]] [[haert]] . ",7.987022399902344e-06,0.999699592590332,1,0,1,31,"Successful"
"due to some [[script]] weaknesses and the casting of the [[director]] 's brother , the [[film]] trails off into inconsequentiality . ","due to some [[sXript]] weaknesses and the casting of the [[direxctor]] 's brother , the [[iflm]] trails off into inconsequentiality . ",9.083747863769531e-05,0.00011610984802246094,0,0,0,56,"Failed"
"works hard to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has [[onthing]] fresh or particularly interesting to say about them . ",0.00032508373260498047,0.9837386608123779,0,1,0,23,"Successful"
"[[one]] of the most significant [[moviegoing]] [[pleasures]] of the year . ","[[onX]] of the most significant [[omviegoing]] [[leasures]] of the year . ",9.298324584960938e-06,0.983498215675354,1,0,1,23,"Successful"
"the son 's room is a [[triumph]] of gentility that [[earns]] its [[moments]] of pathos . ","the son 's room is a [[triuvph]] of gentility that [[eaFrns]] its [[Vmoments]] of pathos . ",1.0013580322265625e-05,0.93864905834198,1,0,1,28,"Successful"
"what the film [[lacks]] in general focus it makes up for in [[compassion]] , as [[corcuera]] [[manages]] to find the seeds of hope in the form of [[collective]] [[action]] . ","what the film [[lackms]] in general focus it makes up for in [[cmopassion]] , as [[corVcuera]] [[manOages]] to find the seeds of hope in the form of [[collHctive]] [[cation]] . ",1.239776611328125e-05,0.7755146026611328,1,0,1,53,"Successful"
"[[one]] of those [[energetic]] surprises , an [[original]] that [[pleases]] almost [[everyone]] who sees it . ","[[noe]] of those [[oenergetic]] surprises , an [[orkginal]] that [[plexases]] almost [[evryone]] who sees it . ",7.3909759521484375e-06,0.7897511124610901,1,0,1,34,"Successful"
"this is wild surreal stuff , but [[brilliant]] and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but [[jbrilliant]] and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.15624654293060303,0.9898284673690796,1,0,1,48,"Successful"
"or doing last [[year]] 's [[taxes]] with your ex-wife . ","or doing last [[dear]] 's [[txaes]] with your ex-wife . ",0.11287826299667358,0.6964529752731323,0,1,0,18,"Successful"
"a [[rewarding]] work of [[art]] for only the most patient and challenge-hungry moviegoers . ","a [[rewarning]] work of [[rat]] for only the most patient and challenge-hungry moviegoers . ",1.5020370483398438e-05,0.778509259223938,1,0,1,21,"Successful"
"a [[good]] [[piece]] of [[work]] more [[often]] than not . ","a [[ogod]] [[picee]] of [[lork]] more [[ofte]] than not . ",0.0001868605613708496,0.9964123964309692,1,0,1,26,"Successful"
