"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the year , noteworthy only for the [[gimmick]] of being filmed as a single unbroken 87-minute [[take]] . ","the most [[hopelesly]] [[monuotonous]] film of the year , noteworthy only for the [[giZmick]] of being filmed as a single unbroken 87-minute [[tkae]] . ",8.094310760498047e-05,0.5990887880325317,0,1,0,43,"Successful"
"as a [[rumor]] of angels reveals itself to be a [[sudsy]] tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a [[ruomr]] of angels reveals itself to be a [[susdy]] tub of supernatural hokum , not even [[Vms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",7.331371307373047e-05,0.6837232708930969,0,1,0,41,"Successful"
"bennett 's naturalistic performance speaks volumes more [[truth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance speaks volumes more [[troth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.06592327356338501,0.7692613005638123,1,0,1,31,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.8499660491943359,0.8499660491943359,1,1,0,1,"Skipped"
"[[anchored]] by friel and williams 's exceptional performances , the film 's [[power]] lies in its complexity . ","[[danchored]] by friel and williams 's exceptional performances , the film 's [[pwer]] lies in its complexity . ",1.0609626770019531e-05,0.7479009032249451,1,0,1,25,"Successful"
"a woman 's pic [[directed]] with [[resonance]] by [[ilya]] chaiken . ","a woman 's pic [[direcVted]] with [[rseonance]] by [[ilyK]] chaiken . ",5.125999450683594e-06,0.9714657664299011,1,0,1,27,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[Sbest]] film about baseball to hit theaters since field of dreams . ",4.887580871582031e-06,0.860111653804779,1,0,1,17,"Successful"
"too restrained to be a [[freak]] [[show]] , too mercenary and [[obvious]] to be cerebral , too [[dull]] and pretentious to be [[engaging]] ... the isle [[defies]] an easy [[categorization]] . ","too restrained to be a [[frefk]] [[shw]] , too mercenary and [[obvoius]] to be cerebral , too [[duCll]] and pretentious to be [[engagRing]] ... the isle [[tefies]] an easy [[catgorization]] . ",0.00011527538299560547,0.7075477838516235,0,1,0,55,"Successful"
"it 's [[dumb]] , but more importantly , it 's just not [[scary]] . ","it 's [[dUumb]] , but more importantly , it 's just not [[scmary]] . ",0.0004845857620239258,0.9728948473930359,0,1,0,24,"Successful"
"schaeffer has to find some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently useless movies , and it [[migcht]] as well be the resuscitation of the middle-aged character . ",0.00032806396484375,0.8803879022598267,0,1,0,30,"Successful"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",0.8431929349899292,0.8431929349899292,0,0,1,1,"Skipped"
"very [[psychoanalytical]] -- provocatively so -- and [[also]] [[refreshingly]] literary . ","very [[psyvhoanalytical]] -- provocatively so -- and [[aclso]] [[rerfeshingly]] literary . ",4.887580871582031e-06,0.8948078751564026,1,0,1,21,"Successful"
"so unassuming and pure of [[heart]] , you ca n't help but [[warmly]] extend your arms and yell ` [[safe]] ! ' ","so unassuming and pure of [[hearrt]] , you ca n't help but [[waroly]] extend your arms and yell ` [[sEafe]] ! ' ",4.9948692321777344e-05,0.534363865852356,1,0,1,32,"Successful"
"an [[entertaining]] , [[colorful]] , [[action-filled]] crime [[story]] with an [[intimate]] [[heart]] . ","an [[entertainnig]] , [[coloMrful]] , [[Dction-filled]] crime [[tory]] with an [[intimat]] [[eart]] . ",4.172325134277344e-06,0.8834520578384399,1,0,1,39,"Successful"
"due to some [[script]] [[weaknesses]] and the casting of the director 's [[brother]] , the film [[trails]] off into inconsequentiality . ","due to some [[scrpt]] [[weaknesjses]] and the casting of the director 's [[brotheXr]] , the film [[trail]] off into inconsequentiality . ",7.867813110351562e-05,0.0006941556930541992,0,0,0,56,"Failed"
"works hard to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has [[nOthing]] fresh or particularly interesting to say about them . ",0.0014098286628723145,0.5685412883758545,0,1,0,23,"Successful"
"[[one]] of the most significant moviegoing pleasures of the year . ","[[noe]] of the most significant moviegoing pleasures of the year . ",3.6954879760742188e-06,0.6792764067649841,1,0,1,15,"Successful"
"the son 's room is a [[triumph]] of [[gentility]] that earns its [[moments]] of pathos . ","the son 's room is a [[triuph]] of [[gsntility]] that earns its [[moemnts]] of pathos . ",6.198883056640625e-06,0.5763061046600342,1,0,1,27,"Successful"
"what the film lacks in general focus it [[makes]] up for in compassion , as corcuera [[manages]] to find the seeds of hope in the form of collective action . ","what the film lacks in general focus it [[mlkes]] up for in compassion , as corcuera [[manaWes]] to find the seeds of hope in the form of collective action . ",0.00010406970977783203,0.9321046471595764,1,0,1,37,"Successful"
"[[one]] of those [[energetic]] surprises , an original that [[pleases]] almost everyone who sees it . ","[[noe]] of those [[enerXetic]] surprises , an original that [[plaeses]] almost everyone who sees it . ",3.933906555175781e-06,0.9667702913284302,1,0,1,27,"Successful"
"this is wild surreal stuff , but brilliant and the camera just kind of sits there and [[lets]] you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but brilliant and the camera just kind of sits there and [[elts]] you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.055903494358062744,0.970107913017273,1,0,1,48,"Successful"
"or doing [[last]] year 's [[taxes]] with your ex-wife . ","or doing [[lsat]] year 's [[Ztaxes]] with your ex-wife . ",0.03007364273071289,0.897133469581604,0,1,0,22,"Successful"
"a [[rewarding]] work of art for only the most patient and [[challenge-hungry]] [[moviegoers]] . ","a [[erwarding]] work of art for only the most patient and [[challenge-hnugry]] [[moviegores]] . ",7.62939453125e-06,0.7580447196960449,1,0,1,26,"Successful"
"a [[good]] piece of [[work]] more [[often]] than not . ","a [[goo]] piece of [[worlk]] more [[nften]] than not . ",1.049041748046875e-05,0.7773808836936951,1,0,1,20,"Successful"
"a [[beguiling]] [[splash]] of pastel colors and prankish comedy from [[disney]] . ","a [[beguViling]] [[plash]] of pastel colors and prankish comedy from [[Kdisney]] . ",1.71661376953125e-05,0.9538495540618896,1,0,1,24,"Successful"
"it 's one heck of a character study -- not of hearst or davies but of the [[unique]] relationship between them . ","it 's one heck of a character study -- not of hearst or davies but of the [[uOnique]] relationship between them . ",0.13439488410949707,0.8295148611068726,1,0,1,25,"Successful"
