"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[mortally]] [[fanfare]] film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",2.205371856689453e-05,0.5871771574020386,0,1,0,67,"Successful"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[madame]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",5.793571472167969e-05,0.6712661981582642,0,1,0,68,"Successful"
"[[bennett]] 's naturalistic performance [[speaks]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","[[bennet]] 's naturalistic performance [[habla]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",3.361701965332031e-05,0.8761917352676392,1,0,1,70,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.9380720853805542,0.9380720853805542,1,1,0,1,"Skipped"
"[[anchored]] by friel and williams 's [[exceptional]] performances , the film 's [[power]] lies in its [[complexity]] . ","[[moored]] by friel and williams 's [[unpaid]] performances , the film 's [[jurisdiction]] lies in its [[complex]] . ",5.841255187988281e-06,0.9930696487426758,1,0,1,129,"Successful"
"a [[woman]] 's [[pic]] directed with [[resonance]] by [[ilya]] chaiken . ","a [[cheerleader]] 's [[pico]] directed with [[harmonics]] by [[elijah]] chaiken . ",2.6226043701171875e-06,0.9852206707000732,1,0,1,59,"Successful"
"the [[best]] film about [[baseball]] to hit theaters since field of dreams . ","the [[happiest]] film about [[slug]] to hit theaters since field of dreams . ",3.6954879760742188e-06,0.9999057054519653,1,0,1,67,"Successful"
"too restrained to be a freak [[show]] , too mercenary and obvious to be cerebral , too dull and [[pretentious]] to be engaging ... the isle defies an easy categorization . ","too restrained to be a freak [[spectacle]] , too mercenary and obvious to be cerebral , too dull and [[grandiose]] to be engaging ... the isle defies an easy categorization . ",0.02800649404525757,0.5904448628425598,0,1,0,105,"Successful"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[dreaded]] . ",3.6716461181640625e-05,0.9996117353439331,0,1,0,38,"Successful"
"schaeffer [[has]] to find some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer [[enjoy]] to find some hook on which to hang his persistently useless movies , and it [[perils]] as well be the resuscitation of the middle-aged character . ",1.0967254638671875e-05,0.9932317733764648,0,1,0,60,"Successful"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",0.8982458114624023,0.8982458114624023,0,0,1,1,"Skipped"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[mercifully]] literary . ",3.337860107421875e-06,0.6903955936431885,1,0,1,58,"Successful"
"so unassuming and pure of [[heart]] , you ca n't help but [[warmly]] extend your arms and yell ` safe ! ' ","so unassuming and pure of [[cardiology]] , you ca n't help but [[frankly]] extend your arms and yell ` safe ! ' ",8.20159912109375e-05,0.9206215143203735,1,0,1,45,"Successful"
"an [[entertaining]] , [[colorful]] , action-filled [[crime]] [[story]] with an [[intimate]] heart . ","an [[distract]] , [[stained]] , action-filled [[misdemeanors]] [[romances]] with an [[cosy]] heart . ",2.0265579223632812e-06,0.9939006567001343,1,0,1,140,"Successful"
