"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a [[single]] unbroken 87-minute take . ","the most [[highly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a [[live]] unbroken 87-minute take . ",6.794929504394531e-06,9.655952453613281e-06,0,0,0,52,"Failed"
"as a rumor of angels [[reveals]] itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels [[allows]] itself to be a sudsy tub of supernatural hokum , not even [[ill]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",9.775161743164062e-06,0.0619053840637207,0,0,0,88,"Failed"
"bennett 's naturalistic performance speaks [[volumes]] more truth than any ` reality ' show , and anybody contemplating their own drastic [[life]] changes should watch some body first . ","bennett 's naturalistic performance speaks [[only]] more truth than any ` reality ' show , and anybody contemplating their own drastic [[course]] changes should watch some body first . ",0.0008596181869506836,0.9978230595588684,1,0,1,52,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.9322148561477661,0.9322148561477661,1,1,0,1,"Skipped"
"anchored by friel and williams 's exceptional performances , the film 's [[power]] lies in its complexity . ","anchored by friel and williams 's exceptional performances , the film 's [[point]] lies in its complexity . ",5.364418029785156e-06,8.225440979003906e-06,1,1,1,24,"Failed"
"a [[woman]] 's pic directed with [[resonance]] by ilya chaiken . ","a [[sheriff]] 's pic directed with [[costumes]] by ilya chaiken . ",9.894371032714844e-06,0.9578098058700562,1,0,1,102,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[worst]] film about baseball to hit theaters since field of dreams . ",6.318092346191406e-06,0.9999938607215881,1,0,1,42,"Successful"
"too restrained to be a freak [[show]] , too mercenary and obvious to be cerebral , too [[dull]] and pretentious to be engaging ... the isle [[defies]] an easy categorization . ","too restrained to be a freak [[man]] , too mercenary and obvious to be cerebral , too [[extravagant]] and pretentious to be engaging ... the isle [[gives]] an easy categorization . ",2.193450927734375e-05,0.023393094539642334,0,0,0,67,"Failed"
"it 's [[dumb]] , but more importantly , it 's just not scary . ","it 's [[wonderful]] , but more importantly , it 's just not scary . ",6.079673767089844e-06,0.9997768998146057,0,1,0,51,"Successful"
"schaeffer has to [[find]] some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to [[uncover]] some hook on which to hang his persistently useless movies , and it [[is]] as well be the resuscitation of the middle-aged character . ",6.4373016357421875e-06,2.574920654296875e-05,0,0,0,90,"Failed"
"aside from minor tinkering , this is the same movie you probably [[loved]] in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably [[love]] in 1994 , except that it looks even better . ",0.13917678594589233,0.7136672139167786,1,0,1,24,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[not]] literary . ",4.410743713378906e-06,0.9999860525131226,1,0,1,45,"Successful"
"so unassuming and pure of [[heart]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ","so unassuming and pure of [[hearts]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ",4.553794860839844e-05,6.866455078125e-05,1,1,1,21,"Failed"
"an [[entertaining]] , [[colorful]] , [[action-filled]] crime story with an intimate heart . ","an [[old]] , [[boring]] , [[cheap]] crime story with an intimate heart . ",4.291534423828125e-06,0.9473884105682373,1,0,1,129,"Successful"
"due to some script weaknesses and the casting of the [[director]] 's brother , the [[film]] trails off into inconsequentiality . ","due to some script weaknesses and the casting of the [[film]] 's brother , the [[director]] trails off into inconsequentiality . ",5.9604644775390625e-06,8.702278137207031e-06,0,0,0,28,"Failed"
"works hard to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has [[nothin]] fresh or particularly interesting to say about them . ",1.2755393981933594e-05,5.030632019042969e-05,0,0,0,21,"Failed"
"one of the most [[significant]] [[moviegoing]] [[pleasures]] of the year . ","one of the most [[controversial]] [[garden]] [[campaigns]] of the year . ",4.0531158447265625e-06,0.9999428987503052,1,0,1,120,"Successful"
"the son 's room is a triumph of gentility that [[earns]] its moments of pathos . ","the son 's room is a triumph of gentility that [[finds]] its moments of pathos . ",4.649162292480469e-06,9.179115295410156e-06,1,1,1,37,"Failed"
"what the film lacks in [[general]] focus it makes up for in compassion , as corcuera [[manages]] to [[find]] the seeds of hope in the form of collective action . ","what the film lacks in [[direct]] focus it makes up for in compassion , as corcuera [[fails]] to [[locate]] the seeds of hope in the form of collective action . ",6.9141387939453125e-06,0.9204724431037903,1,0,1,74,"Successful"
"one of those [[energetic]] surprises , an [[original]] that [[pleases]] almost everyone who sees it . ","one of those [[silly]] surprises , an [[unexpected]] that [[ruins]] almost everyone who sees it . ",4.291534423828125e-06,0.999983012676239,1,0,1,111,"Successful"
"this is wild surreal stuff , but [[brilliant]] and the camera just kind of sits there and [[lets]] you look at this and its like you 're going from one room to the [[next]] and none of them have any relation to the other . ","this is wild surreal stuff , but [[everything]] and the camera just kind of sits there and [[let]] you look at this and its like you 're going from one room to the [[subsequent]] and none of them have any relation to the other . ",0.01658022403717041,0.553327202796936,1,0,1,55,"Successful"
"or doing last year 's [[taxes]] with your ex-wife . ","or doing last year 's [[sex]] with your ex-wife . ",0.004130542278289795,0.9917286038398743,0,1,0,55,"Successful"
"a [[rewarding]] [[work]] of [[art]] for only the most patient and challenge-hungry moviegoers . ","a [[convenient]] [[store]] of [[pornography]] for only the most patient and challenge-hungry moviegoers . ",5.0067901611328125e-06,0.9998621344566345,1,0,1,161,"Successful"
"a [[good]] piece of work more often than not . ","a [[lost]] piece of work more often than not . ",5.7220458984375e-06,0.9996139407157898,1,0,1,55,"Successful"
"a [[beguiling]] [[splash]] of pastel colors and prankish comedy from disney . ","a [[little]] [[mess]] of pastel colors and prankish comedy from disney . ",5.125999450683594e-06,0.9999906420707703,1,0,1,110,"Successful"
"it 's [[one]] heck of a character study -- not of hearst or davies but of the unique [[relationship]] between them . ","it 's [[two]] heck of a character study -- not of hearst or davies but of the unique [[relation]] between them . ",0.0011494159698486328,0.010031640529632568,1,1,1,30,"Failed"
"puts a human [[face]] on a land most westerners are unfamiliar with . ","puts a human [[curse]] on a land most westerners are unfamiliar with . ",9.5367431640625e-06,0.9993568658828735,1,0,1,61,"Successful"
"montias ... pumps a lot of [[energy]] into his nicely nuanced narrative and surrounds himself with a [[cast]] of quirky -- but not stereotyped -- street characters . ","montias ... pumps a lot of [[power]] into his nicely nuanced narrative and surrounds himself with a [[bunch]] of quirky -- but not stereotyped -- street characters . ",5.9604644775390625e-06,6.794929504394531e-06,1,1,1,32,"Failed"
"atom egoyan has conjured up a multilayered work that [[tackles]] any number of fascinating issues ","atom egoyan has conjured up a multilayered work that [[tackled]] any number of fascinating issues ",6.67572021484375e-06,7.867813110351562e-06,1,1,1,17,"Failed"
"a compelling spanish [[film]] about the [[withering]] effects of jealousy in the life of a young monarch whose [[sexual]] passion for her husband becomes an obsession . ","a compelling spanish [[movie]] about the [[detrimental]] effects of jealousy in the life of a young monarch whose [[supposed]] passion for her husband becomes an obsession . ",8.940696716308594e-06,3.3855438232421875e-05,1,1,1,66,"Failed"
"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know [[much]] more when you leave . ","at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know [[far]] more when you leave . ",0.013953864574432373,0.9045867919921875,0,1,0,44,"Successful"
"do n't be fooled by the impressive cast list - eye see you is pure junk . ","do n't be fooled by the impressive cast list - eye see you is pure junk . ",0.6533708572387695,0.6533708572387695,1,1,0,1,"Skipped"
"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've [[lost]] weight ! ","/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've [[gained]] weight ! ",0.0009883642196655273,0.9974607825279236,0,1,0,37,"Successful"
