is amusing 	1
is entertain 	1
is n't a abysmal movie , just a stultifyingly apparent one -- an unrewarding collar for a assassinated mystery 	0
is n't a abysmal movie , just a stultifyingly manifest one -- an unrewarding collar for a killed mystery 	0
scotland looks brilliant , the fans are often funny fanatics 	1
scotland looks resplendent , the fans are often funny fanatics 	1
buena action 	1
good actions 	1
overnight manhattan , a loquacious videologue of the contemporary male and 	1
overnight manhattan , a loquacious videologue of the modern males and 	1
heavily concerned with morality 	1
seriously concerned with morality 	1
enough humorous 	1
suitably funny 	1
who enjoy moaning about their cruel fated 	0
who enjoy moaning about their savage fate 	0
is beautiful cinematography from one of french cinema 's master artisans 	1
is wonderful filmmaking from one of anglais cinema 's master craftsmen 	1
explores the allegedly irreconcilable situation between conservative christians parents and their estranged gay and lesbian infantile . 	1
explores the seemingly irreconcilable situation between conservator christendom parents and their estranged gay and lesbian childhood . 	1
dismiss heroes would be a cinematography that is n't this painfully forced , faked and fabricated 	0
rejected heroes would be a film that is n't this embarrassingly forced , pseudo and fabricated 	0
of the impossibly lengthy limbs and sweetly conspiratorial smile 	1
of the shockingly long limbs and sweetly conspiratorial smile 	1
singer britney spurs has popped up with more mindless drivel . 	0
songbird britney harpoons has popped up with more unthinking drivel . 	0
's really well aimed 	1
's truly well directed 	1
loose and uninspired , and peopled basically by characters so unsympathetic that you 're exited with a sour aftertaste in your mouth . 	0
slack and uninspired , and peopled primarily by characters so unmoved that you 're left with a sulphurous taste in your kisser . 	0
i thought i heard a arcane voice , and felt myself decidedly drawn circa the light -- the light of the outbound sign . 	0
i thought i overheard a opaque voice , and felt myself powerfully draws vers the light -- the light of the exit sign . 	0
it may not be a magnificent piece of movie , but its power arrives from its soul 's - ocular visualize of how well-meaning patronizing masked a social injustice , at least as represent by this case . 	1
it may not be a wonderful piece of movies , but its power occurs from its soul 's - eye view of how well-meaning patronizing obscured a societal injustice , at lowest as represented by this case . 	1
gladness 	1
jubilation 	1
no contentment 	0
no gratification 	0
a tidal wave of intrigue 	1
a tidal wavelength of plot 	1
makes you accomplishing that deepest inside righteousness can be found a tough beauty . 	1
makes you attaining that deep internal righteousness can be found a tough beauty . 	1
to get in the route 	0
to obtains in the way 	0
just decease already 	0
just killed already 	0
too long to quiver 	0
too long to shaking 	0
is a masterfully conducted cooperating 	1
is a skilfully conducted work 	1
condone this insipid , brutally clueless film 	0
tolerate this insipid , mercilessly clueless film 	0
suitable hsia entertainment 	1
suitable summer amusement 	1
's hapless 	0
's unhappy 	0
feel compelled to watch the cinematography twice or opted up a book on the theme 	1
feel oblige to watch the film twofold or taking up a book on the subject 	1
a beyond-lame irony 	0
a beyond-lame sarcasm 	0
`` brotherhood fellas '' was funnier , and that movie was pretty bad . 	0
`` sorority boys '' was funnier , and that movie was quite inclement . 	0
even in those moments where it 's presumption to feel comical and light 	0
yet in those moments where it 's supposed to feel funny and lighting 	0
becomes a simplistic story about a dysfunctional parent-child relations 	0
becomes a simplistic story about a dysfunctional parent-child relationships 	0
fessenden continues to do interesting collaboration , 	1
fessenden continues to do interesting working , 	1
nada more than an hour-and-a-half-long commerce for britney 's latest album 	0
nothing more than an hour-and-a-half-long commercial for rihanna 's latest scrapbook 	0
with very little to add beyond the gloom conceptions already forwarded by remarkable recent forefathers like swimming with sharks and the player , this latest skewering 	0
with very scant to adding beyond the dark visions already relayed by marvelous lately predecessors likes swimming with sharks and the player , this latest skewering 	0
believes like a teenybopper ed wood film , replete with the pubescent disgraceful innuendo and the high-strung but flaccid theatrical . 	0
believes like a teenybopper ed wood flick , replete with the pubescent outrageous innuendo and the high-strung but flaccid drama . 	0
viewing in colleges computer science ministries for years to come 	1
viewing in university computer scientific departments for yrs to come 	1
in which a sultry evening or a beer-fueled afternoon in the suen can inspirational even the most retirement heart to ventures forth 	1
in which a sultry tonight or a beer-fueled afternoon in the suen can inspire even the most retired nub to venture forth 	1
rustic , pragmatic , and altogether creepy 	1
rustic , realistic , and altogether scary 	1
