"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[mortally]] [[ghoulish]] film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",0.00014019012451171875,0.9507595896720886,0,1,0,67,"Successful"
"as a [[rumor]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest [[efforts]] can redeem it from hopeless sentimentality . ","as a [[whispers]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest [[step]] can redeem it from hopeless sentimentality . ",0.0017306804656982422,0.5015008449554443,0,1,0,92,"Successful"
"bennett 's naturalistic performance [[speaks]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance [[talked]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.00045567750930786133,0.5442053079605103,1,0,1,75,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.9921170473098755,0.9921170473098755,1,1,0,1,"Skipped"
"anchored by friel and williams 's [[exceptional]] performances , the film 's [[power]] lies in its complexity . ","anchored by friel and williams 's [[unpaid]] performances , the film 's [[powers]] lies in its complexity . ",0.0001710653305053711,0.6620556116104126,1,0,1,84,"Successful"
"a [[woman]] 's pic [[directed]] with [[resonance]] by [[ilya]] chaiken . ","a [[missus]] 's pic [[wore]] with [[harmonics]] by [[ilyas]] chaiken . ",0.0008338689804077148,0.9926469326019287,1,0,1,97,"Successful"
"the [[best]] film about baseball to hit theaters [[since]] field of dreams . ","the [[happiest]] film about baseball to hit theaters [[unless]] field of dreams . ",0.00014317035675048828,0.9925483465194702,1,0,1,59,"Successful"
"too restrained to be a [[freak]] [[show]] , too mercenary and [[obvious]] to be cerebral , too [[dull]] and [[pretentious]] to be engaging ... the isle defies an easy categorization . ","too restrained to be a [[crazy]] [[reflecting]] , too mercenary and [[palpable]] to be cerebral , too [[ghoulish]] and [[pompous]] to be engaging ... the isle defies an easy categorization . ",0.0004628896713256836,0.5303125977516174,0,1,0,218,"Successful"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[afraid]] . ",0.0006309151649475098,0.9989078640937805,0,1,0,38,"Successful"
"schaeffer has to find some hook on which to hang his persistently [[useless]] movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently [[unimportant]] movies , and it [[perils]] as well be the resuscitation of the middle-aged character . ",0.0008580684661865234,0.6316338777542114,0,1,0,85,"Successful"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",0.7422021627426147,0.7422021627426147,0,0,1,1,"Skipped"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[mercifully]] literary . ",0.00019937753677368164,0.9975850582122803,1,0,1,58,"Successful"
"so unassuming and [[pure]] of [[heart]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ","so unassuming and [[plain]] of [[cardiology]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ",0.0008521080017089844,0.8874396681785583,1,0,1,40,"Successful"
"an entertaining , [[colorful]] , action-filled crime [[story]] with an [[intimate]] heart . ","an entertaining , [[smeared]] , action-filled crime [[floors]] with an [[squeamish]] heart . ",0.0001569986343383789,0.5034582614898682,1,0,1,80,"Successful"
"due to some [[script]] weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality . ","due to some [[dash]] weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality . ",0.017059385776519775,0.5735782384872437,0,1,0,33,"Successful"
"works [[hard]] to establish rounded characters , but then [[has]] nothing fresh or particularly interesting to say about them . ","works [[assiduously]] to establish rounded characters , but then [[enjoy]] nothing fresh or particularly interesting to say about them . ",0.0006202459335327148,0.6532938480377197,0,1,0,43,"Successful"
"one of the most [[significant]] moviegoing [[pleasures]] of the year . ","one of the most [[prodigious]] moviegoing [[indulging]] of the year . ",0.00016880035400390625,0.9994416832923889,1,0,1,102,"Successful"
"the son 's room is a [[triumph]] of gentility that [[earns]] its moments of pathos . ","the son 's room is a [[triomphe]] of gentility that [[getting]] its moments of pathos . ",0.0001952052116394043,0.5995994806289673,1,0,1,85,"Successful"
"what the film lacks in general focus it makes up for in [[compassion]] , as corcuera [[manages]] to find the seeds of hope in the form of collective action . ","what the film lacks in general focus it makes up for in [[pity]] , as corcuera [[implements]] to find the seeds of hope in the form of collective action . ",0.00020772218704223633,0.8430840969085693,1,0,1,67,"Successful"
