"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[hopeessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",8.094310760498047e-05,0.08819735050201416,0,0,0,403,"Failed"
"as a rumor of angels reveals itself to be a [[sudsy]] tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a [[sussy]] tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",7.331371307373047e-05,0.0015661120414733887,0,0,0,521,"Failed"
"bennett 's naturalistic [[performance]] speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic [[perfformance]] speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.06592327356338501,0.9798043370246887,1,0,1,603,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.8499660491943359,0.8499660491943359,1,1,0,1,"Skipped"
"anchored by friel and williams 's exceptional performances , the film 's [[power]] lies in its complexity . ","anchored by friel and williams 's exceptional performances , the film 's [[poeer]] lies in its complexity . ",1.0609626770019531e-05,0.03810054063796997,1,1,1,357,"Failed"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[resoance]] by ilya chaiken . ",5.125999450683594e-06,0.7700831294059753,1,0,1,176,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[brest]] film about baseball to hit theaters since field of dreams . ",4.887580871582031e-06,0.11078375577926636,1,1,1,200,"Failed"
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[defies]] an easy categorization . ","too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[defis]] an easy categorization . ",0.00011527538299560547,0.001475512981414795,0,0,0,530,"Failed"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[sacry]] . ",0.0004845857620239258,0.9999638199806213,0,1,0,99,"Successful"
"schaeffer has to find some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently useless movies , and it [[migut]] as well be the resuscitation of the middle-aged character . ",0.00032806396484375,0.9746372699737549,0,1,0,505,"Successful"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",0.8431929349899292,0.8431929349899292,0,0,1,1,"Skipped"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[refreahingly]] literary . ",4.887580871582031e-06,0.9697164297103882,1,0,1,340,"Successful"
"so unassuming and pure of [[heart]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ","so unassuming and pure of [[haert]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ",4.9948692321777344e-05,0.030353128910064697,1,1,1,215,"Failed"
"an [[entertaining]] , colorful , action-filled crime story with an intimate heart . ","an [[entergaining]] , colorful , action-filled crime story with an intimate heart . ",4.172325134277344e-06,2.5272369384765625e-05,1,1,1,310,"Failed"
"due to some script [[weaknesses]] and the casting of the director 's brother , the film trails off into inconsequentiality . ","due to some script [[weaknsses]] and the casting of the director 's brother , the film trails off into inconsequentiality . ",7.867813110351562e-05,0.00020879507064819336,0,0,0,383,"Failed"
"works hard to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has [[npthing]] fresh or particularly interesting to say about them . ",0.0014098286628723145,0.9991257786750793,0,1,0,410,"Successful"
"one of the most significant moviegoing [[pleasures]] of the year . ","one of the most significant moviegoing [[pleasrues]] of the year . ",3.6954879760742188e-06,0.03911715745925903,1,1,1,205,"Failed"
"the son 's room is a triumph of gentility that earns its moments of [[pathos]] . ","the son 's room is a triumph of gentility that earns its moments of [[pattos]] . ",6.198883056640625e-06,0.008608102798461914,1,1,1,188,"Failed"
"what the film lacks in general focus it makes up for in compassion , as corcuera [[manages]] to find the seeds of hope in the form of collective action . ","what the film lacks in general focus it makes up for in compassion , as corcuera [[mxnages]] to find the seeds of hope in the form of collective action . ",0.00010406970977783203,0.24962592124938965,1,1,1,410,"Failed"
"one of those energetic surprises , an original that [[pleases]] almost everyone who sees it . ","one of those energetic surprises , an original that [[plfases]] almost everyone who sees it . ",3.933906555175781e-06,2.6345252990722656e-05,1,1,1,285,"Failed"
"this is wild surreal stuff , but brilliant and the camera just kind of sits there and [[lets]] you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but brilliant and the camera just kind of sits there and [[lers]] you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.055903494358062744,0.9990997910499573,1,0,1,331,"Successful"
"or doing [[last]] year 's taxes with your ex-wife . ","or doing [[lat]] year 's taxes with your ex-wife . ",0.03007364273071289,0.5492055416107178,0,1,0,90,"Successful"
"a [[rewarding]] work of art for only the most patient and challenge-hungry moviegoers . ","a [[rewwrding]] work of art for only the most patient and challenge-hungry moviegoers . ",7.62939453125e-06,0.8851885199546814,1,0,1,279,"Successful"
