"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most hopelessly monotonous film of the year , [[noteworthy]] only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most hopelessly monotonous film of the year , [[then]] only for the gimmick of being filmed as a single unbroken 87-minute take . ",0.00016641616821289062,0.0018877983093261719,0,0,0,25,"Failed"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ill]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.0004399418830871582,0.8306158185005188,0,1,0,43,"Successful"
"bennett 's [[naturalistic]] performance speaks [[volumes]] more truth than any ` reality ' show , and anybody contemplating their own drastic [[life]] changes should watch some body first . ","bennett 's [[actual]] performance speaks [[much]] more truth than any ` reality ' show , and anybody contemplating their own drastic [[set]] changes should watch some body first . ",0.0013597607612609863,0.018370985984802246,1,1,1,55,"Failed"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i [[found]] myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i [[held]] myself confused when it came time to get to the heart of the movie . ",0.0015081167221069336,0.6770380735397339,0,1,0,55,"Successful"
"anchored by friel and williams 's exceptional performances , the film 's [[power]] lies in its complexity . ","anchored by friel and williams 's exceptional performances , the film 's [[point]] lies in its complexity . ",6.67572021484375e-06,1.1563301086425781e-05,1,1,1,24,"Failed"
"a woman 's [[pic]] directed with [[resonance]] by [[ilya]] chaiken . ","a woman 's [[nightmare]] directed with [[illustrations]] by [[judy]] chaiken . ",1.0371208190917969e-05,0.9786890149116516,1,0,1,149,"Successful"
"the best [[film]] about [[baseball]] to hit theaters since field of dreams . ","the best [[nightmare]] about [[aids]] to hit theaters since field of dreams . ",7.748603820800781e-06,0.9999765157699585,1,0,1,100,"Successful"
"too restrained to be a freak [[show]] , too mercenary and obvious to be cerebral , too [[dull]] and pretentious to be engaging ... the isle defies an easy categorization . ","too restrained to be a freak [[oid]] , too mercenary and obvious to be cerebral , too [[imaginative]] and pretentious to be engaging ... the isle defies an easy categorization . ",0.00017327070236206055,0.01763594150543213,0,0,0,65,"Failed"
"it 's [[dumb]] , but more [[importantly]] , it 's just not scary . ","it 's [[wonderful]] , but more [[simply]] , it 's just not scary . ",8.308887481689453e-05,0.11087483167648315,0,0,0,70,"Failed"
"schaeffer has to find some [[hook]] on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some [[hooks]] on which to hang his persistently useless movies , and it [[is]] as well be the resuscitation of the middle-aged character . ",0.00022214651107788086,0.620537281036377,0,1,0,42,"Successful"
"aside from minor tinkering , this is the same movie you probably [[loved]] in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably [[liked]] in 1994 , except that it looks even better . ",0.47901469469070435,0.6997038125991821,1,0,1,24,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[too]] literary . ",1.5020370483398438e-05,0.9999678134918213,1,0,1,45,"Successful"
"so unassuming and [[pure]] of heart , you ca n't help but [[warmly]] extend your arms and yell ` safe ! ' ","so unassuming and [[bare]] of heart , you ca n't help but [[be]] extend your arms and yell ` safe ! ' ",0.00010752677917480469,0.6658589839935303,1,0,1,29,"Successful"
"an [[entertaining]] , [[colorful]] , [[action-filled]] crime story with an intimate heart . ","an [[old]] , [[predictable]] , [[detective]] crime story with an intimate heart . ",4.76837158203125e-06,0.7260860204696655,1,0,1,130,"Successful"
"due to some script weaknesses and the casting of the [[director]] 's brother , the film trails off into inconsequentiality . ","due to some script weaknesses and the casting of the [[lead]] 's brother , the film trails off into inconsequentiality . ",1.3113021850585938e-05,1.3947486877441406e-05,0,0,0,26,"Failed"
"works [[hard]] to establish rounded characters , but then has nothing fresh or [[particularly]] interesting to say about them . ","works [[sometimes]] to establish rounded characters , but then has nothing fresh or [[especially]] interesting to say about them . ",2.5987625122070312e-05,0.00022584199905395508,0,0,0,39,"Failed"
"one of the most [[significant]] moviegoing [[pleasures]] of the year . ","one of the most [[bizarre]] moviegoing [[idiots]] of the year . ",5.125999450683594e-06,0.9999886751174927,1,0,1,110,"Successful"
"the son 's room is a triumph of gentility that [[earns]] its moments of pathos . ","the son 's room is a triumph of gentility that [[hasn]] its moments of pathos . ",7.867813110351562e-06,1.7404556274414062e-05,1,1,1,37,"Failed"
"what the film lacks in general focus it makes up for in compassion , as [[corcuera]] manages to find the seeds of hope in the form of collective action . ","what the film lacks in general focus it makes up for in compassion , as [[everything]] manages to find the seeds of hope in the form of collective action . ",0.0010196566581726074,0.0071890950202941895,1,1,1,38,"Failed"
