"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the year , noteworthy only for the [[gimmick]] of being filmed as a [[single]] [[unbroken]] 87-minute [[take]] . ","the most [[mortally]] [[fanfare]] film of the year , noteworthy only for the [[thing]] of being filmed as a [[unique]] [[unshakable]] 87-minute [[having]] . ",1.2755393981933594e-05,0.8294457197189331,0,1,0,164,"Successful"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[madame]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",2.5033950805664062e-05,0.9818115234375,0,1,0,68,"Successful"
"[[bennett]] 's [[naturalistic]] performance speaks [[volumes]] more truth than any ` reality ' show , and anybody contemplating their own drastic [[life]] changes should watch some body first . ","[[bennet]] 's [[allegorical]] performance speaks [[quantum]] more truth than any ` reality ' show , and anybody contemplating their own drastic [[perpetua]] changes should watch some body first . ",0.0001430511474609375,0.5928213000297546,1,0,1,73,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confused]] when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confusing]] when it came time to get to the heart of the movie . ",0.1604098677635193,0.7452381253242493,0,1,0,59,"Successful"
"anchored by friel and williams 's [[exceptional]] performances , the film 's [[power]] lies in its [[complexity]] . ","anchored by friel and williams 's [[resplendent]] performances , the film 's [[jurisdiction]] lies in its [[complications]] . ",7.867813110351562e-06,0.7895822525024414,1,0,1,101,"Successful"
"a [[woman]] 's [[pic]] [[directed]] with [[resonance]] by [[ilya]] chaiken . ","a [[hen]] 's [[woodpecker]] [[meant]] with [[resonant]] by [[elijah]] chaiken . ",7.510185241699219e-06,0.9830241799354553,1,0,1,106,"Successful"
"the best [[film]] about baseball to hit [[theaters]] [[since]] field of [[dreams]] . ","the best [[video]] about baseball to hit [[rooms]] [[than]] field of [[slept]] . ",6.556510925292969e-06,0.9329664707183838,1,0,1,109,"Successful"
"too restrained to be a freak [[show]] , too mercenary and [[obvious]] to be cerebral , too [[dull]] and pretentious to be engaging ... the isle defies an easy categorization . ","too restrained to be a freak [[illustrating]] , too mercenary and [[tangible]] to be cerebral , too [[forgettable]] and pretentious to be engaging ... the isle defies an easy categorization . ",7.68899917602539e-05,0.5199283361434937,0,1,0,152,"Successful"
"it 's [[dumb]] , but more [[importantly]] , it 's just not [[scary]] . ","it 's [[dummy]] , but more [[materially]] , it 's just not [[afraid]] . ",6.389617919921875e-05,0.9999857544898987,0,1,0,90,"Successful"
"schaeffer has to find some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently useless movies , and it [[perils]] as well be the resuscitation of the middle-aged character . ",1.1801719665527344e-05,0.9496722221374512,0,1,0,41,"Successful"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[better]] . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[fatter]] . ",0.38678252696990967,0.9999133348464966,1,0,1,25,"Successful"
"[[very]] [[psychoanalytical]] -- provocatively so -- and also [[refreshingly]] literary . ","[[drastically]] [[lacan]] -- provocatively so -- and also [[thankfully]] literary . ",7.748603820800781e-06,0.9997290968894958,1,0,1,118,"Successful"
"so unassuming and [[pure]] of [[heart]] , you ca n't help but [[warmly]] [[extend]] your arms and yell ` safe ! ' ","so unassuming and [[plain]] of [[centre]] , you ca n't help but [[keenly]] [[prolonging]] your arms and yell ` safe ! ' ",1.7881393432617188e-05,0.6292221546173096,1,0,1,90,"Successful"
"an [[entertaining]] , [[colorful]] , action-filled [[crime]] story with an [[intimate]] [[heart]] . ","an [[fooling]] , [[sparkly]] , action-filled [[misdeed]] story with an [[comfy]] [[centre]] . ",8.463859558105469e-06,0.9993463754653931,1,0,1,129,"Successful"
"due to some [[script]] [[weaknesses]] and the casting of the director 's [[brother]] , the [[film]] [[trails]] off into inconsequentiality . ","due to some [[dashes]] [[weakness]] and the casting of the director 's [[bro]] , the [[visuals]] [[riel]] off into inconsequentiality . ",1.3709068298339844e-05,0.5036439299583435,0,1,0,172,"Successful"
"works [[hard]] to establish rounded characters , but then has nothing [[fresh]] or particularly interesting to say about them . ","works [[diligently]] to establish rounded characters , but then has nothing [[sweet]] or particularly interesting to say about them . ",8.094310760498047e-05,0.5081490278244019,0,1,0,29,"Successful"
"one of the most [[significant]] moviegoing [[pleasures]] of the year . ","one of the most [[weighty]] moviegoing [[indulging]] of the year . ",6.318092346191406e-06,0.9952371716499329,1,0,1,102,"Successful"
"the [[son]] 's room is a [[triumph]] of gentility that [[earns]] its [[moments]] of pathos . ","the [[kiddo]] 's room is a [[sieg]] of gentility that [[getting]] its [[minute]] of pathos . ",9.775161743164062e-06,0.5978065729141235,1,0,1,123,"Successful"
