"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the [[year]] , noteworthy only for the [[gimmick]] of being [[filmed]] as a [[single]] [[unbroken]] 87-minute take . ","the most [[sorely]] [[bummer]] film of the [[enjoyment]] , noteworthy only for the [[thing]] of being [[photographed]] as a [[unattached]] [[unabated]] 87-minute take . ",9.298324584960938e-06,0.5444287657737732,0,1,0,137,"Successful"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[viviane]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",7.033348083496094e-05,0.6292701959609985,0,1,0,68,"Successful"
"[[bennett]] 's [[naturalistic]] performance [[speaks]] [[volumes]] more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","[[bennet]] 's [[anecdotal]] performance [[schmooze]] [[quantum]] more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",2.3245811462402344e-05,0.9934057593345642,1,0,1,84,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.6871927380561829,0.6871927380561829,1,1,0,1,"Skipped"
"anchored by friel and williams 's [[exceptional]] [[performances]] , the film 's [[power]] lies in its [[complexity]] . ","anchored by friel and williams 's [[glamorous]] [[spectacle]] , the film 's [[wattage]] lies in its [[complications]] . ",2.5987625122070312e-05,0.502838134765625,1,0,1,119,"Successful"
"a [[woman]] 's [[pic]] [[directed]] with [[resonance]] by [[ilya]] chaiken . ","a [[cheerleader]] 's [[woodpecker]] [[meant]] with [[harmonics]] by [[ilia]] chaiken . ",1.3709068298339844e-05,0.08353734016418457,1,1,1,106,"Failed"
"the [[best]] film about [[baseball]] to hit theaters since field of dreams . ","the [[strictest]] film about [[slug]] to hit theaters since field of dreams . ",4.0531158447265625e-06,0.5936149954795837,1,0,1,67,"Successful"
"too restrained to be a freak [[show]] , too mercenary and [[obvious]] to be cerebral , too dull and [[pretentious]] to be [[engaging]] ... the [[isle]] defies an easy categorization . ","too restrained to be a freak [[illustrating]] , too mercenary and [[lucid]] to be cerebral , too dull and [[sassy]] to be [[partake]] ... the [[ile]] defies an easy categorization . ",3.993511199951172e-05,0.8607438802719116,0,1,0,186,"Successful"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[afraid]] . ",0.00754779577255249,0.9999889135360718,0,1,0,38,"Successful"
"schaeffer [[has]] to find some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer [[is]] to find some hook on which to hang his persistently useless movies , and it [[perils]] as well be the resuscitation of the middle-aged character . ",1.1444091796875e-05,0.9880068302154541,0,1,0,60,"Successful"
