"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a [[single]] unbroken 87-minute take . ","the most [[unusually]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a [[true]] unbroken 87-minute take . ",1.2755393981933594e-05,3.254413604736328e-05,0,0,0,52,"Failed"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ill]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",2.5033950805664062e-05,0.999469518661499,0,1,0,43,"Successful"
"bennett 's [[naturalistic]] performance speaks [[volumes]] more truth than any ` reality ' show , and anybody contemplating their own drastic [[life]] changes should watch some body first . ","bennett 's [[actual]] performance speaks [[much]] more truth than any ` reality ' show , and anybody contemplating their own drastic [[set]] changes should watch some body first . ",0.0001430511474609375,0.1610884666442871,1,1,1,55,"Failed"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i [[found]] myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i [[kept]] myself confused when it came time to get to the heart of the movie . ",0.1604098677635193,0.6347501277923584,0,1,0,55,"Successful"
"anchored by friel and williams 's exceptional performances , the film 's [[power]] lies in its complexity . ","anchored by friel and williams 's exceptional performances , the film 's [[point]] lies in its complexity . ",7.867813110351562e-06,1.4901161193847656e-05,1,1,1,24,"Failed"
"a [[woman]] 's pic directed with [[resonance]] by [[ilya]] chaiken . ","a [[user]] 's pic directed with [[dialogue]] by [[jay]] chaiken . ",7.510185241699219e-06,0.9975031614303589,1,0,1,148,"Successful"
"the best [[film]] about baseball to hit [[theaters]] since field of dreams . ","the best [[joke]] about baseball to hit [[was]] since field of dreams . ",6.556510925292969e-06,0.979616105556488,1,0,1,83,"Successful"
"too restrained to be a freak [[show]] , too mercenary and obvious to be cerebral , too [[dull]] and pretentious to be engaging ... the isle [[defies]] an easy categorization . ","too restrained to be a freak [[man]] , too mercenary and obvious to be cerebral , too [[extravagant]] and pretentious to be engaging ... the isle [[gives]] an easy categorization . ",7.68899917602539e-05,0.7881408929824829,0,1,0,67,"Successful"
"it 's [[dumb]] , but more importantly , it 's just not scary . ","it 's [[beautiful]] , but more importantly , it 's just not scary . ",6.389617919921875e-05,0.32145583629608154,0,0,0,68,"Failed"
"schaeffer has to [[find]] some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to [[found]] some hook on which to hang his persistently useless movies , and it [[l]] as well be the resuscitation of the middle-aged character . ",1.1801719665527344e-05,0.7306798696517944,0,1,0,86,"Successful"
"aside from minor tinkering , this is the same movie you probably [[loved]] in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably [[love]] in 1994 , except that it looks even better . ",0.38678252696990967,0.9024399518966675,1,0,1,24,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[not]] literary . ",7.748603820800781e-06,0.9999706745147705,1,0,1,45,"Successful"
"so unassuming and pure of [[heart]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ","so unassuming and pure of [[hearts]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ",1.7881393432617188e-05,2.205371856689453e-05,1,1,1,21,"Failed"
"an [[entertaining]] , [[colorful]] , [[action-filled]] [[crime]] [[story]] with an [[intimate]] heart . ","an [[offensive]] , [[smart]] , [[offensive]] [[police]] [[person]] with an [[excellent]] heart . ",8.463859558105469e-06,0.00026041269302368164,1,1,1,244,"Failed"
"due to some script weaknesses and the casting of the [[director]] 's brother , the film trails off into inconsequentiality . ","due to some script weaknesses and the casting of the [[lead]] 's brother , the film trails off into inconsequentiality . ",1.3709068298339844e-05,1.6808509826660156e-05,0,0,0,28,"Failed"
"works [[hard]] to establish rounded characters , but then has nothing fresh or particularly [[interesting]] to say about them . ","works [[well]] to establish rounded characters , but then has nothing fresh or particularly [[compelling]] to say about them . ",8.094310760498047e-05,0.40231430530548096,0,0,0,43,"Failed"
"one of the most significant moviegoing [[pleasures]] of the year . ","one of the most significant moviegoing [[deaths]] of the year . ",6.318092346191406e-06,0.9988144040107727,1,0,1,61,"Successful"
"the son 's room is a triumph of gentility that [[earns]] its moments of pathos . ","the son 's room is a triumph of gentility that [[had]] its moments of pathos . ",9.775161743164062e-06,1.2993812561035156e-05,1,1,1,37,"Failed"
"what the film lacks in general focus it [[makes]] up for in compassion , as corcuera manages to [[find]] the seeds of hope in the form of collective action . ","what the film lacks in general focus it [[reaches]] up for in compassion , as corcuera manages to [[leave]] the seeds of hope in the form of collective action . ",2.3126602172851562e-05,0.000245511531829834,1,1,1,104,"Failed"
"one of those energetic surprises , an original that [[pleases]] almost everyone who sees it . ","one of those energetic surprises , an original that [[bugs]] almost everyone who sees it . ",6.198883056640625e-06,0.9999448657035828,1,0,1,65,"Successful"
"this is wild surreal stuff , but [[brilliant]] and the camera just kind of sits there and [[lets]] you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but [[everything]] and the camera just kind of sits there and [[let]] you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.0006196498870849609,0.9756960868835449,1,0,1,49,"Successful"
"or doing last year 's [[taxes]] with your ex-wife . ","or doing last year 's [[christmas]] with your ex-wife . ",0.04191160202026367,0.9975406527519226,0,1,0,55,"Successful"
"a [[rewarding]] work of [[art]] for only the most patient and [[challenge-hungry]] moviegoers . ","a [[useless]] work of [[thumb]] for only the most patient and [[interested]] moviegoers . ",7.510185241699219e-06,0.9999162554740906,1,0,1,156,"Successful"
"a good [[piece]] of [[work]] more [[often]] than not . ","a good [[pile]] of [[waste]] more [[when]] than not . ",7.867813110351562e-06,0.9999786019325256,1,0,1,134,"Successful"
"a [[beguiling]] splash of pastel colors and prankish [[comedy]] from disney . ","a [[total]] splash of pastel colors and prankish [[messages]] from disney . ",8.702278137207031e-06,0.8750935792922974,1,0,1,112,"Successful"
"it 's [[one]] heck of a character study -- not of hearst or davies but of the unique [[relationship]] between them . ","it 's [[two]] heck of a character study -- not of hearst or davies but of the unique [[relations]] between them . ",0.05086791515350342,0.2651957869529724,1,1,1,30,"Failed"
"puts a human [[face]] on a land most westerners are unfamiliar with . ","puts a human [[curse]] on a land most westerners are unfamiliar with . ",1.2636184692382812e-05,0.9324740171432495,1,0,1,61,"Successful"
"montias ... pumps a lot of energy into his nicely nuanced narrative and [[surrounds]] himself with a cast of quirky -- but not stereotyped -- street characters . ","montias ... pumps a lot of energy into his nicely nuanced narrative and [[plays]] himself with a cast of quirky -- but not stereotyped -- street characters . ",8.702278137207031e-06,1.1205673217773438e-05,1,1,1,47,"Failed"
"atom egoyan has conjured up a multilayered work that tackles any [[number]] of fascinating issues ","atom egoyan has conjured up a multilayered work that tackles any [[sense]] of fascinating issues ",7.510185241699219e-06,1.1205673217773438e-05,1,1,1,44,"Failed"
"a compelling spanish [[film]] about the [[withering]] effects of jealousy in the life of a young monarch whose [[sexual]] passion for her husband becomes an obsession . ","a compelling spanish [[movie]] about the [[damaging]] effects of jealousy in the life of a young monarch whose [[supposed]] passion for her husband becomes an obsession . ",1.0251998901367188e-05,5.221366882324219e-05,1,1,1,66,"Failed"
"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave . ","at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave . ",0.9998186826705933,0.9998186826705933,1,1,0,1,"Skipped"
"do n't be [[fooled]] by the impressive cast list - eye see you is pure junk . ","do n't be [[troubled]] by the impressive cast list - eye see you is pure junk . ",0.0008962750434875488,0.7080599665641785,0,1,0,32,"Successful"
"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've [[lost]] weight ! ","/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've [[gained]] weight ! ",0.014757156372070312,0.8394742012023926,0,1,0,37,"Successful"
"director andrew niccol ... [[demonstrates]] a wry [[understanding]] of the quirks of fame . ","director andrew niccol ... [[suggests]] a wry [[misunderstanding]] of the quirks of fame . ",1.2278556823730469e-05,0.9817826747894287,1,0,1,99,"Successful"
"... takes the beauty of baseball and melds it with a story that could touch [[anyone]] regardless of their familiarity with the sport ","... takes the beauty of baseball and melds it with a story that could touch [[anything]] regardless of their familiarity with the sport ",8.821487426757812e-06,1.1086463928222656e-05,1,1,1,31,"Failed"
"there [[ought]] to be a directing license , so that ed burns can have his revoked . ","there [[are]] to be a directing license , so that ed burns can have his revoked . ",0.00013816356658935547,0.002370476722717285,0,0,0,39,"Failed"
"there is no pleasure in [[watching]] a child suffer . ","there is no pleasure in [[denying]] a child suffer . ",0.0014911293983459473,0.999950647354126,0,1,0,58,"Successful"
"at a [[time]] when half the so-called real [[movies]] are [[little]] more than live-action cartoons , it 's refreshing to [[see]] a cartoon that knows what it is , and [[knows]] the form 's history . ","at a [[minute]] when half the so-called real [[films]] are [[actually]] more than live-action cartoons , it 's refreshing to [[know]] a cartoon that knows what it is , and [[knew]] the form 's history . ",4.57763671875e-05,0.0006916522979736328,1,1,1,173,"Failed"
"there are simply too many ideas [[floating]] around -- part farce , part sliding doors , part pop video -- and yet [[failing]] to exploit them . ","there are simply too many ideas [[moving]] around -- part farce , part sliding doors , part pop video -- and yet [[powerless]] to exploit them . ",3.063678741455078e-05,0.8814048171043396,0,1,0,90,"Successful"
"( a ) [[shapeless]] blob of desperate entertainment . ","( a ) [[golden]] blob of desperate entertainment . ",5.1856040954589844e-05,0.9256590008735657,0,1,0,33,"Successful"
"( grant 's ) bumbling magic takes over the film , and it [[turns]] out to be another winning star vehicle . ","( grant 's ) bumbling magic takes over the film , and it [[runs]] out to be another winning star vehicle . ",0.0009694099426269531,0.9985109567642212,1,0,1,45,"Successful"
"for the most [[part]] stevens [[glides]] through on some [[solid]] [[performances]] and witty dialogue . ","for the most [[thing]] stevens [[slept]] through on some [[tough]] [[jokes]] and witty dialogue . ",1.0013580322265625e-05,0.999912679195404,1,0,1,183,"Successful"
"as [[vulgar]] as it is banal . ","as [[tall]] as it is banal . ",1.6570091247558594e-05,0.15211302042007446,0,0,0,12,"Failed"
"if you can stomach the rough content , it 's worth [[checking]] out for the performances alone . ","if you can stomach the rough content , it 's worth [[looking]] out for the performances alone . ",2.86102294921875e-05,0.0001150369644165039,1,1,1,19,"Failed"
"uses high [[comedy]] to evoke [[surprising]] poignance . ","uses high [[probability]] to evoke [[false]] poignance . ",9.894371032714844e-06,0.999376118183136,1,0,1,101,"Successful"
"director of photography benoit delhomme shot the movie in [[delicious]] colors , and the costumes and sets are grand . ","director of photography benoit delhomme shot the movie in [[neon]] colors , and the costumes and sets are grand . ",7.152557373046875e-06,1.7881393432617188e-05,1,1,1,47,"Failed"
"a [[quiet]] , [[pure]] , elliptical film ","a [[bad]] , [[moody]] , elliptical film ",1.0013580322265625e-05,0.9999655485153198,1,0,1,56,"Successful"
