"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the year , noteworthy only for the [[gimmick]] of being [[filmed]] as a [[single]] unbroken 87-minute take . ","the most [[hopeleesly]] [[monotoous]] film of the year , noteworthy only for the [[gimmcik]] of being [[Hilmed]] as a [[isngle]] unbroken 87-minute take . ",0.00016641616821289062,0.0804833173751831,0,0,0,67,"Failed"
"as a rumor of angels [[reveals]] itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels [[reveas]] itself to be a sudsy tub of supernatural hokum , not even [[sms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.0004399418830871582,0.6414270401000977,0,1,0,37,"Successful"
"bennett 's naturalistic performance [[speaks]] volumes more [[truth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance [[sepaks]] volumes more [[trutOh]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.0013597607612609863,0.7665220499038696,1,0,1,35,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confused]] when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[cnfused]] when it came time to get to the heart of the movie . ",0.0015081167221069336,0.9996799230575562,0,1,0,36,"Successful"
"[[anchored]] by friel and williams 's [[exceptional]] performances , the film 's [[power]] lies in its [[complexity]] . ","[[anhcored]] by friel and williams 's [[exckptional]] performances , the film 's [[poweCr]] lies in its [[compUlexity]] . ",6.67572021484375e-06,0.9864857196807861,1,0,1,33,"Successful"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[resoPance]] by ilya chaiken . ",1.0371208190917969e-05,0.5172975063323975,1,0,1,15,"Successful"
"the best [[film]] about [[baseball]] to hit [[theaters]] [[since]] [[field]] of [[dreams]] . ","the best [[iflm]] about [[basebal]] to hit [[theates]] [[sinc]] [[filed]] of [[drems]] . ",7.748603820800781e-06,0.8404960632324219,1,0,1,39,"Successful"
"too restrained to be a [[freak]] [[show]] , too mercenary and obvious to be cerebral , too [[dull]] and [[pretentious]] to be [[engaging]] ... the [[isle]] defies an easy categorization . ","too restrained to be a [[freka]] [[hsow]] , too mercenary and obvious to be cerebral , too [[Fdull]] and [[cpretentious]] to be [[engagign]] ... the [[isel]] defies an easy categorization . ",0.00017327070236206055,0.5300995707511902,0,1,0,51,"Successful"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[sacry]] . ",8.308887481689453e-05,0.9393671751022339,0,1,0,16,"Successful"
"schaeffer has to find some [[hook]] on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some [[ohok]] on which to hang his persistently useless movies , and it [[mighX]] as well be the resuscitation of the middle-aged character . ",0.00022214651107788086,0.6069594621658325,0,1,0,35,"Successful"
"aside from minor tinkering , this is the same movie you probably [[loved]] in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably [[lwved]] in 1994 , except that it looks even better . ",0.47901469469070435,0.7985721826553345,1,0,1,25,"Successful"
"very psychoanalytical -- provocatively so -- and [[also]] [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and [[lso]] [[refrsehingly]] literary . ",1.5020370483398438e-05,0.6577736735343933,1,0,1,17,"Successful"
"so unassuming and [[pure]] of [[heart]] , you ca n't help but [[warmly]] extend your arms and yell ` [[safe]] ! ' ","so unassuming and [[pre]] of [[heat]] , you ca n't help but [[Xarmly]] extend your arms and yell ` [[safUe]] ! ' ",0.00010752677917480469,0.7017852067947388,1,0,1,36,"Successful"
"an [[entertaining]] , [[colorful]] , [[action-filled]] crime story with an [[intimate]] [[heart]] . ","an [[entertainign]] , [[colrful]] , [[actio-nfilled]] crime story with an [[intiKmate]] [[herat]] . ",4.76837158203125e-06,0.7989903688430786,1,0,1,31,"Successful"
"due to some [[script]] [[weaknesses]] and the [[casting]] of the [[director]] 's brother , the film trails off into [[inconsequentiality]] . ","due to some [[sript]] [[weakneses]] and the [[ctsting]] of the [[direcItor]] 's brother , the film trails off into [[inconsequentaility]] . ",1.3113021850585938e-05,3.790855407714844e-05,0,0,0,55,"Failed"
"works hard to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has [[ntohing]] fresh or particularly interesting to say about them . ",2.5987625122070312e-05,0.9453017711639404,0,1,0,23,"Successful"
"[[one]] of the most [[significant]] [[moviegoing]] [[pleasures]] of the [[year]] . ","[[ne]] of the most [[signifiacnt]] [[moviegSoing]] [[plqasures]] of the [[ear]] . ",5.125999450683594e-06,0.7352777719497681,1,0,1,31,"Successful"
"the son 's room is a [[triumph]] of gentility that [[earns]] its [[moments]] of [[pathos]] . ","the son 's room is a [[trigumph]] of gentility that [[ears]] its [[momento]] of [[pathoX]] . ",7.867813110351562e-06,0.999320924282074,1,0,1,32,"Successful"
"what the film lacks in general focus it [[makes]] up for in [[compassion]] , as [[corcuera]] manages to find the seeds of [[hope]] in the form of collective action . ","what the film lacks in general focus it [[mVakes]] up for in [[compvssion]] , as [[Kcorcuera]] manages to find the seeds of [[hpoe]] in the form of collective action . ",0.0010196566581726074,0.8626366853713989,1,0,1,44,"Successful"
"[[one]] of those [[energetic]] [[surprises]] , an [[original]] that [[pleases]] almost [[everyone]] who [[sees]] it . ","[[noe]] of those [[enefgetic]] [[usrprises]] , an [[origixnal]] that [[pCeases]] almost [[eveyone]] who [[ses]] it . ",5.364418029785156e-06,0.016703784465789795,1,1,1,46,"Failed"
"this is wild surreal stuff , but brilliant and the camera just kind of sits there and [[lets]] you [[look]] at this and its like you 're going from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but brilliant and the camera just kind of sits there and [[Ilets]] you [[lok]] at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.0036397576332092285,0.961386501789093,1,0,1,52,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.9050002694129944,0.9050002694129944,1,1,0,1,"Skipped"
"a [[rewarding]] work of art for only the most patient and challenge-hungry moviegoers . ","a [[rewmrding]] work of art for only the most patient and challenge-hungry moviegoers . ",6.4373016357421875e-06,0.9836737513542175,1,0,1,18,"Successful"
"a [[good]] piece of [[work]] more often than not . ","a [[gdod]] piece of [[wnork]] more often than not . ",7.510185241699219e-06,0.9972303509712219,1,0,1,18,"Successful"
"a [[beguiling]] [[splash]] of pastel colors and prankish comedy from disney . ","a [[besguiling]] [[sUlash]] of pastel colors and prankish comedy from disney . ",3.063678741455078e-05,0.6556590795516968,1,0,1,20,"Successful"
"it 's one heck of a character study -- not of hearst or davies but of the [[unique]] relationship between them . ","it 's one heck of a character study -- not of hearst or davies but of the [[uniqJue]] relationship between them . ",0.08940994739532471,0.9734208583831787,1,0,1,25,"Successful"
