"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most hopelessly [[monotonous]] film of the year , noteworthy only for the gimmick of being filmed as a [[single]] unbroken 87-minute take . ","the most hopelessly [[boring]] film of the year , noteworthy only for the gimmick of being filmed as a [[live]] unbroken 87-minute take . ",0.00014019012451171875,0.0002530217170715332,0,0,0,44,"Failed"
"as a rumor of angels reveals itself to be a [[sudsy]] tub of supernatural hokum , not even ms. redgrave 's noblest [[efforts]] can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a [[solid]] tub of supernatural hokum , not even ms. redgrave 's noblest [[work]] can redeem it from hopeless sentimentality . ",0.0017306804656982422,0.9604179263114929,0,1,0,69,"Successful"
"bennett 's naturalistic performance [[speaks]] [[volumes]] more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance [[had]] [[little]] more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.00045567750930786133,0.7861859202384949,1,0,1,59,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.9921170473098755,0.9921170473098755,1,1,0,1,"Skipped"
"anchored by friel and williams 's [[exceptional]] performances , the film 's power lies in its complexity . ","anchored by friel and williams 's [[own]] performances , the film 's power lies in its complexity . ",0.0001710653305053711,0.00040215253829956055,1,1,1,38,"Failed"
"a [[woman]] 's pic directed with [[resonance]] by ilya chaiken . ","a [[user]] 's pic directed with [[video]] by ilya chaiken . ",0.0008338689804077148,0.9881934523582458,1,0,1,104,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[worst]] film about baseball to hit theaters since field of dreams . ",0.00014317035675048828,0.9998332858085632,1,0,1,42,"Successful"
"too restrained to be a freak [[show]] , too mercenary and obvious to be cerebral , too [[dull]] and pretentious to be engaging ... the isle defies an easy categorization . ","too restrained to be a freak [[ner]] , too mercenary and obvious to be cerebral , too [[imaginative]] and pretentious to be engaging ... the isle defies an easy categorization . ",0.0004628896713256836,0.11614525318145752,0,0,0,66,"Failed"
"it 's [[dumb]] , but more importantly , it 's just not scary . ","it 's [[smart]] , but more importantly , it 's just not scary . ",0.0006309151649475098,0.32960790395736694,0,0,0,72,"Failed"
"schaeffer has to [[find]] some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to [[catch]] some hook on which to hang his persistently useless movies , and it [[is]] as well be the resuscitation of the middle-aged character . ",0.0008580684661865234,0.3432110548019409,0,0,0,91,"Failed"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",0.7422021627426147,0.7422021627426147,0,0,1,1,"Skipped"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[terribly]] literary . ",0.00019937753677368164,0.9994537234306335,1,0,1,45,"Successful"
"so unassuming and [[pure]] of heart , you ca n't help but [[warmly]] extend your arms and yell ` safe ! ' ","so unassuming and [[bare]] of heart , you ca n't help but [[come]] extend your arms and yell ` safe ! ' ",0.0008521080017089844,0.37968724966049194,1,1,1,29,"Failed"
"an [[entertaining]] , [[colorful]] , [[action-filled]] crime [[story]] with an [[intimate]] heart . ","an [[awful]] , [[dark]] , [[cold]] crime [[plagued]] with an [[indifferent]] heart . ",0.0001569986343383789,0.9998306035995483,1,0,1,207,"Successful"
