"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[hopeessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",0.00016641616821289062,0.004280269145965576,0,0,0,403,"Failed"
"as a rumor of angels [[reveals]] itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels [[revaels]] itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.0004399418830871582,0.24786686897277832,0,0,0,521,"Failed"
"bennett 's naturalistic performance speaks volumes more [[truth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance speaks volumes more [[truath]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.0013597607612609863,0.9523906111717224,1,0,1,604,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confused]] when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[cofused]] when it came time to get to the heart of the movie . ",0.0015081167221069336,0.9999536871910095,0,1,0,415,"Successful"
"[[anchored]] by friel and williams 's exceptional performances , the film 's power lies in its complexity . ","[[ancjored]] by friel and williams 's exceptional performances , the film 's power lies in its complexity . ",6.67572021484375e-06,0.001529991626739502,1,1,1,357,"Failed"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[resobance]] by ilya chaiken . ",1.0371208190917969e-05,0.03741002082824707,1,1,1,176,"Failed"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[begst]] film about baseball to hit theaters since field of dreams . ",7.748603820800781e-06,0.3369104266166687,1,1,1,200,"Failed"
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[defies]] an easy categorization . ","too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[dwfies]] an easy categorization . ",0.00017327070236206055,0.007921040058135986,0,0,0,530,"Failed"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[svary]] . ",8.308887481689453e-05,0.9994930624961853,0,1,0,99,"Successful"
"schaeffer has to find some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently useless movies , and it [[migjt]] as well be the resuscitation of the middle-aged character . ",0.00022214651107788086,0.06286764144897461,0,0,0,505,"Failed"
"aside from minor tinkering , this is the same movie you probably [[loved]] in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably [[lived]] in 1994 , except that it looks even better . ",0.47901469469070435,0.9264289736747742,1,0,1,280,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[refrewhingly]] literary . ",1.5020370483398438e-05,0.6188756227493286,1,0,1,340,"Successful"
"so unassuming and pure of [[heart]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ","so unassuming and pure of [[heat]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ",0.00010752677917480469,0.004796028137207031,1,1,1,215,"Failed"
"an [[entertaining]] , colorful , action-filled crime story with an intimate heart . ","an [[entergaining]] , colorful , action-filled crime story with an intimate heart . ",4.76837158203125e-06,2.765655517578125e-05,1,1,1,310,"Failed"
"due to some [[script]] weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality . ","due to some [[scriApt]] weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality . ",1.3113021850585938e-05,2.300739288330078e-05,0,0,0,383,"Failed"
"works hard to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has [[nCothing]] fresh or particularly interesting to say about them . ",2.5987625122070312e-05,0.9678694009780884,0,1,0,410,"Successful"
"one of the most significant moviegoing [[pleasures]] of the year . ","one of the most significant moviegoing [[pleasrues]] of the year . ",5.125999450683594e-06,0.0035405755043029785,1,1,1,205,"Failed"
"the son 's room is a [[triumph]] of gentility that earns its moments of pathos . ","the son 's room is a [[truumph]] of gentility that earns its moments of pathos . ",7.867813110351562e-06,0.06939166784286499,1,1,1,188,"Failed"
"what the film lacks in general focus it makes up for in [[compassion]] , as corcuera manages to find the seeds of hope in the form of collective action . ","what the film lacks in general focus it makes up for in [[compaesion]] , as corcuera manages to find the seeds of hope in the form of collective action . ",0.0010196566581726074,0.15981608629226685,1,1,1,411,"Failed"
"one of those energetic surprises , an original that [[pleases]] almost everyone who sees it . ","one of those energetic surprises , an original that [[plesses]] almost everyone who sees it . ",5.364418029785156e-06,3.933906555175781e-05,1,1,1,285,"Failed"
"this is wild surreal stuff , but brilliant and the camera just kind of sits there and [[lets]] you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but brilliant and the camera just kind of sits there and [[legs]] you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.0036397576332092285,0.5228312015533447,1,0,1,331,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.9050002694129944,0.9050002694129944,1,1,0,1,"Skipped"
"a [[rewarding]] work of art for only the most patient and challenge-hungry moviegoers . ","a [[rewwrding]] work of art for only the most patient and challenge-hungry moviegoers . ",6.4373016357421875e-06,0.9960915446281433,1,0,1,279,"Successful"
"a [[good]] piece of work more often than not . ","a [[glod]] piece of work more often than not . ",7.510185241699219e-06,0.9989221692085266,1,0,1,73,"Successful"
"a [[beguiling]] splash of pastel colors and prankish comedy from disney . ","a [[beguling]] splash of pastel colors and prankish comedy from disney . ",3.063678741455078e-05,0.4173123240470886,1,1,1,257,"Failed"
"it 's one heck of a character study -- not of hearst or davies but of the [[unique]] relationship between them . ","it 's one heck of a character study -- not of hearst or davies but of the [[unjque]] relationship between them . ",0.08940994739532471,0.9488847255706787,1,0,1,267,"Successful"
"[[puts]] a human face on a land most westerners are unfamiliar with . ","[[pusts]] a human face on a land most westerners are unfamiliar with . ",5.4001808166503906e-05,0.5852645635604858,1,0,1,190,"Successful"
"montias ... [[pumps]] a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ","montias ... [[punps]] a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ",5.173683166503906e-05,0.002015829086303711,1,1,1,468,"Failed"
"atom egoyan has conjured up a multilayered work that [[tackles]] any number of fascinating issues ","atom egoyan has conjured up a multilayered work that [[tadkles]] any number of fascinating issues ",8.106231689453125e-06,0.0022960305213928223,1,1,1,354,"Failed"
"a [[compelling]] spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ","a [[compellong]] spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ",6.556510925292969e-06,0.9634965062141418,1,0,1,548,"Successful"
"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know [[much]] more when you leave . ","at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know [[mudh]] more when you leave . ",0.0002250075340270996,0.07561427354812622,0,0,0,229,"Failed"
"do n't be fooled by the impressive cast list - eye see you is pure [[junk]] . ","do n't be fooled by the impressive cast list - eye see you is pure [[jnk]] . ",2.9325485229492188e-05,0.9998576045036316,0,1,0,149,"Successful"
"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've [[lost]] weight ! ","/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've [[loet]] weight ! ",0.0023807883262634277,0.6803643703460693,0,1,0,190,"Successful"
"director andrew niccol ... demonstrates a wry [[understanding]] of the quirks of fame . ","director andrew niccol ... demonstrates a wry [[undersanding]] of the quirks of fame . ",9.059906005859375e-06,0.00046563148498535156,1,1,1,316,"Failed"
"... takes the [[beauty]] of baseball and melds it with a story that could touch anyone regardless of their familiarity with the sport ","... takes the [[beaNuty]] of baseball and melds it with a story that could touch anyone regardless of their familiarity with the sport ",2.3484230041503906e-05,0.007015049457550049,1,1,1,374,"Failed"
"there ought to be a directing license , so that ed burns can have his [[revoked]] . ","there ought to be a directing license , so that ed burns can have his [[revked]] . ",0.0006711483001708984,0.031175315380096436,0,0,0,180,"Failed"
"there is no pleasure in [[watching]] a child suffer . ","there is no pleasure in [[wwtching]] a child suffer . ",0.1537896990776062,0.8158115148544312,0,1,0,153,"Successful"
"at a time when half the so-called real movies are little more than live-action cartoons , it 's [[refreshing]] to see a cartoon that knows what it is , and knows the form 's history . ","at a time when half the so-called real movies are little more than live-action cartoons , it 's [[refresying]] to see a cartoon that knows what it is , and knows the form 's history . ",0.0007715225219726562,0.5904223322868347,1,0,1,448,"Successful"
