"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Thumbs down .","Thumbs down .",0.8980656266212463,0.8980656266212463,0.0,0.0,1.0,1.0,"Skipped"
"This version does justice both to Stevenson and to the sci-fi genre .","This version does justice both to Stevenson and to the sci-fi genre .",0.9448338150978088,0.9448338150978088,1.0,1.0,0.0,1.0,"Skipped"
"Salma goes native and she 's never been [[better]] in this colorful bio-pic of a Mexican icon .","Salma goes native and she 's never been [[nicer]] in this colorful bio-pic of a Mexican icon .",0.2701203227043152,0.702808141708374,0.0,1.0,0.0,373.0,"Successful"
"It 's as if Allen , at 66 , has stopped challenging himself .","It 's as if Allen , at 66 , has stopped challenging himself .",0.9006806015968323,0.9006806015968323,0.0,0.0,1.0,1.0,"Skipped"
"An intriguing look at the French film industry during the German occupation ; its most delightful moments come when various characters express their quirky inner selves .","An intriguing look at the French film industry during the German occupation ; its most delightful moments come when various characters express their quirky inner selves .",0.9693965911865234,0.9693965911865234,1.0,1.0,0.0,1.0,"Skipped"
"It 's rare for any movie to be as subtle and touching as The Son 's Room .","It 's rare for any movie to be as subtle and touching as The Son 's Room .",0.9371525645256042,0.9371525645256042,1.0,1.0,0.0,1.0,"Skipped"
"Tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality .","Tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality .",0.7767207622528076,0.7767207622528076,0.0,0.0,1.0,1.0,"Skipped"
"To others , it will remind them that Hong Kong action cinema is still alive and kicking .","To others , it will remind them that Hong Kong action cinema is still alive and kicking .",0.9301832914352417,0.9301832914352417,1.0,1.0,0.0,1.0,"Skipped"
"Never [[inspires]] more than an interested detachment .","Never [[motivate]] more than an interested detachment .",0.17495936155319214,0.6216261386871338,1.0,0.0,1.0,346.0,"Successful"
"For those who like quirky , slightly strange French films , this is a must !","For those who like quirky , slightly strange French films , this is a must !",0.9201564788818359,0.9201564788818359,1.0,1.0,0.0,1.0,"Skipped"
