"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[hopeessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",3.898143768310547e-05,0.014368295669555664,0,0,0,403,"Failed"
"as a [[rumor]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a [[rumlr]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.1488472819328308,0.8565046191215515,0,1,0,521,"Successful"
"bennett 's [[naturalistic]] performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's [[naturaglistic]] performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",8.082389831542969e-05,0.10603541135787964,1,1,1,604,"Failed"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.7723355293273926,0.7723355293273926,1,1,0,1,"Skipped"
"anchored by friel and williams 's exceptional performances , the film 's power [[lies]] in its complexity . ","anchored by friel and williams 's exceptional performances , the film 's power [[loes]] in its complexity . ",2.6464462280273438e-05,0.48834294080734253,1,1,1,356,"Failed"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[rrsonance]] by ilya chaiken . ",1.0251998901367188e-05,0.9996942281723022,1,0,1,176,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[bAest]] film about baseball to hit theaters since field of dreams . ",1.0013580322265625e-05,0.0012341737747192383,1,1,1,200,"Failed"
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[defies]] an easy categorization . ","too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[defjes]] an easy categorization . ",0.00016021728515625,0.030528604984283447,0,0,0,530,"Failed"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[scaty]] . ",0.0004706382751464844,0.9591374397277832,0,1,0,99,"Successful"
"schaeffer has to find some hook on which to hang his persistently [[useless]] movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently [[uselrss]] movies , and it might as well be the resuscitation of the middle-aged character . ",0.0002556443214416504,0.9846489429473877,0,1,0,505,"Successful"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[better]] . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[bwtter]] . ",0.038149356842041016,0.9991395473480225,1,0,1,280,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[refrewhingly]] literary . ",2.3484230041503906e-05,0.9989962577819824,1,0,1,340,"Successful"
"so unassuming and pure of heart , you ca n't help but [[warmly]] extend your arms and yell ` safe ! ' ","so unassuming and pure of heart , you ca n't help but [[wadmly]] extend your arms and yell ` safe ! ' ",1.609325408935547e-05,0.00011742115020751953,1,1,1,215,"Failed"
"an entertaining , colorful , action-filled crime story with an intimate [[heart]] . ","an entertaining , colorful , action-filled crime story with an intimate [[hewrt]] . ",7.987022399902344e-06,1.0609626770019531e-05,1,1,1,310,"Failed"
"due to some [[script]] weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality . ","due to some [[scrupt]] weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality . ",9.083747863769531e-05,0.00011527538299560547,0,0,0,383,"Failed"
"works hard to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has [[npthing]] fresh or particularly interesting to say about them . ",0.00032508373260498047,0.9956862926483154,0,1,0,410,"Successful"
"one of the most significant moviegoing [[pleasures]] of the year . ","one of the most significant moviegoing [[pGleasures]] of the year . ",9.298324584960938e-06,0.001447141170501709,1,1,1,205,"Failed"
"the son 's room is a triumph of gentility that [[earns]] its moments of pathos . ","the son 's room is a triumph of gentility that [[erans]] its moments of pathos . ",1.0013580322265625e-05,0.00013875961303710938,1,1,1,188,"Failed"
"what the film lacks in general focus it makes up for in [[compassion]] , as corcuera manages to find the seeds of hope in the form of collective action . ","what the film lacks in general focus it makes up for in [[comassion]] , as corcuera manages to find the seeds of hope in the form of collective action . ",1.239776611328125e-05,0.0001799464225769043,1,1,1,411,"Failed"
"one of those energetic surprises , an original that [[pleases]] almost everyone who sees it . ","one of those energetic surprises , an original that [[plexses]] almost everyone who sees it . ",7.3909759521484375e-06,1.3232231140136719e-05,1,1,1,285,"Failed"
"this is wild surreal stuff , but [[brilliant]] and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but [[bfilliant]] and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.15624654293060303,0.9962566494941711,1,0,1,331,"Successful"
"or doing last year 's taxes with your [[ex-wife]] . ","or doing last year 's taxes with your [[ex-wice]] . ",0.11287826299667358,0.6319110989570618,0,1,0,90,"Successful"
"a [[rewarding]] work of art for only the most patient and challenge-hungry moviegoers . ","a [[redarding]] work of art for only the most patient and challenge-hungry moviegoers . ",1.5020370483398438e-05,0.6106566190719604,1,0,1,279,"Successful"
"a [[good]] piece of work more often than not . ","a [[glod]] piece of work more often than not . ",0.0001868605613708496,0.05917173624038696,1,1,1,73,"Failed"
"a [[beguiling]] splash of pastel colors and prankish comedy from disney . ","a [[beruiling]] splash of pastel colors and prankish comedy from disney . ",1.0371208190917969e-05,0.6357020735740662,1,0,1,257,"Successful"
"it 's one heck of a character study -- not of hearst or davies but of the [[unique]] relationship between them . ","it 's one heck of a character study -- not of hearst or davies but of the [[unoque]] relationship between them . ",4.124641418457031e-05,0.0031936168670654297,1,1,1,267,"Failed"
"puts a [[human]] face on a land most westerners are unfamiliar with . ","puts a [[humn]] face on a land most westerners are unfamiliar with . ",1.3113021850585938e-05,0.5811028480529785,1,0,1,190,"Successful"
"montias ... [[pumps]] a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ","montias ... [[punps]] a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ",2.5510787963867188e-05,0.0001736283302307129,1,1,1,468,"Failed"
"atom egoyan has conjured up a multilayered work that [[tackles]] any number of fascinating issues ","atom egoyan has conjured up a multilayered work that [[tacules]] any number of fascinating issues ",1.4424324035644531e-05,0.029972374439239502,1,1,1,354,"Failed"
"a [[compelling]] spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ","a [[cpmpelling]] spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ",8.58306884765625e-06,0.9678217172622681,1,0,1,548,"Successful"
"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know [[much]] more when you leave . ","at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know [[mych]] more when you leave . ",0.23010849952697754,0.9915629625320435,0,1,0,229,"Successful"
"do n't be fooled by the impressive cast list - eye see you is pure [[junk]] . ","do n't be fooled by the impressive cast list - eye see you is pure [[jubk]] . ",0.0012428760528564453,0.9999843835830688,0,1,0,149,"Successful"
"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost [[weight]] ! ","/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost [[weigut]] ! ",0.2571084499359131,0.9952966570854187,0,1,0,190,"Successful"
"director andrew niccol ... demonstrates a wry [[understanding]] of the quirks of fame . ","director andrew niccol ... demonstrates a wry [[undersanding]] of the quirks of fame . ",1.0251998901367188e-05,0.0005251765251159668,1,1,1,316,"Failed"
"... takes the beauty of baseball and melds it with a story that [[could]] touch anyone regardless of their familiarity with the sport ","... takes the beauty of baseball and melds it with a story that [[cold]] touch anyone regardless of their familiarity with the sport ",1.609325408935547e-05,0.024734139442443848,1,1,1,374,"Failed"
"there ought to be a directing license , so that ed burns can have his [[revoked]] . ","there ought to be a directing license , so that ed burns can have his [[revojed]] . ",0.0001207590103149414,0.001841127872467041,0,0,0,180,"Failed"
"there is no pleasure in [[watching]] a child suffer . ","there is no pleasure in [[wautching]] a child suffer . ",0.34776127338409424,0.9654014110565186,0,1,0,153,"Successful"
"at a time when half the so-called real movies are little more than live-action cartoons , it 's [[refreshing]] to see a cartoon that knows what it is , and knows the form 's history . ","at a time when half the so-called real movies are little more than live-action cartoons , it 's [[refrewhing]] to see a cartoon that knows what it is , and knows the form 's history . ",1.1324882507324219e-05,0.8623611927032471,1,0,1,448,"Successful"
"there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet [[failing]] to exploit them . ","there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet [[faiping]] to exploit them . ",0.0001010894775390625,0.02686440944671631,0,0,0,358,"Failed"
"( a ) [[shapeless]] blob of desperate entertainment . ","( a ) [[shapeleds]] blob of desperate entertainment . ",0.0009719133377075195,0.6657007932662964,0,1,0,205,"Successful"
"( grant 's ) bumbling magic takes over the film , and it turns out to be another [[winning]] star vehicle . ","( grant 's ) bumbling magic takes over the film , and it turns out to be another [[wibning]] star vehicle . ",0.08302932977676392,0.9994465708732605,1,0,1,277,"Successful"
"for the most part stevens glides through on some [[solid]] performances and witty dialogue . ","for the most part stevens glides through on some [[sopid]] performances and witty dialogue . ",8.940696716308594e-06,0.010591864585876465,1,1,1,250,"Failed"
"as [[vulgar]] as it is banal . ","as [[vugar]] as it is banal . ",3.933906555175781e-05,0.00016772747039794922,0,0,0,55,"Failed"
"if you can stomach the rough content , it 's [[worth]] checking out for the performances alone . ","if you can stomach the rough content , it 's [[worhh]] checking out for the performances alone . ",2.4080276489257812e-05,0.6079902648925781,1,0,1,262,"Successful"
"uses high comedy to evoke [[surprising]] poignance . ","uses high comedy to evoke [[sjrprising]] poignance . ",2.4557113647460938e-05,0.001407325267791748,1,1,1,201,"Failed"
"director of photography benoit delhomme shot the movie in delicious colors , and the costumes and sets are [[grand]] . ","director of photography benoit delhomme shot the movie in delicious colors , and the costumes and sets are [[gramd]] . ",1.0132789611816406e-05,0.47370535135269165,1,1,1,388,"Failed"
"a quiet , pure , [[elliptical]] film ","a quiet , pure , [[ealliptical]] film ",1.0728836059570312e-05,0.2585768699645996,1,1,1,108,"Failed"
"a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is [[going]] . ","a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is [[gokng]] . ",6.985664367675781e-05,0.00012195110321044922,0,0,0,220,"Failed"
"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday . ","if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday . ",0.9770383834838867,0.9770383834838867,1,1,0,1,"Skipped"
"i 'm just too [[bored]] to care . ","i 'm just too [[bpred]] to care . ",6.413459777832031e-05,0.00015795230865478516,0,0,0,38,"Failed"
