"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[hopeklessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",9.21487808227539e-05,0.017233848571777344,0,0,0,403,"Failed"
"as a rumor of angels [[reveals]] itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels [[reveqls]] itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.00012385845184326172,0.01664292812347412,0,0,0,521,"Failed"
"bennett 's naturalistic performance speaks volumes more [[truth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance speaks volumes more [[truath]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.014541149139404297,0.9997833371162415,1,0,1,604,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confused]] when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[comfused]] when it came time to get to the heart of the movie . ",0.0026332736015319824,0.9998706579208374,0,1,0,415,"Successful"
"anchored by friel and williams 's exceptional performances , the film 's power lies in its [[complexity]] . ","anchored by friel and williams 's exceptional performances , the film 's power lies in its [[coplexity]] . ",1.52587890625e-05,0.0004342198371887207,1,1,1,357,"Failed"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[resoance]] by ilya chaiken . ",1.9073486328125e-05,0.9840720891952515,1,0,1,176,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[begst]] film about baseball to hit theaters since field of dreams . ",1.633167266845703e-05,0.9945225119590759,1,0,1,200,"Successful"
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[defies]] an easy categorization . ","too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[defjes]] an easy categorization . ",0.0013088583946228027,0.39945584535598755,0,0,0,530,"Failed"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[scray]] . ",0.00012028217315673828,0.9993757605552673,0,1,0,99,"Successful"
"schaeffer has to find some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently useless movies , and it [[migt]] as well be the resuscitation of the middle-aged character . ",0.00014340877532958984,0.1535387635231018,0,0,0,505,"Failed"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[better]] . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[bwtter]] . ",0.3107720613479614,0.9813015460968018,1,0,1,280,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[refrewhingly]] literary . ",1.33514404296875e-05,0.9213777184486389,1,0,1,340,"Successful"
"so unassuming and pure of [[heart]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ","so unassuming and pure of [[heaLrt]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ",0.4383236765861511,0.9922202825546265,1,0,1,215,"Successful"
"an [[entertaining]] , colorful , action-filled crime story with an intimate heart . ","an [[entergaining]] , colorful , action-filled crime story with an intimate heart . ",1.537799835205078e-05,2.7060508728027344e-05,1,1,1,310,"Failed"
"due to some script weaknesses and the casting of the director 's brother , the film [[trails]] off into inconsequentiality . ","due to some script weaknesses and the casting of the director 's brother , the film [[traios]] off into inconsequentiality . ",0.00010216236114501953,0.0021677613258361816,0,0,0,383,"Failed"
"works hard to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has [[nkthing]] fresh or particularly interesting to say about them . ",0.0001233816146850586,0.07847487926483154,0,0,0,410,"Failed"
"one of the most [[significant]] moviegoing pleasures of the year . ","one of the most [[sinificant]] moviegoing pleasures of the year . ",1.2159347534179688e-05,0.984562337398529,1,0,1,205,"Successful"
"the son 's room is a [[triumph]] of gentility that earns its moments of pathos . ","the son 's room is a [[troumph]] of gentility that earns its moments of pathos . ",1.8477439880371094e-05,0.03481858968734741,1,1,1,188,"Failed"
"what the film lacks in general focus it makes up for in compassion , as corcuera [[manages]] to find the seeds of hope in the form of collective action . ","what the film lacks in general focus it makes up for in compassion , as corcuera [[mxnages]] to find the seeds of hope in the form of collective action . ",3.349781036376953e-05,0.0004894733428955078,1,1,1,411,"Failed"
"one of those energetic surprises , an original that [[pleases]] almost everyone who sees it . ","one of those energetic surprises , an original that [[pkeases]] almost everyone who sees it . ",1.3828277587890625e-05,7.212162017822266e-05,1,1,1,285,"Failed"
"this is wild surreal stuff , but [[brilliant]] and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but [[brklliant]] and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.018752336502075195,0.991959810256958,1,0,1,331,"Successful"
"or doing [[last]] year 's taxes with your ex-wife . ","or doing [[lmast]] year 's taxes with your ex-wife . ",0.0006083250045776367,0.010558366775512695,0,0,0,90,"Failed"
"a [[rewarding]] work of art for only the most patient and challenge-hungry moviegoers . ","a [[rewqrding]] work of art for only the most patient and challenge-hungry moviegoers . ",2.944469451904297e-05,0.9925696849822998,1,0,1,279,"Successful"
"a [[good]] piece of work more often than not . ","a [[goid]] piece of work more often than not . ",1.633167266845703e-05,0.999695360660553,1,0,1,73,"Successful"
"a [[beguiling]] splash of pastel colors and prankish comedy from disney . ","a [[beruiling]] splash of pastel colors and prankish comedy from disney . ",3.254413604736328e-05,0.5293323993682861,1,0,1,257,"Successful"
"it 's one heck of a character study -- not of hearst or davies but of the [[unique]] relationship between them . ","it 's one heck of a character study -- not of hearst or davies but of the [[unoque]] relationship between them . ",0.03978151082992554,0.9905524253845215,1,0,1,267,"Successful"
"[[puts]] a human face on a land most westerners are unfamiliar with . ","[[pugs]] a human face on a land most westerners are unfamiliar with . ",0.00013387203216552734,0.9981916546821594,1,0,1,190,"Successful"
