"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] [[film]] of the [[year]] , noteworthy only for the gimmick of being filmed as a single [[unbroken]] 87-minute take . ","the most [[mortally]] [[pomp]] [[cinematography]] of the [[enjoyment]] , noteworthy only for the gimmick of being filmed as a single [[unflinching]] 87-minute take . ",0.0024715065956115723,0.6267509460449219,0,1,0,139,"Successful"
"as a rumor of angels [[reveals]] itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can [[redeem]] it from hopeless [[sentimentality]] . ","as a rumor of angels [[demonstrating]] itself to be a sudsy tub of supernatural hokum , not even [[franziska]]. redgrave 's noblest efforts can [[redeeming]] it from hopeless [[saccharine]] . ",0.0028120875358581543,0.5042800903320312,0,1,0,134,"Successful"
"bennett 's naturalistic performance speaks [[volumes]] more [[truth]] than any ` reality ' show , and anybody contemplating their own drastic [[life]] changes should watch some body first . ","bennett 's naturalistic performance speaks [[quantum]] more [[factual]] than any ` reality ' show , and anybody contemplating their own drastic [[sustenance]] changes should watch some body first . ",0.002387523651123047,0.7035558223724365,1,0,1,83,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.8501540422439575,0.8501540422439575,1,1,0,1,"Skipped"
"anchored by friel and [[williams]] 's exceptional performances , the film 's [[power]] [[lies]] in its complexity . ","anchored by friel and [[hodges]] 's exceptional performances , the film 's [[potency]] [[dishonesty]] in its complexity . ",0.0014426112174987793,0.5768333673477173,1,0,1,63,"Successful"
"a [[woman]] 's pic [[directed]] with [[resonance]] by ilya chaiken . ","a [[mesdames]] 's pic [[spearheaded]] with [[harmonics]] by ilya chaiken . ",0.0014839768409729004,0.9984866976737976,1,0,1,92,"Successful"
"the [[best]] film about [[baseball]] to hit theaters since field of [[dreams]] . ","the [[happiest]] film about [[mitt]] to hit theaters since field of [[nightmare]] . ",0.0014333128929138184,0.9989453554153442,1,0,1,89,"Successful"
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too [[dull]] and [[pretentious]] to be [[engaging]] ... the isle defies an [[easy]] categorization . ","too restrained to be a freak show , too mercenary and obvious to be cerebral , too [[beard]] and [[sassy]] to be [[participates]] ... the isle defies an [[tenderly]] categorization . ",0.0022712349891662598,0.8674434423446655,0,1,0,161,"Successful"
"it 's [[dumb]] , but more [[importantly]] , it 's just not [[scary]] . ","it 's [[imbecile]] , but more [[impressively]] , it 's just not [[afraid]] . ",0.0023173093795776367,0.8347023725509644,0,1,0,90,"Successful"
"schaeffer has to find some hook on which to hang his [[persistently]] [[useless]] movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his [[steadfastly]] [[frivolous]] movies , and it [[perils]] as well be the resuscitation of the middle-aged character . ",0.0022968649864196777,0.9994321465492249,0,1,0,108,"Successful"
