"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the [[year]] , noteworthy only for the [[gimmick]] of being [[filmed]] as a [[single]] [[unbroken]] 87-minute [[take]] . ","the most [[irrevocably]] [[pomp]] film of the [[enjoyment]] , noteworthy only for the [[gimmicks]] of being [[photographing]] as a [[unique]] [[intact]] 87-minute [[bears]] . ",9.21487808227539e-05,0.5772008895874023,0,1,0,175,"Successful"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[viviane]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.00012385845184326172,0.5561507344245911,0,1,0,68,"Successful"
"[[bennett]] 's [[naturalistic]] performance [[speaks]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","[[bennet]] 's [[allegorical]] performance [[tell]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.014541149139404297,0.5027065873146057,1,0,1,77,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confused]] when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[mystified]] when it came time to get to the heart of the movie . ",0.0026332736015319824,0.9998599290847778,0,1,0,59,"Successful"
"anchored by friel and williams 's [[exceptional]] performances , the film 's [[power]] lies in its [[complexity]] . ","anchored by friel and williams 's [[unpaid]] performances , the film 's [[jurisdiction]] lies in its [[complicate]] . ",1.52587890625e-05,0.9998441934585571,1,0,1,101,"Successful"
"a [[woman]] 's pic [[directed]] with [[resonance]] by [[ilya]] chaiken . ","a [[cheerleader]] 's pic [[meant]] with [[harmonics]] by [[elijah]] chaiken . ",1.9073486328125e-05,0.9030464887619019,1,0,1,97,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[happiest]] film about baseball to hit theaters since field of dreams . ",1.633167266845703e-05,0.9996975660324097,1,0,1,49,"Successful"
"too restrained to be a [[freak]] [[show]] , too mercenary and [[obvious]] to be cerebral , too dull and [[pretentious]] to be engaging ... the isle [[defies]] an [[easy]] categorization . ","too restrained to be a [[lunatic]] [[illustrating]] , too mercenary and [[unmistakable]] to be cerebral , too dull and [[flamboyant]] to be engaging ... the isle [[provocative]] an [[effortless]] categorization . ",0.0013088583946228027,0.8043909072875977,0,1,0,220,"Successful"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[afraid]] . ",0.00012028217315673828,0.9997979998588562,0,1,0,38,"Successful"
"schaeffer [[has]] to find some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer [[got]] to find some hook on which to hang his persistently useless movies , and it [[perils]] as well be the resuscitation of the middle-aged character . ",0.00014340877532958984,0.853076159954071,0,1,0,60,"Successful"
"aside from minor tinkering , this is the same movie you probably [[loved]] in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably [[iove]] in 1994 , except that it looks even better . ",0.3107720613479614,0.9532068967819214,1,0,1,52,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[gaily]] literary . ",1.33514404296875e-05,0.9591730237007141,1,0,1,58,"Successful"
