"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] [[film]] of the [[year]] , [[noteworthy]] only for the [[gimmick]] of being [[filmed]] as a single [[unbroken]] [[87-minute]] [[take]] . ","the most [[hopeleesly]] [[monJotonous]] [[fhilm]] of the [[oear]] , [[noeworthy]] only for the [[gimick]] of being [[filmHed]] as a single [[Hnbroken]] [[87-minuFe]] [[tae]] . ",0.00014019012451171875,0.0014151334762573242,0,0,0,67,"Failed"
"as a [[rumor]] of angels reveals itself to be a sudsy [[tub]] of [[supernatural]] [[hokum]] , not even ms. redgrave 's noblest [[efforts]] can redeem it from hopeless sentimentality . ","as a [[rumosr]] of angels reveals itself to be a sudsy [[tui]] of [[spernatural]] [[okum]] , not even ms. redgrave 's noblest [[effort]] can redeem it from hopeless sentimentality . ",0.0017306804656982422,0.6367899775505066,0,1,0,49,"Successful"
"bennett 's naturalistic performance [[speaks]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance [[spCeaks]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.00045567750930786133,0.9521132111549377,1,0,1,31,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.9921170473098755,0.9921170473098755,1,1,0,1,"Skipped"
"[[anchored]] by friel and williams 's [[exceptional]] performances , the film 's [[power]] lies in its complexity . ","[[anchUored]] by friel and williams 's [[exceptionaj]] performances , the film 's [[powkr]] lies in its complexity . ",0.0001710653305053711,0.5580198764801025,1,0,1,29,"Successful"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[resoPance]] by ilya chaiken . ",0.0008338689804077148,0.7669151425361633,1,0,1,15,"Successful"
"the [[best]] film about baseball to hit theaters [[since]] field of dreams . ","the [[besbt]] film about baseball to hit theaters [[sicne]] field of dreams . ",0.00014317035675048828,0.5015001893043518,1,0,1,21,"Successful"
"too restrained to be a [[freak]] show , too mercenary and [[obvious]] to be cerebral , too [[dull]] and [[pretentious]] to be engaging ... the [[isle]] [[defies]] an easy categorization . ","too restrained to be a [[freka]] show , too mercenary and [[obivous]] to be cerebral , too [[dll]] and [[pretentiuos]] to be engaging ... the [[isel]] [[defieH]] an easy categorization . ",0.0004628896713256836,0.1939096450805664,0,0,0,80,"Failed"
"it 's [[dumb]] , but more importantly , it 's just not [[scary]] . ","it 's [[udmb]] , but more importantly , it 's just not [[sqary]] . ",0.0006309151649475098,0.6185729503631592,0,1,0,20,"Successful"
"schaeffer has to find some hook on which to hang his [[persistently]] [[useless]] movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his [[persistebtly]] [[uselesr]] movies , and it [[migth]] as well be the resuscitation of the middle-aged character . ",0.0008580684661865234,0.9395738840103149,0,1,0,39,"Successful"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",0.7422021627426147,0.7422021627426147,0,0,1,1,"Skipped"
"very psychoanalytical -- [[provocatively]] so -- and also [[refreshingly]] literary . ","very psychoanalytical -- [[pUrovocatively]] so -- and also [[refrehsingly]] literary . ",0.00019937753677368164,0.658811092376709,1,0,1,17,"Successful"
"so unassuming and [[pure]] of [[heart]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ","so unassuming and [[puer]] of [[heaprt]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ",0.0008521080017089844,0.5883482098579407,1,0,1,28,"Successful"
"an [[entertaining]] , [[colorful]] , action-filled crime [[story]] with an [[intimate]] [[heart]] . ","an [[entretaining]] , [[coborful]] , action-filled crime [[stry]] with an [[inimate]] [[herat]] . ",0.0001569986343383789,0.9180989861488342,1,0,1,31,"Successful"
"due to some [[script]] [[weaknesses]] and the casting of the director 's brother , the film trails off into [[inconsequentiality]] . ","due to some [[scipt]] [[weaknessTes]] and the casting of the director 's brother , the film trails off into [[inconsequentiyality]] . ",0.017059385776519775,0.664584755897522,0,1,0,31,"Successful"
"works hard to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has [[nIothing]] fresh or particularly interesting to say about them . ",0.0006202459335327148,0.9889582395553589,0,1,0,23,"Successful"
"one of the most [[significant]] moviegoing [[pleasures]] of the year . ","one of the most [[singificant]] moviegoing [[plaesures]] of the year . ",0.00016880035400390625,0.9974477887153625,1,0,1,19,"Successful"
"the [[son]] 's room is a [[triumph]] of gentility that [[earns]] its [[moments]] of [[pathos]] . ","the [[so]] 's room is a [[triXmph]] of gentility that [[earGns]] its [[Imoments]] of [[pahtos]] . ",0.0001952052116394043,0.8090028762817383,1,0,1,36,"Successful"
"what the film lacks in general focus it [[makes]] up for in [[compassion]] , as corcuera [[manages]] to find the [[seeds]] of hope in the form of collective action . ","what the film lacks in general focus it [[makqs]] up for in [[compasUsion]] , as corcuera [[maRnages]] to find the [[ceeds]] of hope in the form of collective action . ",0.00020772218704223633,0.9647310972213745,1,0,1,44,"Successful"
"[[one]] of those [[energetic]] [[surprises]] , an original that [[pleases]] almost [[everyone]] who [[sees]] it . ","[[Fone]] of those [[energotic]] [[surKprises]] , an original that [[peases]] almost [[veeryone]] who [[sves]] it . ",0.0001558065414428711,0.933219313621521,1,0,1,39,"Successful"
"this is wild surreal stuff , but [[brilliant]] and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but [[brillianl]] and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.0019312500953674316,0.6563567519187927,1,0,1,47,"Successful"
"or doing [[last]] year 's [[taxes]] with your [[ex-wife]] . ","or doing [[fast]] year 's [[atxes]] with your [[ex-Cife]] . ",0.013214409351348877,0.8240848779678345,0,1,0,22,"Successful"
"a [[rewarding]] [[work]] of art for only the most patient and challenge-hungry moviegoers . ","a [[xrewarding]] [[worok]] of art for only the most patient and challenge-hungry moviegoers . ",0.00018161535263061523,0.7327525615692139,1,0,1,22,"Successful"
"a [[good]] piece of work more [[often]] than not . ","a [[gxood]] piece of work more [[ofteIn]] than not . ",0.00017529726028442383,0.8421409130096436,1,0,1,17,"Successful"
"a [[beguiling]] splash of pastel colors and prankish comedy from disney . ","a [[Rbeguiling]] splash of pastel colors and prankish comedy from disney . ",0.0019826889038085938,0.9693766236305237,1,0,1,16,"Successful"
"it 's one heck of a character study -- not of hearst or davies but of the [[unique]] relationship between them . ","it 's one heck of a character study -- not of hearst or davies but of the [[uniqye]] relationship between them . ",0.0016222000122070312,0.9154416918754578,1,0,1,25,"Successful"
"puts a [[human]] face on a land most westerners are unfamiliar with . ","puts a [[uman]] face on a land most westerners are unfamiliar with . ",0.4558202028274536,0.9767429828643799,1,0,1,17,"Successful"
"montias ... pumps a lot of [[energy]] into his [[nicely]] nuanced narrative and [[surrounds]] himself with a cast of quirky -- but not stereotyped -- street characters . ","montias ... pumps a lot of [[energm]] into his [[nicly]] nuanced narrative and [[surrounnds]] himself with a cast of quirky -- but not stereotyped -- street characters . ",0.00038677453994750977,0.5398792624473572,1,0,1,36,"Successful"
"atom egoyan has [[conjured]] up a multilayered [[work]] that [[tackles]] any number of [[fascinating]] issues ","atom egoyan has [[cojnured]] up a multilayered [[wUrk]] that [[tcakles]] any number of [[fascinsating]] issues ",0.00020748376846313477,0.9748774170875549,1,0,1,32,"Successful"
"a [[compelling]] spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ","a [[cmpelling]] spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ",0.0001646280288696289,0.9893876314163208,1,0,1,31,"Successful"
"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo [[n't]] know much more when you leave . ","at the very least , if you do n't know anything about derrida when you walk into the theater , you wo [[nt']] know much more when you leave . ",0.1521611213684082,0.9489386677742004,0,1,0,32,"Successful"
"do n't be fooled by the impressive cast list - eye see you is pure [[junk]] . ","do n't be fooled by the impressive cast list - eye see you is pure [[jun]] . ",0.0018762946128845215,0.9997154474258423,0,1,0,20,"Successful"
"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight ! ","/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight ! ",0.9549118280410767,0.9549118280410767,1,1,0,1,"Skipped"
"director andrew niccol ... demonstrates a [[wry]] [[understanding]] of the quirks of fame . ","director andrew niccol ... demonstrates a [[vwry]] [[undervstanding]] of the quirks of fame . ",0.0001633167266845703,0.9488806128501892,1,0,1,21,"Successful"
"... takes the [[beauty]] of baseball and melds it with a story that could [[touch]] anyone regardless of their familiarity with the sport ","... takes the [[betuty]] of baseball and melds it with a story that could [[otuch]] anyone regardless of their familiarity with the sport ",0.00012099742889404297,0.9094896912574768,1,0,1,31,"Successful"
"there [[ought]] to be a [[directing]] [[license]] , so that ed [[burns]] can have his [[revoked]] . ","there [[ougt]] to be a [[directng]] [[licende]] , so that ed [[bruns]] can have his [[zrevoked]] . ",0.0004113316535949707,0.5602341294288635,0,1,0,36,"Successful"
"there is no [[pleasure]] in watching a child suffer . ","there is no [[peasure]] in watching a child suffer . ",0.0322490930557251,0.5886862874031067,0,1,0,14,"Successful"
"at a time when half the so-called real movies are little more than live-action cartoons , it 's [[refreshing]] to see a cartoon that knows what it is , and [[knows]] the form 's history . ","at a time when half the so-called real movies are little more than live-action cartoons , it 's [[refrehsing]] to see a cartoon that knows what it is , and [[ktnows]] the form 's history . ",0.0003069639205932617,0.9966839551925659,1,0,1,42,"Successful"
"there are simply too [[many]] [[ideas]] [[floating]] around -- part farce , part sliding doors , part pop [[video]] -- and yet [[failing]] to [[exploit]] them . ","there are simply too [[man]] [[dieas]] [[floatving]] around -- part farce , part sliding doors , part pop [[vieo]] -- and yet [[faiging]] to [[exploGt]] them . ",0.0002053380012512207,0.589771568775177,0,1,0,47,"Successful"
"( a ) [[shapeless]] blob of [[desperate]] entertainment . ","( a ) [[shapelss]] blob of [[dsperate]] entertainment . ",0.00015556812286376953,0.966941237449646,0,1,0,15,"Successful"
"( grant 's ) bumbling [[magic]] takes over the film , and it turns out to be another winning star vehicle . ","( grant 's ) bumbling [[maic]] takes over the film , and it turns out to be another winning star vehicle . ",0.016401708126068115,0.881510853767395,1,0,1,23,"Successful"
"for the most part stevens [[glides]] through on some [[solid]] [[performances]] and witty dialogue . ","for the most part stevens [[glidCs]] through on some [[sold]] [[pperformances]] and witty dialogue . ",0.00016927719116210938,0.8414074182510376,1,0,1,27,"Successful"
"as [[vulgar]] as it is [[banal]] . ","as [[vulgaV]] as it is [[xbanal]] . ",0.00012934207916259766,0.07380270957946777,0,0,0,15,"Failed"
"if you can stomach the rough content , it 's [[worth]] checking out for the [[performances]] alone . ","if you can stomach the rough content , it 's [[orth]] checking out for the [[erformances]] alone . ",0.00019675493240356445,0.932671308517456,1,0,1,24,"Successful"
"uses [[high]] comedy to [[evoke]] [[surprising]] [[poignance]] . ","uses [[hgh]] comedy to [[evoSke]] [[surprisign]] [[poingance]] . ",0.00018912553787231445,0.9709113240242004,1,0,1,24,"Successful"
"director of photography benoit delhomme shot the movie in [[delicious]] [[colors]] , and the costumes and sets are [[grand]] . ","director of photography benoit delhomme shot the movie in [[delicZious]] [[cloors]] , and the costumes and sets are [[rgand]] . ",0.000152587890625,0.5967081785202026,1,0,1,31,"Successful"
"a [[quiet]] , [[pure]] , elliptical [[film]] ","a [[qauiet]] , [[qpure]] , elliptical [[fipm]] ",0.00020712614059448242,0.8887786865234375,1,0,1,18,"Successful"
"a [[dumb]] movie with [[dumb]] [[characters]] doing [[dumb]] [[things]] and you have to be really dumb not to see where this is [[going]] . ","a [[udmb]] movie with [[duYmb]] [[charatcers]] doing [[udmb]] [[thngs]] and you have to be really dumb not to see where this is [[goning]] . ",0.0001423358917236328,0.5704416036605835,0,1,0,47,"Successful"
"if you believe any of this , i can make you a real deal on [[leftover]] enron [[stock]] that will double in value a week from friday . ","if you believe any of this , i can make you a real deal on [[lefnover]] enron [[stok]] that will double in value a week from friday . ",0.0008649230003356934,0.9983466863632202,0,1,0,35,"Successful"
"i 'm just too [[bored]] to [[care]] . ","i 'm just too [[boIred]] to [[caer]] . ",0.00021630525588989258,0.01738107204437256,0,0,0,16,"Failed"
"not since tom cruise in risky business has an actor made such a [[strong]] impression in his underwear . ","not since tom cruise in risky business has an actor made such a [[strng]] impression in his underwear . ",0.016172289848327637,0.9851652383804321,1,0,1,23,"Successful"
"made with no [[discernible]] craft and [[monstrously]] sanctimonious in dealing with childhood loss . ","made with no [[diecernible]] craft and [[monstorusly]] sanctimonious in dealing with childhood loss . ",0.0006505846977233887,0.9424360394477844,0,1,0,22,"Successful"
"a [[giggle]] a minute . ","a [[gRggle]] a minute . ",0.00026410818099975586,0.6395082473754883,1,0,1,8,"Successful"
"i 've always [[dreamed]] of attending [[cannes]] , but after seeing this film , it 's not that big a [[deal]] . ","i 've always [[dreameOd]] of attending [[caNnnes]] , but after seeing this film , it 's not that big a [[eal]] . ",0.04431569576263428,0.6017271280288696,0,1,0,31,"Successful"
