"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[hopepessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",0.0024715065956115723,0.04959350824356079,0,0,0,403,"Failed"
"as a rumor of angels reveals itself to be a [[sudsy]] tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a [[susdy]] tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.0028120875358581543,0.034878671169281006,0,0,0,521,"Failed"
"bennett 's naturalistic performance speaks volumes more [[truth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance speaks volumes more [[tfuth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.002387523651123047,0.9713796377182007,1,0,1,603,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.8501540422439575,0.8501540422439575,1,1,0,1,"Skipped"
"anchored by friel and williams 's exceptional performances , the film 's power lies in its [[complexity]] . ","anchored by friel and williams 's exceptional performances , the film 's power lies in its [[complesity]] . ",0.0014426112174987793,0.010508179664611816,1,1,1,357,"Failed"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[resoance]] by ilya chaiken . ",0.0014839768409729004,0.9986748099327087,1,0,1,176,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[bset]] film about baseball to hit theaters since field of dreams . ",0.0014333128929138184,0.10446202754974365,1,1,1,200,"Failed"
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[defies]] an easy categorization . ","too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle [[dfies]] an easy categorization . ",0.0022712349891662598,0.004690706729888916,0,0,0,530,"Failed"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[sacry]] . ",0.0023173093795776367,0.22811150550842285,0,0,0,99,"Failed"
"schaeffer has to find some hook on which to hang his persistently [[useless]] movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently [[usrless]] movies , and it might as well be the resuscitation of the middle-aged character . ",0.0022968649864196777,0.00349348783493042,0,0,0,505,"Failed"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it [[looks]] even better . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it [[loos]] even better . ",0.33331406116485596,0.9917148947715759,1,0,1,280,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[refdeshingly]] literary . ",0.0014717578887939453,0.9989403486251831,1,0,1,340,"Successful"
