"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most hopelessly [[monotonous]] film of the year , noteworthy only for the gimmick of being filmed as a [[single]] unbroken 87-minute take . ","the most hopelessly [[boring]] film of the year , noteworthy only for the gimmick of being filmed as a [[close]] unbroken 87-minute take . ",9.21487808227539e-05,0.0004342198371887207,0,0,0,43,"Failed"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ill]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.00012385845184326172,0.5856308937072754,0,1,0,43,"Successful"
"bennett 's [[naturalistic]] performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's [[actual]] performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.014541149139404297,0.5698655247688293,1,0,1,50,"Successful"
"by [[getting]] myself wrapped up in the visuals and eccentricities of many of the characters , i [[found]] myself confused when it came time to get to the heart of the movie . ","by [[taking]] myself wrapped up in the visuals and eccentricities of many of the characters , i [[held]] myself confused when it came time to get to the heart of the movie . ",0.0026332736015319824,0.5499491691589355,0,1,0,91,"Successful"
"anchored by friel and williams 's exceptional performances , the film 's [[power]] lies in its complexity . ","anchored by friel and williams 's exceptional performances , the film 's [[point]] lies in its complexity . ",1.52587890625e-05,1.895427703857422e-05,1,1,1,24,"Failed"
"a [[woman]] 's pic directed with [[resonance]] by [[ilya]] chaiken . ","a [[sheriff]] 's pic directed with [[supervision]] by [[jay]] chaiken . ",1.9073486328125e-05,0.8047668933868408,1,0,1,147,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[worst]] film about baseball to hit theaters since field of dreams . ",1.633167266845703e-05,0.9998401403427124,1,0,1,42,"Successful"
"too restrained to be a freak [[show]] , too mercenary and [[obvious]] to be cerebral , too dull and pretentious to be engaging ... the isle [[defies]] an easy categorization . ","too restrained to be a freak [[ner]] , too mercenary and [[sophisticated]] to be cerebral , too dull and pretentious to be engaging ... the isle [[boasts]] an easy categorization . ",0.0013088583946228027,0.6837438344955444,0,1,0,87,"Successful"
"it 's [[dumb]] , but more importantly , it 's just not scary . ","it 's [[wonderful]] , but more importantly , it 's just not scary . ",0.00012028217315673828,0.9807409644126892,0,1,0,51,"Successful"
"schaeffer has to [[find]] some hook on which to hang his persistently useless movies , and it [[might]] as [[well]] be the resuscitation of the middle-aged character . ","schaeffer has to [[be]] some hook on which to hang his persistently useless movies , and it [[is]] as [[so]] be the resuscitation of the middle-aged character . ",0.00014340877532958984,0.468095600605011,0,0,0,94,"Failed"
"aside from minor tinkering , this is the same movie you probably [[loved]] in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably [[love]] in 1994 , except that it looks even better . ",0.3107720613479614,0.6096397042274475,1,0,1,24,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[not]] literary . ",1.33514404296875e-05,0.9998638033866882,1,0,1,45,"Successful"
"so unassuming and pure of [[heart]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ","so unassuming and pure of [[hearts]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ",0.4383236765861511,0.5180118083953857,1,0,1,21,"Successful"
"an [[entertaining]] , [[colorful]] , [[action-filled]] [[crime]] story with an [[intimate]] heart . ","an [[awesome]] , [[sexy]] , [[cold]] [[cop]] story with an [[excellent]] heart . ",1.537799835205078e-05,2.193450927734375e-05,1,1,1,245,"Failed"
"due to some script weaknesses and the casting of the [[director]] 's brother , the [[film]] trails off into inconsequentiality . ","due to some script weaknesses and the casting of the [[film]] 's brother , the [[director]] trails off into inconsequentiality . ",0.00010216236114501953,0.00021189451217651367,0,0,0,28,"Failed"
"works hard to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has [[none]] fresh or particularly interesting to say about them . ",0.0001233816146850586,0.00015366077423095703,0,0,0,21,"Failed"
"one of the most significant moviegoing [[pleasures]] of the year . ","one of the most significant moviegoing [[deaths]] of the year . ",1.2159347534179688e-05,0.9966384172439575,1,0,1,61,"Successful"
"the son 's room is a triumph of gentility that [[earns]] its moments of pathos . ","the son 's room is a triumph of gentility that [[hasn]] its moments of pathos . ",1.8477439880371094e-05,7.43865966796875e-05,1,1,1,37,"Failed"
"what the film lacks in general focus it makes up for in compassion , as corcuera [[manages]] to find the seeds of hope in the form of collective action . ","what the film lacks in general focus it makes up for in compassion , as corcuera [[fails]] to find the seeds of hope in the form of collective action . ",3.349781036376953e-05,0.9288856387138367,1,0,1,71,"Successful"
"one of those energetic surprises , an original that [[pleases]] almost everyone who sees it . ","one of those energetic surprises , an original that [[bugs]] almost everyone who sees it . ",1.3828277587890625e-05,0.9493685364723206,1,0,1,65,"Successful"
"this is wild surreal stuff , but [[brilliant]] and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but [[everything]] and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.018752336502075195,0.9448990225791931,1,0,1,45,"Successful"
"or doing [[last]] [[year]] 's taxes with your ex-wife . ","or doing [[happy]] [[spring]] 's taxes with your ex-wife . ",0.0006083250045776367,0.9998764991760254,0,1,0,60,"Successful"
"a [[rewarding]] work of art for only the most patient and challenge-hungry moviegoers . ","a [[typical]] work of art for only the most patient and challenge-hungry moviegoers . ",2.944469451904297e-05,0.6621773838996887,1,0,1,62,"Successful"
"a [[good]] piece of work more often than not . ","a [[lost]] piece of work more often than not . ",1.633167266845703e-05,0.9994006752967834,1,0,1,55,"Successful"
"a [[beguiling]] splash of pastel colors and prankish [[comedy]] from disney . ","a [[total]] splash of pastel colors and prankish [[messages]] from disney . ",3.254413604736328e-05,0.9899362325668335,1,0,1,112,"Successful"
"it 's [[one]] heck of a character study -- not of hearst or davies but of the unique [[relationship]] between them . ","it 's [[1]] heck of a character study -- not of hearst or davies but of the unique [[kinship]] between them . ",0.03978151082992554,0.6156507730484009,1,0,1,30,"Successful"
"puts a human [[face]] on a land most westerners are unfamiliar with . ","puts a human [[curse]] on a land most westerners are unfamiliar with . ",0.00013387203216552734,0.9922817945480347,1,0,1,61,"Successful"
"montias ... pumps a [[lot]] of energy into his nicely nuanced narrative and [[surrounds]] himself with a cast of quirky -- but not stereotyped -- street characters . ","montias ... pumps a [[ton]] of energy into his nicely nuanced narrative and [[finds]] himself with a cast of quirky -- but not stereotyped -- street characters . ",1.4066696166992188e-05,1.537799835205078e-05,1,1,1,48,"Failed"
"atom egoyan has conjured up a multilayered work that tackles any [[number]] of fascinating issues ","atom egoyan has conjured up a multilayered work that tackles any [[sense]] of fascinating issues ",1.5497207641601562e-05,0.00023370981216430664,1,1,1,44,"Failed"
"a compelling spanish [[film]] about the withering effects of jealousy in the [[life]] of a young monarch [[whose]] sexual passion for her husband [[becomes]] an obsession . ","a compelling spanish [[movie]] about the withering effects of jealousy in the [[person]] of a young monarch [[her]] sexual passion for her husband [[become]] an obsession . ",1.6450881958007812e-05,2.7060508728027344e-05,1,1,1,44,"Failed"
"at the very least , if you do n't [[know]] anything about derrida when you walk into the theater , you [[wo]] n't know [[much]] more when you leave . ","at the very least , if you do n't [[wonder]] anything about derrida when you walk into the theater , you [[are]] n't know [[only]] more when you leave . ",0.001041412353515625,0.5762002468109131,0,1,0,64,"Successful"
"do n't be fooled by the impressive cast list - eye see you is [[pure]] junk . ","do n't be fooled by the impressive cast list - eye see you is [[beautiful]] junk . ",0.00914698839187622,0.9565184116363525,0,1,0,25,"Successful"
