"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the year , [[noteworthy]] only for the [[gimmick]] of being [[filmed]] as a single unbroken 87-minute take . ","the most [[hopelesly]] [[Zonotonous]] film of the year , [[notweorthy]] only for the [[gimmice]] of being [[Hilmed]] as a single unbroken 87-minute take . ",1.2755393981933594e-05,0.8358720541000366,0,1,0,43,"Successful"
"as a [[rumor]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a [[ruomr]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[Vms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",2.5033950805664062e-05,0.9935899972915649,0,1,0,37,"Successful"
"bennett 's naturalistic performance speaks volumes more [[truth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance speaks volumes more [[tuth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.0001430511474609375,0.9824802279472351,1,0,1,31,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confused]] when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[conused]] when it came time to get to the heart of the movie . ",0.1604098677635193,0.9997177124023438,0,1,0,36,"Successful"
"anchored by friel and williams 's [[exceptional]] performances , the film 's [[power]] lies in its [[complexity]] . ","anchored by friel and williams 's [[exceYtional]] performances , the film 's [[pwer]] lies in its [[zcomplexity]] . ",7.867813110351562e-06,0.9631539583206177,1,0,1,32,"Successful"
"a [[woman]] 's pic directed with [[resonance]] by [[ilya]] [[chaiken]] . ","a [[owman]] 's pic directed with [[resoRance]] by [[Olya]] [[chaiekn]] . ",7.510185241699219e-06,0.9934647083282471,1,0,1,27,"Successful"
"the [[best]] [[film]] about baseball to hit [[theaters]] [[since]] field of [[dreams]] . ","the [[bets]] [[ilm]] about baseball to hit [[theaetrs]] [[isnce]] field of [[dreaTs]] . ",6.556510925292969e-06,0.9996858835220337,1,0,1,36,"Successful"
"too restrained to be a freak [[show]] , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the [[isle]] [[defies]] an easy categorization . ","too restrained to be a freak [[sow]] , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the [[isel]] [[deftes]] an easy categorization . ",7.68899917602539e-05,0.6003931164741516,0,1,0,43,"Successful"
"it 's [[dumb]] , but more importantly , it 's just not [[scary]] . ","it 's [[udmb]] , but more importantly , it 's just not [[scacry]] . ",6.389617919921875e-05,0.9980498552322388,0,1,0,24,"Successful"
"schaeffer has to find some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently useless movies , and it [[migho]] as well be the resuscitation of the middle-aged character . ",1.1801719665527344e-05,0.5299994945526123,0,1,0,31,"Successful"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[better]] . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[beter]] . ",0.38678252696990967,0.9997950792312622,1,0,1,25,"Successful"
