"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a [[single]] unbroken 87-minute take . ","the most [[obviously]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a [[true]] unbroken 87-minute take . ",2.205371856689453e-05,0.00047767162322998047,0,0,0,55,"Failed"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ill]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",5.793571472167969e-05,0.8916828036308289,0,1,0,43,"Successful"
"bennett 's naturalistic performance [[speaks]] [[volumes]] more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance [[had]] [[little]] more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",3.361701965332031e-05,0.9989314675331116,1,0,1,59,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.9380720853805542,0.9380720853805542,1,1,0,1,"Skipped"
"anchored by friel and williams 's exceptional performances , the film 's [[power]] lies in its complexity . ","anchored by friel and williams 's exceptional performances , the film 's [[point]] lies in its complexity . ",5.841255187988281e-06,2.0742416381835938e-05,1,1,1,24,"Failed"
"a woman 's pic directed with [[resonance]] by [[ilya]] chaiken . ","a woman 's pic directed with [[dialogues]] by [[bobby]] chaiken . ",2.6226043701171875e-06,0.9972686767578125,1,0,1,106,"Successful"
"the [[best]] film about [[baseball]] to hit theaters since field of dreams . ","the [[worst]] film about [[drugs]] to hit theaters since field of dreams . ",3.6954879760742188e-06,0.999983012676239,1,0,1,84,"Successful"
"too restrained to be a freak [[show]] , too mercenary and obvious to be cerebral , too dull and pretentious to be [[engaging]] ... the isle defies an easy categorization . ","too restrained to be a freak [[iness]] , too mercenary and obvious to be cerebral , too dull and pretentious to be [[fun]] ... the isle defies an easy categorization . ",0.02800649404525757,0.5639539957046509,0,1,0,43,"Successful"
"it 's [[dumb]] , but more importantly , it 's just not scary . ","it 's [[wonderful]] , but more importantly , it 's just not scary . ",3.6716461181640625e-05,0.9998478293418884,0,1,0,51,"Successful"
"schaeffer has to [[find]] some hook on which to hang his persistently useless movies , and it [[might]] as [[well]] be the resuscitation of the middle-aged character . ","schaeffer has to [[be]] some hook on which to hang his persistently useless movies , and it [[is]] as [[so]] be the resuscitation of the middle-aged character . ",1.0967254638671875e-05,0.056082844734191895,0,0,0,93,"Failed"
