"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a [[single]] unbroken 87-minute take . ","the most [[unusually]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a [[sustained]] unbroken 87-minute take . ",9.298324584960938e-06,1.2278556823730469e-05,0,0,0,52,"Failed"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ill]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",7.033348083496094e-05,0.9896499514579773,0,1,0,43,"Successful"
"bennett 's naturalistic performance speaks [[volumes]] more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance speaks [[only]] more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",2.3245811462402344e-05,0.9624733328819275,1,0,1,49,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.6871927380561829,0.6871927380561829,1,1,0,1,"Skipped"
"anchored by friel and williams 's exceptional performances , the film 's [[power]] lies in its complexity . ","anchored by friel and williams 's exceptional performances , the film 's [[point]] lies in its complexity . ",2.5987625122070312e-05,0.0001474618911743164,1,1,1,24,"Failed"
"a [[woman]] 's pic [[directed]] with [[resonance]] by [[ilya]] chaiken . ","a [[viewer]] 's pic [[replaced]] with [[produced]] by [[jay]] chaiken . ",1.3709068298339844e-05,0.9999744892120361,1,0,1,178,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[worst]] film about baseball to hit theaters since field of dreams . ",4.0531158447265625e-06,0.9999879002571106,1,0,1,42,"Successful"
"too restrained to be a freak show , too mercenary and [[obvious]] to be cerebral , too dull and pretentious to be [[engaging]] ... the isle [[defies]] an easy categorization . ","too restrained to be a freak show , too mercenary and [[malicious]] to be cerebral , too dull and pretentious to be [[entertaining]] ... the isle [[gives]] an easy categorization . ",3.993511199951172e-05,0.25184333324432373,0,0,0,78,"Failed"
"it 's [[dumb]] , but more importantly , it 's just not scary . ","it 's [[sexy]] , but more importantly , it 's just not scary . ",0.00754779577255249,0.843552827835083,0,1,0,51,"Successful"
"schaeffer has to [[find]] some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to [[be]] some hook on which to hang his persistently useless movies , and it [[l]] as well be the resuscitation of the middle-aged character . ",1.1444091796875e-05,0.007847249507904053,0,0,0,86,"Failed"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks [[even]] better . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks [[damn]] better . ",0.13368570804595947,0.8737739324569702,1,0,1,55,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[not]] literary . ",3.5762786865234375e-06,0.9999783635139465,1,0,1,45,"Successful"
"so unassuming and pure of [[heart]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ","so unassuming and pure of [[hearts]] , you ca n't help but warmly extend your arms and yell ` safe ! ' ",5.0067901611328125e-06,5.125999450683594e-06,1,1,1,21,"Failed"
"an [[entertaining]] , [[colorful]] , action-filled [[crime]] story with an [[intimate]] heart . ","an [[old]] , [[bad]] , action-filled [[hollywood]] story with an [[ugly]] heart . ",4.291534423828125e-06,0.9883620738983154,1,0,1,213,"Successful"
