"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[hopeessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",6.794929504394531e-06,3.695487976074219e-05,0,0,0,403,"Failed"
"as a [[rumor]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a [[rukor]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",9.775161743164062e-06,9.262561798095703e-05,0,0,0,521,"Failed"
"bennett 's naturalistic performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body [[first]] . ","bennett 's naturalistic performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body [[fidst]] . ",0.0008596181869506836,0.9995107650756836,1,0,1,603,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.9322148561477661,0.9322148561477661,1,1,0,1,"Skipped"
"anchored by friel and williams 's exceptional performances , the film 's [[power]] lies in its complexity . ","anchored by friel and williams 's exceptional performances , the film 's [[poewr]] lies in its complexity . ",5.364418029785156e-06,4.315376281738281e-05,1,1,1,357,"Failed"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[resoance]] by ilya chaiken . ",9.894371032714844e-06,0.9662262797355652,1,0,1,176,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[brest]] film about baseball to hit theaters since field of dreams . ",6.318092346191406e-06,0.0006511807441711426,1,1,1,200,"Failed"
"too restrained to be a [[freak]] show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization . ","too restrained to be a [[frexk]] show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization . ",2.193450927734375e-05,0.00016641616821289062,0,0,0,530,"Failed"
"it 's dumb , but more importantly , it 's just not [[scary]] . ","it 's dumb , but more importantly , it 's just not [[sacry]] . ",6.079673767089844e-06,0.9998748302459717,0,1,0,99,"Successful"
"schaeffer has to find some hook on which to hang his persistently [[useless]] movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently [[usieless]] movies , and it might as well be the resuscitation of the middle-aged character . ",6.4373016357421875e-06,0.0001556873321533203,0,0,0,505,"Failed"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[better]] . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[bwtter]] . ",0.13917678594589233,0.998801052570343,1,0,1,280,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[refrewhingly]] literary . ",4.410743713378906e-06,0.04205012321472168,1,1,1,340,"Failed"
"so unassuming and pure of heart , you ca n't help but [[warmly]] extend your arms and yell ` safe ! ' ","so unassuming and pure of heart , you ca n't help but [[warly]] extend your arms and yell ` safe ! ' ",4.553794860839844e-05,0.0028415918350219727,1,1,1,215,"Failed"
"an [[entertaining]] , colorful , action-filled crime story with an intimate heart . ","an [[entergaining]] , colorful , action-filled crime story with an intimate heart . ",4.291534423828125e-06,5.0067901611328125e-06,1,1,1,310,"Failed"
"due to some script weaknesses and the casting of the director 's brother , the film trails off into [[inconsequentiality]] . ","due to some script weaknesses and the casting of the director 's brother , the film trails off into [[iconsequentiality]] . ",5.9604644775390625e-06,1.823902130126953e-05,0,0,0,383,"Failed"
"works hard to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has [[nCothing]] fresh or particularly interesting to say about them . ",1.2755393981933594e-05,0.9891800880432129,0,1,0,410,"Successful"
