"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the year , noteworthy only for the gimmick of being [[filmed]] as a single unbroken 87-minute take . ","the most [[hopelesly]] [[montonous]] film of the year , noteworthy only for the gimmick of being [[ilmed]] as a single unbroken 87-minute take . ",2.205371856689453e-05,0.5223994255065918,0,1,0,43,"Successful"
"as a [[rumor]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a [[ruor]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[Vms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",5.793571472167969e-05,0.8237987756729126,0,1,0,37,"Successful"
"bennett 's [[naturalistic]] performance [[speaks]] volumes more [[truth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's [[naturlaistic]] performance [[speabks]] volumes more [[trth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",3.361701965332031e-05,0.8001853227615356,1,0,1,43,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.9380720853805542,0.9380720853805542,1,1,0,1,"Skipped"
"[[anchored]] by [[friel]] and williams 's [[exceptional]] performances , the film 's [[power]] lies in its [[complexity]] . ","[[Knchored]] by [[frie]] and williams 's [[exceptinal]] performances , the film 's [[poewr]] lies in its [[comBlexity]] . ",5.841255187988281e-06,0.9945651292800903,1,0,1,40,"Successful"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[resnoance]] by ilya chaiken . ",2.6226043701171875e-06,0.9901679158210754,1,0,1,15,"Successful"
"the [[best]] film about baseball to hit [[theaters]] since field of [[dreams]] . ","the [[est]] film about baseball to hit [[theakers]] since field of [[dreasm]] . ",3.6954879760742188e-06,0.7682783603668213,1,0,1,25,"Successful"
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and [[pretentious]] to be engaging ... the [[isle]] defies an easy [[categorization]] . ","too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and [[pretentius]] to be engaging ... the [[isel]] defies an easy [[categrization]] . ",0.02800649404525757,0.9128734469413757,0,1,0,40,"Successful"
"it 's [[dumb]] , but more importantly , it 's just not [[scary]] . ","it 's [[Tumb]] , but more importantly , it 's just not [[sacry]] . ",3.6716461181640625e-05,0.30447787046432495,0,0,0,24,"Failed"
"[[schaeffer]] has to [[find]] some hook on which to hang his persistently [[useless]] movies , and it [[might]] as well be the resuscitation of the middle-aged [[character]] . ","[[schaffer]] has to [[fnid]] some hook on which to hang his persistently [[useess]] movies , and it [[migt]] as well be the resuscitation of the middle-aged [[coaracter]] . ",1.0967254638671875e-05,0.6347107887268066,0,1,0,62,"Successful"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",0.8982458114624023,0.8982458114624023,0,0,1,1,"Skipped"
"very psychoanalytical -- [[provocatively]] so -- and [[also]] [[refreshingly]] literary . ","very psychoanalytical -- [[prvoocatively]] so -- and [[lso]] [[refrsehingly]] literary . ",3.337860107421875e-06,0.9985848069190979,1,0,1,21,"Successful"
"so unassuming and pure of [[heart]] , you ca n't help but [[warmly]] extend your arms and yell ` safe ! ' ","so unassuming and pure of [[heamrt]] , you ca n't help but [[wamly]] extend your arms and yell ` safe ! ' ",8.20159912109375e-05,0.5043352842330933,1,0,1,28,"Successful"
"an [[entertaining]] , [[colorful]] , [[action-filled]] [[crime]] story with an [[intimate]] [[heart]] . ","an [[entetaining]] , [[coBorful]] , [[actionf-illed]] [[crimc]] story with an [[intimalte]] [[heat]] . ",2.0265579223632812e-06,0.9999885559082031,1,0,1,39,"Successful"
"due to some [[script]] weaknesses and the casting of the director 's brother , the film [[trails]] off into [[inconsequentiality]] . ","due to some [[scOipt]] weaknesses and the casting of the director 's brother , the film [[trailQs]] off into [[inconsequentiaity]] . ",5.7220458984375e-06,8.499622344970703e-05,0,0,0,55,"Failed"
"works [[hard]] to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works [[haPd]] to establish rounded characters , but then has [[onthing]] fresh or particularly interesting to say about them . ",2.0265579223632812e-05,0.8926405906677246,0,1,0,27,"Successful"
"[[one]] of the most [[significant]] [[moviegoing]] [[pleasures]] of the year . ","[[noe]] of the most [[siqnificant]] [[oviegoing]] [[pleasRures]] of the year . ",2.384185791015625e-06,0.6776200532913208,1,0,1,27,"Successful"
"the son 's room is a [[triumph]] of gentility that [[earns]] its [[moments]] of pathos . ","the son 's room is a [[tciumph]] of gentility that [[eaSrns]] its [[momefnts]] of pathos . ",3.814697265625e-06,0.6393769383430481,1,0,1,28,"Successful"
"what the film lacks in general focus it makes up for in [[compassion]] , as [[corcuera]] [[manages]] to find the seeds of [[hope]] in the form of collective action . ","what the film lacks in general focus it makes up for in [[ompassion]] , as [[corcera]] [[amnages]] to find the seeds of [[kope]] in the form of collective action . ",8.940696716308594e-06,0.9292729496955872,1,0,1,45,"Successful"
"one of those [[energetic]] surprises , an [[original]] that [[pleases]] almost everyone who sees it . ","one of those [[nergetic]] surprises , an [[origOinal]] that [[lpeases]] almost everyone who sees it . ",2.384185791015625e-06,0.993628203868866,1,0,1,27,"Successful"
"this is wild surreal stuff , but [[brilliant]] and the camera just kind of sits there and [[lets]] you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but [[brClliant]] and the camera just kind of sits there and [[lmets]] you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.00010502338409423828,0.9993197917938232,1,0,1,52,"Successful"
"or doing last year 's [[taxes]] with your ex-wife . ","or doing last year 's [[xtaxes]] with your ex-wife . ",0.0017207860946655273,0.5163133144378662,0,1,0,14,"Successful"
"a [[rewarding]] work of art for only the most [[patient]] and [[challenge-hungry]] [[moviegoers]] . ","a [[rewJrding]] work of art for only the most [[paRtient]] and [[challenge-Kungry]] [[movxiegoers]] . ",6.54458999633789e-05,0.9944441914558411,1,0,1,30,"Successful"
"a [[good]] piece of [[work]] more often than not . ","a [[gooId]] piece of [[wNrk]] more often than not . ",1.049041748046875e-05,0.9367877840995789,1,0,1,18,"Successful"
"a [[beguiling]] splash of pastel colors and prankish [[comedy]] from disney . ","a [[bemuiling]] splash of pastel colors and prankish [[comddy]] from disney . ",4.887580871582031e-06,0.5515653491020203,1,0,1,20,"Successful"
"it 's one heck of a character [[study]] -- not of hearst or davies but of the [[unique]] relationship between them . ","it 's one heck of a character [[sudy]] -- not of hearst or davies but of the [[unnique]] relationship between them . ",3.516674041748047e-05,0.9920931458473206,1,0,1,29,"Successful"
"[[puts]] a human [[face]] on a land most westerners are unfamiliar with . ","[[pust]] a human [[facE]] on a land most westerners are unfamiliar with . ",8.225440979003906e-06,0.6810643672943115,1,0,1,21,"Successful"
"[[montias]] ... pumps a lot of [[energy]] into his [[nicely]] [[nuanced]] [[narrative]] and [[surrounds]] himself with a cast of quirky -- but not stereotyped -- street characters . ","[[mgntias]] ... pumps a lot of [[eneQrgy]] into his [[unicely]] [[nuaGced]] [[Qarrative]] and [[surruonds]] himself with a cast of quirky -- but not stereotyped -- street characters . ",2.5033950805664062e-06,0.950014054775238,1,0,1,49,"Successful"
"atom egoyan has [[conjured]] up a multilayered [[work]] that [[tackles]] any number of [[fascinating]] issues ","atom egoyan has [[conjurde]] up a multilayered [[wtrk]] that [[tcakles]] any number of [[fkascinating]] issues ",2.9802322387695312e-06,0.6402988433837891,1,0,1,32,"Successful"
"a [[compelling]] [[spanish]] [[film]] about the withering [[effects]] of [[jealousy]] in the [[life]] of a [[young]] [[monarch]] whose sexual [[passion]] for her [[husband]] becomes an obsession . ","a [[coOmpelling]] [[spanihs]] [[fim]] about the withering [[effecst]] of [[sealousy]] in the [[lofe]] of a [[yYoung]] [[mQonarch]] whose sexual [[apssion]] for her [[husbRnd]] becomes an obsession . ",2.384185791015625e-06,0.9094617366790771,1,0,1,70,"Successful"
"at the very [[least]] , if you do n't [[know]] [[anything]] about derrida when you walk into the theater , you wo [[n't]] know much more when you leave . ","at the very [[lesat]] , if you do n't [[knkw]] [[anyting]] about derrida when you walk into the theater , you wo [[nxt]] know much more when you leave . ",0.012067735195159912,0.8455560207366943,0,1,0,44,"Successful"
"do n't be fooled by the impressive cast list - eye see you is pure junk . ","do n't be fooled by the impressive cast list - eye see you is pure junk . ",0.6372078657150269,0.6372078657150269,1,1,0,1,"Skipped"
"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight ! ","/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight ! ",0.8856632709503174,0.8856632709503174,1,1,0,1,"Skipped"
"[[director]] andrew niccol ... [[demonstrates]] a [[wry]] [[understanding]] of the [[quirks]] of [[fame]] . ","[[diretcor]] andrew niccol ... [[demonstratse]] a [[wyr]] [[understandng]] of the [[quHrks]] of [[fme]] . ",2.7418136596679688e-06,0.9288608431816101,1,0,1,37,"Successful"
"... takes the [[beauty]] of baseball and melds it with a story that [[could]] [[touch]] [[anyone]] regardless of their familiarity with the sport ","... takes the [[beautk]] of baseball and melds it with a story that [[couFld]] [[ouch]] [[ayone]] regardless of their familiarity with the sport ",4.291534423828125e-06,0.9956845641136169,1,0,1,39,"Successful"
"there ought to be a [[directing]] [[license]] , so that ed burns can have his [[revoked]] . ","there ought to be a [[directinQ]] [[licenZse]] , so that ed burns can have his [[revokde]] . ",5.7220458984375e-05,0.8090294599533081,0,1,0,28,"Successful"
"there is no pleasure in watching a child [[suffer]] . ","there is no pleasure in watching a child [[suffre]] . ",0.0004801750183105469,0.9383296966552734,0,1,0,14,"Successful"
"at a [[time]] when half the [[so-called]] [[real]] [[movies]] are [[little]] more than [[live-action]] cartoons , it 's [[refreshing]] to [[see]] a cartoon that knows what it is , and [[knows]] the [[form]] 's history . ","at a [[Vime]] when half the [[so-calYled]] [[raal]] [[movdes]] are [[ltitle]] more than [[live-actiEon]] cartoons , it 's [[refrehing]] to [[seP]] a cartoon that knows what it is , and [[knosw]] the [[furm]] 's history . ",4.887580871582031e-06,0.9584570527076721,1,0,1,74,"Successful"
"there are [[simply]] too [[many]] [[ideas]] floating around -- part [[farce]] , part sliding doors , part pop [[video]] -- and yet [[failing]] to [[exploit]] them . ","there are [[simpyl]] too [[man]] [[ideDas]] floating around -- part [[Karce]] , part sliding doors , part pop [[vidIeo]] -- and yet [[faling]] to [[expliot]] them . ",2.4080276489257812e-05,0.524910569190979,0,1,0,82,"Successful"
"( a ) [[shapeless]] blob of [[desperate]] entertainment . ","( a ) [[shaeless]] blob of [[desperae]] entertainment . ",1.7404556274414062e-05,0.8579206466674805,0,1,0,15,"Successful"
"( grant 's ) bumbling magic takes over the film , and it turns out to be another [[winning]] star vehicle . ","( grant 's ) bumbling magic takes over the film , and it turns out to be another [[iwnning]] star vehicle . ",0.0009073019027709961,0.6574221849441528,1,0,1,23,"Successful"
"for the most part stevens glides through on some [[solid]] [[performances]] and [[witty]] dialogue . ","for the most part stevens glides through on some [[sloid]] [[peformances]] and [[witny]] dialogue . ",2.86102294921875e-06,0.5233204364776611,1,0,1,26,"Successful"
"as [[vulgar]] as it is [[banal]] . ","as [[vulgr]] as it is [[banla]] . ",1.4662742614746094e-05,0.3142507076263428,0,0,0,15,"Failed"
"if you can stomach the rough [[content]] , it 's [[worth]] [[checking]] out for the performances alone . ","if you can stomach the rough [[contetn]] , it 's [[worh]] [[choecking]] out for the performances alone . ",8.940696716308594e-06,0.999833345413208,1,0,1,29,"Successful"
"uses [[high]] comedy to [[evoke]] [[surprising]] poignance . ","uses [[hih]] comedy to [[evoek]] [[saurprising]] poignance . ",6.198883056640625e-06,0.9905126690864563,1,0,1,20,"Successful"
"director of photography benoit delhomme shot the movie in [[delicious]] colors , and the costumes and sets are [[grand]] . ","director of photography benoit delhomme shot the movie in [[delciious]] colors , and the costumes and sets are [[graAd]] . ",2.6226043701171875e-06,0.695954442024231,1,0,1,27,"Successful"
"a [[quiet]] , [[pure]] , [[elliptical]] [[film]] ","a [[quXiet]] , [[ture]] , [[eflliptical]] [[flim]] ",2.9802322387695312e-06,0.9959325194358826,1,0,1,22,"Successful"
