"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a [[single]] unbroken 87-minute take . ","the most [[noticeably]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a [[true]] unbroken 87-minute take . ",3.898143768310547e-05,0.0003829002380371094,0,0,0,52,"Failed"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[sen]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.1488472819328308,0.9989832043647766,0,1,0,43,"Successful"
"bennett 's naturalistic performance [[speaks]] [[volumes]] more truth than any ` reality ' show , and anybody contemplating their own drastic life [[changes]] should watch some body first . ","bennett 's naturalistic performance [[gave]] [[only]] more truth than any ` reality ' show , and anybody contemplating their own drastic life [[altering]] should watch some body first . ",8.082389831542969e-05,0.8144370317459106,1,0,1,76,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.7723355293273926,0.7723355293273926,1,1,0,1,"Skipped"
"anchored by friel and williams 's exceptional performances , the film 's [[power]] lies in its complexity . ","anchored by friel and williams 's exceptional performances , the film 's [[point]] lies in its complexity . ",2.6464462280273438e-05,0.00011432170867919922,1,1,1,24,"Failed"
"a [[woman]] 's pic [[directed]] with [[resonance]] by [[ilya]] chaiken . ","a [[doll]] 's pic [[ts]] with [[illustrations]] by [[nancy]] chaiken . ",1.0251998901367188e-05,0.8823158740997314,1,0,1,191,"Successful"
"the [[best]] film about [[baseball]] to hit theaters since field of dreams . ","the [[worst]] film about [[hollywood]] to hit theaters since field of dreams . ",1.0013580322265625e-05,0.9998742938041687,1,0,1,86,"Successful"
"too restrained to be a freak [[show]] , too mercenary and obvious to be cerebral , too [[dull]] and pretentious to be engaging ... the isle defies an easy categorization . ","too restrained to be a freak [[le]] , too mercenary and obvious to be cerebral , too [[imaginative]] and pretentious to be engaging ... the isle defies an easy categorization . ",0.00016021728515625,0.08978402614593506,0,0,0,66,"Failed"
"it 's [[dumb]] , but more importantly , it 's just not scary . ","it 's [[beautiful]] , but more importantly , it 's just not scary . ",0.0004706382751464844,0.9998400211334229,0,1,0,51,"Successful"
"schaeffer has to [[find]] some [[hook]] on which to hang his persistently useless movies , and it [[might]] as [[well]] be the resuscitation of the middle-aged character . ","schaeffer has to [[be]] some [[hooks]] on which to hang his persistently useless movies , and it [[is]] as [[inevitably]] be the resuscitation of the middle-aged character . ",0.0002556443214416504,0.5304306745529175,0,1,0,69,"Successful"
