"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a [[single]] unbroken 87-minute take . ","the most [[dramatically]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a [[true]] unbroken 87-minute take . ",8.094310760498047e-05,0.00028568506240844727,0,0,0,53,"Failed"
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ill]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",7.331371307373047e-05,0.8770372271537781,0,1,0,43,"Successful"
"bennett 's [[naturalistic]] performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic [[life]] changes should watch some body first . ","bennett 's [[actual]] performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic [[course]] changes should watch some body first . ",0.06592327356338501,0.4726545214653015,1,1,1,54,"Failed"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.8499660491943359,0.8499660491943359,1,1,0,1,"Skipped"
"anchored by friel and williams 's exceptional performances , the film 's [[power]] lies in its complexity . ","anchored by friel and williams 's exceptional performances , the film 's [[point]] lies in its complexity . ",1.0609626770019531e-05,2.3365020751953125e-05,1,1,1,24,"Failed"
"a woman 's pic [[directed]] with [[resonance]] by [[ilya]] chaiken . ","a woman 's pic [[t]] with [[scenario]] by [[jay]] chaiken . ",5.125999450683594e-06,0.6467777490615845,1,0,1,145,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[worst]] film about baseball to hit theaters since field of dreams . ",4.887580871582031e-06,0.999939501285553,1,0,1,42,"Successful"
"too restrained to be a freak [[show]] , too mercenary and obvious to be cerebral , too [[dull]] and pretentious to be engaging ... the isle [[defies]] an easy categorization . ","too restrained to be a freak [[iness]] , too mercenary and obvious to be cerebral , too [[extravagant]] and pretentious to be engaging ... the isle [[gives]] an easy categorization . ",0.00011527538299560547,0.25950998067855835,0,0,0,67,"Failed"
"it 's [[dumb]] , but more importantly , it 's just not scary . ","it 's [[sweet]] , but more importantly , it 's just not scary . ",0.0004845857620239258,0.9829894304275513,0,1,0,51,"Successful"
"schaeffer has to [[find]] some hook on which to hang his persistently useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to [[have]] some hook on which to hang his persistently useless movies , and it [[l]] as well be the resuscitation of the middle-aged character . ",0.00032806396484375,0.5492815971374512,0,1,0,87,"Successful"
